Ordinal Number Words

'thousandth': THO*EUPBT
'hundredth': HUPB/TKR*ET
'ninetieth': TPHAOEUPBT/KWR*ET
'eightieth': AET/KWR*ET
'seventieth': SEFPB/KWR*ET
'sixtieth': SEUBGS/KWR*ET
'fiftieth': TPEUFT/KWR*ET
'fortieth': TPORT/KWR*ET
'thirtieth': THEURT/KWR*ET
'twenty-ninth': TWEPBT/H-PB/TPHAO*EUPBT
'twenty-eighth': TWEPBT/H-PB/A*ET
'twenty-seventh': TWEPBT/H-PB/S*EPBT
'twenty-sixth': TWEPBT/H-PB/S*BGS
'twenty-fifth': TWEPBT/H-PB/TP*EUT
'twenty-fourth': TWEPBT/H-PB/TPO*URT
'twenty-third': TWEPBT/H-PB/THEURD
'twenty-second': TWEPBT/S*EBGD
'twenty-first': TWEPBT/H-PB/TPEUFRT
'twentieth': TWEPBT/KWR*ET
'nineteenth': TPHAOEPBT
'eighteenth': AET/TAOEPBT
'seventeenth': STPAOEPBT
'sixteenth': SKAOEPBT
'fifteenth': TPEUF/TAO*EPBT
'fourteenth': TPRAOEPBT
'thirteenth': THRAOEPBT
'twelfth': TWEFLT
'eleventh': HREFPBT
'tenth': TA*EPBT
'ninth': TPHAO*EUPBT
'eighth': A*ET
'seventh': S*EPBT
'sixth': S*BGS
'fifth': TP*EUT
'fourth': TPO*URT
'third': THEURD
'second': SEBGD
'first': TPEUFRT
