Orthography rules

'logic': HROPBLG/EUBG
'logically': HROPBLG/KHREU
'perambulate': PER/APL/PWHRAEUT
'perambulatory': PER/APL/PWHRAEUT/REU
'obstinate': OBS/TPHAT
'obstinacy': OBS/TEUPB/SEU
'fox': TPOBGS
'foxes': TPOBGS/-S
'kiss': KEUS
'kisses': KEUS/-S
'speech': SPAOEFP
'speeches': SPAOEFPS
'cherry': KHER/REU
'cherries': KHER/REU/-S
'die': TKAOEU
'dying': TKAOEUG
'metallurgy': PHET/HRURPBLG
'metallurgist': PHET/HRURPBLG/EUFT
'weary': WAOE/REU
'weariful': WAOE/REU/-FL
'narrate': TPHAR/AEUT
'narrating': TPHAR/AEUT/-G
'ghostwrite': TKPWOEFT/WRAOEUT
'ghostwritten': TKPWOEFT/WRAOEUT/*EPB
'free': TPRAOE
'freed': TPRAOED
'defer': TKEFR
'deferred': TKEFRD
'beset': PWE/SET
'besetting': PWE/SEGT
'backstab': PWA*EBG/STAB
'backstabber': PWA*EBG/STAB/*ER
'big': PWEUG
'biggest': PWEUG/EFT
'settle': SELT
'settled': SELTD
