Stenotypos

'a': AEU
'eh': A*EU
'anymore': TPHEUPL
'any more': TPHEU/PHOR
'boat': PWOET
'boot': PWAOT
'bowl': PWOEL
'bowel': PWOUL
'calf': KAF
'cave': KAEUF
'eight': AET
'ate': AEUT
'eighth': A*ET
'eat': AOET
'higher': HAOEUR
'hire': HEUR
'hired': HEURD
'hydro': HAOEURD/S-P
'maid': PHAEUD
'made': PHAED
'mother': PHOER
'more': PHOR
'moor': PHO*R
'mower': PHO*ER
'its': EUTS
'it's': T-S
'it is': T/S
'loath': HROET
'loathe': HRO*ET
'leaf': HRAOEF
'leave': HREF
'of': -F
'off': OF
'pair': PAEUR
'pare': PA*ER
'pear': PAER
'peace': PAES
'piece': PAOES
'peers': PAOERZ
'pierce': PAOERS
'post': POEFT
'posit': POFT
'prise': PRAO*EUZ
'prize': PRAOEUZ
'price': PRAOEUS
'proof': PRAOF
'prove': PROF
'prof': PROEF
'rise': RAOEUZ
'rice': RAOEUS
'raise': RAEUZ
'raze': RAEZ
'rays': RA*ES
'race': RAEUS
'root': RAOT
'route': ROUT
'roam': ROEPL
'Rome': RO*EPL
'safe': SAEUF
'save': SAF
'scarce': SKAEURS
'scares': SKAEURZ
'seas': SAES
'seize': SAOEZ
'stool': STOL
'stole': STOEL
'strife': STRAOEUF
'strive': STREUF
'tax': TABGS
'tacks': TABG/-S
'tags': TAGZ
'their': THAEUR
'they're': THER
'there': THR
'they are': THE/R
'waive': WAEUF
'weave': WEF
'wave': WAF
'waif': WA*EUF
'wait': WAEUT
'weight': WAET
'waist': WAEUFT
'waste': WAEFT
'wasn't': WAEPBT
'want': WAPBT
'wanna': WAPB
'wont': WO*PBT
'won't': WOEPBT
'were': WR
'where': W-R
'wrought': WROT
'wrote': WRO
