Top 10000 Project Gutenberg words

'the': -T
'of': -F
'and': SKP
'to': TO
'in': TPH
'I': EU
'that': THA
'was': WAS
'his': HEUS
'he': HE
'it': T
'with': W
'is': S
'for': TPOR
'as': AS
'had': H
'you': U
'not': TPHOT
'be': -B
'her': HER
'on': OPB
'at': AT
'by': PWEU
'which': WEU
'have': SR
'or': OR
'from': TPR
'this': TH
'him': HEUPL
'but': PWUT
'all': AUL
'she': SHE
'they': THE
'were': WR
'my': PHEU
'are': R
'me': PHE
'one': WUPB
'their': THAEUR
'so': SO
'an': APB
'said': SED
'them': THEPL
'we': WE
'who': WHO
'would': WO
'been': PW-PB
'will': HR
'no': TPHO
'when': WHEPB
'there': THR
'if': TP
'more': PHOR
'out': OUT
'up': UP
'into': TPHAO
'do': TKO
'any': TPHEU
'your': KWROUR
'what': WHA
'has': HAS
'man': PHAPB
'could': KO
'other': OER
'than': THAPB
'our': OUR
'some': SOPL
'very': SRE
'time': TAOEUPL
'upon': POPB
'about': PW
'may': PHAEU
'its': EUTS
'only': OEPBL
'now': TPHOU
'like': HRAOEUBG
'little': HREUL
'then': THEPB
'can': K
'should': SHO
'made': PHAED
'did': TK
'us': US
'such': SUFP
'a': AEU
'great': TKPWRAET
'before': PW-FR
'must': PHUFT
'two': TWO
'these': THEZ
'see': SAOE
'know': TPHOE
'over': OEFR
'much': PHUFP
'down': TKOUPB
'after': AF
'first': TPEUFRT
'Mr.': PHR-FPLT
'good': TKPWAOD
'men': PHEPB
'own': OEPB
'never': TPHEFR
'most': PHOFT
'old': OLD
'shall': SHAL
'day': TKAEU
'where': W-R
'those': THOZ
'came': KAEUPL
'come': KOPL
'himself': HEUPLS
'way': WAEU
'work': WORBG
'life': HRAOEUF
'without': WOUT
'go': TKPW
'make': PHAEUBG
'well': WEL
'through': THRU
'being': -BG
'long': HROPBG
'say': SAEU
'might': PHAOEUT
'how': HOU
'am': APL
'too': TAO
'even': AOEPB
'def': TK-F
'again': TKPWEPB
'many': PHAEPB
'back': PWABG
'here': HAOER
'think': THEU
'every': EF
'people': PAOEPL
'went': WEPBT
'same': SAEUPL
'last': HRAFT
'thought': THAUT
'away': WA*EU
'under': TPH-PB
'take': TAEUBG
'found': TPOUPBD
'hand': HAPBD
'eyes': AO*EUS
'still': STEUL
'place': PHRAEUS
'while': WHAOEUL
'just': SKWRUFT
'also': HR-S
'young': KWRUPBG
'yet': KWRET
'though': THOE
'against': TKPWEPBS
'things': THEUPBGS
'get': TKPWET
'ever': -FR
'give': TKPWEUF
'god': TKPWOD
'years': KWRAOERS
'off': OF
'face': TPAEUS
'nothing': TPHOG
'right': RAOEUT
'once': WUPBS
'another': TPHOER
'left': HREFT
'part': PART
'saw': SAU
'house': HOUS
'world': WORLD
'head': HED
'three': THRAOE
'took': TAOBG
'new': TPHU
'love': HRUF
'always': AULS
'Mrs.': PHR-S
'put': PUT
'night': TPHAOEUT
'each': AOEFP
'king': KEUPBG
'between': TWAOEPB
'tell': TEL
'mind': PHAOEUPBD
'heart': HART
'few': TPAOU
'because': PWAU
'thing': THEUPBG
'whom': WHOPL
'far': TPAR
'seemed': SAOEPLD
'looked': HRAOBGD
'called': KAULD
'whole': WHOEL
'de': TK*E
'set': SET
'both': PWO*T
'got': TKPWOT
'find': TPAOEUPBD
'done': TKOPB
'heard': HAERD
'look': HRAOBG
'name': TPHAEUPL
'days': TKAEUS
'told': TOLD
'let': HRET
'lord': HRORD
'country': KREU
'asked': SK-D
'going': TKPW-G
'seen': SAOEPB
'better': PWOERT
'p': P*
'having': SR-G
'home': HOEPL
'knew': TPHAOU
'side': SAOEUD
'something': S-G
'moment': PHOEPLT
'father': TPAER
'among': PHOPBG
'course': KORS
'hands': HAPBDZ
'woman': WOPL
'enough': TPHUF
'words': WORDZ
'mother': PHOER
'soon': SAOPB
'full': TPUL
'end': EPBD
'gave': TKPWAEUF
'room': RAOPL
'almost': HR-PL
'small': SPHAL
'thou': THO*U
'cannot': SK-PBT
'water': WAUR
'want': WAPBT
'however': HOUF
'light': HRAOEUT
'quite': KWAOEUT
'brought': PWRAUT
'nor': TPH-R
