Top adjectives

'other': OER
'little': HREUL
'great': TKPWRAET
'over': OEFR
'good': TKPWAOD
'most': PHOFT
'old': OLD
'long': HROPBG
'even': AOEPB
'many': PHAEPB
'back': PWABG
'same': SAEUPL
'last': HRAFT
'under': TPH-PB
'still': STEUL
'young': KWRUPBG
'against': TKPWEPBS
'right': RAOEUT
'left': HREFT
'new': TPHU
'far': TPAR
'whole': WHOEL
'done': TKOPB
'better': PWOERT
'soon': SAOPB
'full': TPUL
'small': SPHAL
'light': HRAOEUT
'best': PWEFT
'white': WHAOEUT
'next': TPHEGT
'poor': PAOR
'together': TOGT
'large': HRARPBLG
'kind': KEUPBD
'certain': SERPB
'half': HAF
'round': ROUPBD
'true': TRAOU
'near': TPHAOER
'public': PHREUBG
'above': PWOF
'dear': TKAER
'high': HAOEU
'gone': TKPWOPB
'sure': SHUR
'open': OEP
'free': TPRAOE
'general': SKWREPBL
'behind': HEUPBD
'dead': TKED
'mean': PHAOEPB
'different': TKEUFRT
'possible': POB
'short': SHORT
'strong': STROPBG
'able': ABL
'hard': HARD
'black': PWHRABG
'beautiful': PWAOUFL
'dark': TKARBG
'fine': TPAOEUPB
'ready': R-D
'common': KPHOPB
'electronic': TRO*PBG
'necessary': TPHES
'longer': HRORPBG
'early': ERL
'later': HRAEURT
'past': PAFT
'strange': STRAEUPBG
'deep': TKAOEP
'happy': HAEP
'South': SO*UT
'beyond': KWROPBD
'cold': KOELD
'clear': KHRAOER
'late': HRAEUT
'real': RAEL
'bad': PWAD
'low': HROE
'north': TPHORT
'natural': TPHARL
'pretty': PREUT
'fair': TPAEUR
'below': PWHRO
'red': RED
'big': PWEUG
'glad': TKPWHRAD
'important': PORPB
'latter': HRART
'wild': WAOEULD
'green': TKPWRAOEPB
'wrong': WROPBG
'particular': PHRAR
'chief': KHAOEF
'heavy': HOEUF
'sweet': SWAOET
'plain': PHRAEUPB
'rich': REUFP
'afraid': A/TPRAEUD
'single': SEUPBLG
'broken': PWROEPB
'outside': OUDZ
'secret': SKRET
'evil': AOEFL
'blue': PWHRU
'impossible': EUPL/POB
'former': TPRORPL
'quiet': KWAO*EUT
'usual': AOURB
'ancient': AEURBT
'simple': S*EUPL
'mere': PHAOER
'silent': SHREPBT
'perfect': P-F
'fresh': TPRERB
'East': AO*EFT
'bright': PWRAOEUT
'noble': TPHOEBL
'sudden': SUD
'due': TKAOU
'proper': PROR
'considerable': KR-BL
'private': PRAOEUFT
'top': TOP
'individual': SREUD
'political': PHREU/K-L
'difficult': TKEUFL
'ill': EUL
'original': ORPBLG
'personal': PERPBL
'hot': HOT
'understood': *URPBD
'fast': TPAFT
'brown': PWROUPB
'determined': TKERPLD
'soft': SOFT
'straight': STRAEUT
'likely': HRAOEULG
'terrible': TERBL
'medium': PHAOEPLD
'wise': WAOEUS
'pleasant': PHREFPBT
'modern': PHOERPB
'equal': KWAL
'pale': PAEL
'religious': RE/HREURBS
