Top adverbs

'so': SO
'more': PHOR
'very': SRE
'only': OEPBL
'then': THEPB
'such': SUFP
'way': WAEU
'too': TAO
'again': TKPWEPB
'away': WA*EU
'just': SKWRUFT
'also': HR-S
'ever': -FR
'once': WUPBS
'always': AULS
'almost': HR-PL
'quite': KWAOEUT
'rather': RAER
'often': OFPB
'thus': THUS
'alone': A/HROEPB
'already': HR-R
'perhaps': PRAPS
'indeed': TPHAOEPBD
'several': SEFRL
'real': RAEL
'really': R-L
'sometimes': STAOEUPLS
'sudden': SUD
'suddenly': SULD
'further': TPURT
'near': TPHAOER
'nearly': TPHAOERL
'toward': TORD
'certain': SERPB
'certainly': SERPBL
'probable': PROB
'probably': PROBL
'especial': ES/PERBL
'especially': EPS
'hard': HARD
'hardly': HA*RLD
'immediate': PHAOED
'immediately': PHAOELD
'unless': TPH-LS
'slow': SHROE
'slowly': SHROEL
'instead': STPHED
'mere': PHAOER
'merely': PHAOERL
'easy': EZ
'easily': AOELS
'afterwards': A*FRDZ
'general': SKWREPBL
'generally': SKWRERPBL
'entire': SPWAOEUR
'entirely': SPWAOEURL
'quick': KWEUBG
'quickly': KWEULG
'somewhat': SWHA
'scarce': SKAEURS
'scarcely': SKAEURS/HREU
'simply': SAO*EPL
'perfect': P-F
'perfectly': P-FRL
'usual': AOURB
'usually': AOURBL
