Top first names in the US over the last 100 years

'Mary': PHA*ER
'Patricia': PA/TEURB/KWRA
'Jennifer': SKWREPB/TPER
'Linda': HREUPB/TKA
'Elizabeth': HREUZ/PW*ET
'Barbara': PWARB/RA
'Susan': SAOU/SAPB
'Jessica': SKWRES/KA
'Sarah': SAEU/RA
'Margaret': PHARG/RET
'Karen': KAEURPB
'Nancy': TPHAPB/SEU
'Lisa': HRAOE/SA
'Betty': PWET/KWREU
'Dorothy': TKOR/THEU
'Sandra': SAPBD/RA
'Ashley': ARB/HREU
'Kimberly': KEUPL/PWERL
'Donna': TKO*PB/KWRA
'Emily': EPL/HREU
'Carol': KAEURL
'Michelle': PHEURB/EL
'Amanda': PHAPB/TKA
'Melissa': PHEL/SA
'Deborah': TKEB/RA
'Stephanie': ST-F/TPHEU
'Rebecca': RE/PWEBG/KA
'Laura': HRAU/RA
'Helen': HEL/*EPB
'Sharon': SHAEURPB
'Cynthia': K*EUPBT/KWRA
'Kathleen': KA*T/HRAOEPB
'Amy': AEUPL/KWREU
'Shirley': SHEUR/HREU
'Angela': APBG/HRA
'Anna': APB/TPHA
'Ruth': RAO*UT
'Brenda': PWREPB/TKA
'Pamela': PAPL/HRA
'Nicole': TPHEUBG/OEL
'Katherine': KA*ET/REUPB
'Samantha': SA/PHAPB/THA
'Christine': KREUS/TAOEPB
'Catherine': KA*T/REUPB
'Virginia': SRA*
'Debra': TK*EB/RA
'Rachel': RAEU/KHEL
'Janet': SKWRAPB/ET
'Emma': EPL/PHA
'Carolyn': KA*R/HREUPB
'Maria': PHA/REU/KWRA
'Heather': KPA/H*ET/*ER
'Diane': TKAOEU/A*PB
'Julie': SKWRAOUL/AO*E
'Joyce': SKWROEUS
'Evelyn': EF/HREUPB
'Joan': SKWROEPB
'Victoria': SREUBGT/OR/KWRA
'Kelly': KEL/HREU
'Christina': KREUS/TEU/TPHA
'Lauren': HRAURPB
'Frances': TPRAPB/SES
'Martha': PHAR/THA
'Judith': SKWRUD/*EUT
'Cheryl': KHERL
'Megan': PHEG/A*PB
'Andrea': RAEPBD
'Olivia': OE/HREUF/KWRA
'Ann': AEPB
'Jean': SKWRAUPB
'Alice': AL/EUS
'Jacqueline': SKWRABG/HREUPB
'Hannah': HAPB/TPHA*
'Doris': TKO*ERS
'Kathryn': KA*EUT/R*EUPB
'Gloria': TKPWHROR/KWRA
'Teresa': TRAO*ES/KWRA
'Sara': SA/RA
'Janice': SKWRAPB/EUS
'Marie': PHA/REU
'Julia': SKWRAOUL/KWRA
'Grace': TKPWRA*EUS
'Judy': SKWRUD/KWREU
'Theresa': TRAOE/SA
'Madison': PHAD/SO*PB
'Beverly': PWEFRL
'Denise': TKE/TPHAOES
'Marilyn': PHAEUR/HREUPB
'Amber': KPA/APL/PWER
'Danielle': TKAPB/KWREL
'Rose': RO*ES
'Brittany': PWREUT/TPHEU
'Diana': TKAOEUPB/TPHA
'Abigail': AB/TKPWAEUL
'Natalie': TPHA*T/HREU
'Jane': SKWRAEUPB
'Lori': HROR/SKWREU
'Alexis': AL/EBGS/EUS
'Tiffany': TEUF/TPHEU
'Kayla': KAEUL/KWRA
'James': SKWRAEUPLS
'John': SKWROPB
'Robert': ROBT
'Michael': PHAOEUBG/*L
'William': WOEUPL
'David': TKAEUFD
'Richard': REUFPD
'Joseph': SKWROE/SEF
'Thomas': THOPLS
'Charles': KHARLS
'Christopher': KREUFRT
'Daniel': TKAPBL
'Matthew': PH*T/AOU
'Anthony': A*PBT/TPHEU
'Donald': TKOPBLD
'Mark': PHA*RBG
'Paul': PAUL
'Steven': STAOEFPB
'Andrew': APB/TKRAOU
'Kenneth': KEPB/*ET
'George': SKWRORPBLG
'Joshua': SKWRORB/WA
'Kevin': KEFPB
'Brian': PWRAO*EUPB
'Edward': ED/WARD
'Ronald': RO*PBLD
'Timothy': TEUPL/THEU
'Jason': SKWRAEUFPB
'Jeffrey': SKWREF/REU
'Ryan': RAOEUPB
'Jacob': SKWRAEU/KOB
'Gary': TKPWA*ER
'Nicholas': TPHEUBG/HRAS
'Eric': *ERBG
'Stephen': STAO*EFPB
'Jonathan': SKWROPBT
'Larry': HRAR/REU
'Justin': SKWRUFPB
'Scott': SKOT
'Brandon': PWRAPB/TKOPB
'Frank': TPRA*PBG
'Benjamin': PWEPBG/PHEUPB
'Gregory': TKPWREG/REU
'Raymond': RAEU/PHOPBD
'Samuel': SAPL/WEL
'Patrick': PAT/REUBG
'Alexander': KPHRAPBD/*ER
'Jack': SKWRA*BG
'Dennis': TKEPB/TPHEUS
'Jerry': SKWRER/REU
'Tyler': TAOEU/HRER
'Aaron': AEUR/O*PB
'Henry': HEPB/REU
'Jose': HOE/SAEU
'Douglas': TKUG/HRAS
'Peter': PAOERT
'Adam': AD/APL
'Nathan': TPHA*EUT/A*PB
'Zachary': SABG/REU
'Walter': WALT/*ER
'Kyle': KAOEUL
'Harold': HARLD
'Carl': KARL
'Jeremy': SKWRER/PHEU
'Gerald': SKWRERLD
'Keith': KAO*ET
'Roger': RORG
'Arthur': THUR
'Terry': T*ER/REU
'Lawrence': HRAURPBS
'Sean': SHAUPB
'Christian': KREUGS
'Ethan': AO*ET/A*PB
'Austin': AUFPB
'Joe': SKWROE
'Albert': AL/PWERT
'Jesse': SKWRES/AOE
'Willie': WEUL/AO*E
'Billy': PWEUL/HREU
'Bryan': PWRAOEU/KWRAPB
'Bruce': PWRAOUS
'Noah': TPHO/WA
'Jordan': SKWROR/TKAPB
'Dylan': TKEUL/A*PB
'Ralph': RA*FL
'Roy': ROEU
'Alan': AL/A*PB
'Wayne': WAEUPB
'Eugene': AOU/SKWRAOEPB
'Juan': WA*PB
'Gabriel': TKPWAEUB/REL
'Louis': HRAO*U/EUS
'Russell': RUS/SEL
'Randy': RAPBD/KWREU
'Vincent': SREUPB/SEPBT
'Philip': TPEUL/EUP
'Logan': HROEG/A*PB
'Bobby': PWOB/KWREU
'Harry': HAR/REU
'Johnny': SKWROPB/KWREU
