Top nouns

'man': PHAPB
'time': TAOEUPL
'its': EUTS
'now': TPHOU
'men': PHEPB
'day': TKAEU
'himself': HEUPLS
'life': HRAOEUF
'here': HAOER
'people': PAOEPL
'hand': HAPBD
'eyes': AO*EUS
'place': PHRAEUS
'things': THEUPBGS
'god': TKPWOD
'years': KWRAOERS
'face': TPAEUS
'nothing': TPHOG
'part': PART
'house': HOUS
'world': WORLD
'night': TPHAOEUT
'heart': HART
'thing': THEUPBG
'name': TPHAEUPL
'days': TKAEUS
'country': KREU
'home': HOEPL
'something': S-G
'moment': PHOEPLT
'father': TPAER
'course': KORS
'hands': HAPBDZ
'woman': WOPL
'words': WORDZ
'mother': PHOER
'room': RAOPL
'water': WAUR
'word': WORD
'door': TKAOR
'morning': PHORPBG
'myself': PHAO*EUS
'power': POUR
'themselves': TH*EPLS
'present': PREPBT
'voice': SROEUS
'others': OERS
'less': HRES
'money': PHUPB
'death': TK*T
'thy': THAO*EU
'herself': H*ERS
'year': KWRAOER
'friend': TPREPBD
'order': ORD
'anything': TPHEUG
'wife': WAOEUF
'feet': TPAOET
'son': SOPB
'children': KHEURPB
'case': KAEUS
'thee': THAOE
'person': PERPB
'city': STEU
'fact': TPABGT
'girl': TKPWEURL
'times': TAOEUPLS
'body': PWO*ED
'itself': T/SEFL
'land': HRAPBD
'air': AEUR
'nature': TPHAEURT
'law': HRAU
'child': KHAOEULD
'letter': HRERT
'fire': TPAOEUR
'women': WEUPL
'number': TPHUPL
'hour': HOUR
'friends': TPREPBDZ
'war': WAR
'business': PWEUS
'manner': PHAERPB
'earth': *ERT
'boy': PWOEU
'forth': TPO*RT
'family': TPAEPL
'soul': SOUL
'spirit': SPEURT
'care': KAEUR
'truth': TRAO*UT
'ground': TKPWROUPBD
'human': HAOUPL
'town': TOUPB
'evening': AOEPBG
'lady': HRA*ED
'subject': SUBT
'sea': SAE
'terms': TERPLS
'arms': ARPLS
'followed': TPOLD
'character': KRAR
'sight': SAOEUT
'party': PAERT
'story': STOER
'book': PWAOBG
'mark': PHARBG
'interest': TR
'bed': PWED
'idea': KWR-D
'art': ART
'brother': PWROER
'table': TAEUBL
'river': REUFR
'eye': AOEU
'information': TPH-FGS
'everything': EFRG
'hours': HOURS
'miles': PHAOEULS
'purpose': PURP
'blood': PWHRAOD
'forward': TPAORD
'position': POGS
'sound': SOUPBD
'none': TPHOPB
'road': RAOD
'daughter': TKAUR
'mine': PHAOEUPB
'laws': HRAUS
'knowledge': TPHOPBLG
'husband': HUS
'peace': PAES
'effect': EFBGT
'service': S-FS
'hair': HAEUR
'army': AERPL
'horse': HORS
'future': TPAOURT
'opened': OEPD
'pleasure': PHRERB
'history': HEUFRT
'west': WEFT
'an': APB
'gold': TKPWOELD
'master': PHAFRT
'office': OFS
'front': TPROPBT
'attention': TAEPBGS
'government': TKPWOFT
'church': KHUFRPB
'strength': STREPBG
'length': HREPBG
'company': K-P
'placed': PHRAEUFD
'paper': PAEUP
'letters': HRERTS
'greater': TKPWRAERT
'fellow': TP*EL
'opinion': P-PB
'window': WOEUPBD
'faith': TPA*EUT
'ago': AG
'agreement': TKPWRAOEPLT
'beauty': PWAOUT
'lips': HREUPS
'arm': ARPL
'duty': TKAOUT
'distance': STKAPBS
'silence': SHREPBS
'foot': TPAOT
'object': OBT
'gentleman': SKWRA*PL
'trees': TRAOES
'trouble': TRUBL
'books': PWAOBGS
'persons': PERPBS
'drew': TKRAOU
'minutes': PHEUPBS
'chance': KHAPBS
'action': *BGS
'presence': PREPBS
'donations': TKOEPBGS/-S
'mouth': PHO*UT
'thoughts': THAUTS
'months': PHO*PBTS
'joy': SKWROEU
'states': STAEUTS
'ship': SHEUP
'condition': K-PB
'exclaimed': SKHRAEUPLD
'boys': PWOEUS
'parts': PARTS
'appearance': PAOERPBS
'horses': HORSZ
'places': PHRAEUFS
'period': PAOERD
'sister': ST-R
'battle': PWA*LT
'school': SKAOL
'occasion': KWAEUGS
'man's': PHAPB/AES
'food': TPAOD
'youth': KWRAO*UT
'system': S-PL
'dinner': TKEURPB
'language': HRAPBLG
'expression': EBGS/PREGS
'week': WAOEBG
'hall': HAUL
'danger': TKAEUPBLG
'property': PROT
'court': KORT
'respect': R-PT
'worth': WO*RT
'tree': TRAOE
'society': SOET
'wall': WAUL
'result': RULT
'heaven': HEFPB
'tone': TOEPB
'month': PHO*PBT
'beside': PWE/SAOEUD
'street': STRAOET
'circumstances': SEURBGS
'duke': TKAOUBG
'wood': WAOD
'stone': STOEPB
'boat': PWOET
'direction': TKREBGS
'chair': KHAEUR
'village': SREULG
'field': TPAOELD
'greatest': TKPWRAET/EFT
'permission': PERPLGS
'success': SKES
'piece': PAOES
'ex': EBGS
'conversation': K-FRGS
'hill': HEUL
'music': PHAOUFBG
'opportunity': TAOUPBT
'afternoon': AFPB
'allowed': HRO*UD
'girls': TKPWEURLS
'honour': HO*RPB/A*U
'news': TPHUS
'scene': SAEPB
'marriage': PHAERPBLG
'garden': TKPWA*RPB
'race': RAEUS
'speech': SPAOEFP
'cast': KAFT
'authority': THORT
'floor': TPHRAOR
'ways': WAEUS
'officers': OEUFRS
'happiness': HAEP/-PBS
'flowers': TPHRO*URS
'summer': SAOURPL
'religion': RE/HR-GS
'picture': P*EUFP
'walls': WAULS
'effort': EFRT
'escape': SKAEP
'author': THOER
'pain': PAEUPB
'soldiers': SHRERPBLGS
'houses': HO*UFS
'beneath': TPHAO*ET
'century': KROEURPBT
'corner': KRORPB
'trademark': TRAEUD/PHARBG
'justice': SKWRUFS
'passage': PAFPBLG
'efforts': EFRTS
'sake': SAEUBG
'breath': PWR*ET
'ladies': HRAEUDZ
'possession': PEFGS
'memory': PHOEURPL
'grave': TKPWRAEUF
'spot': SPOT
'troops': TRAOPS
'island': AOEULD
'meeting': PHAOEGT
'camp': KAFRP
'nation': TPH-GS
'existence': KPEUFS
'sky': SKAOEU
'fortune': TP-RPB
'shore': SHOR
'domain': TKPHAEUPB
'situation': SEUFP
'orders': ORDZ
'degree': TKEG
'middle': PH*EULD
'winter': WEURPBT
'minute': PHEUPB
'cases': KAEUSZ
'names': TPHAEUPLS
