Top verbs

'was': WAS
'is': S
'had': H
'be': -B
'have': SR
'were': WR
'are': R
'said': SED
'would': WO
'been': PW-PB
'will': HR
'do': TKO
'has': HAS
'could': KO
'may': PHAE
'like': HRAOEUBG
'can': K
'should': SHO
'made': PHAED
'did': TK
'must': PHUFT
'see': SAOE
'know': TPHOE
'shall': SHAL
'came': KAEUPL
'come': KOPL
'work': WORBG
'go': TKPW
'make': PHAEUBG
'being': -BG
'say': SAEU
'might': PHAOEUT
'am': APL
'think': THEU
'went': WEPBT
'thought': THAUT
'take': TAEUBG
'found': TPOUPBD
'get': TKPWET
'give': TKPWEUF
'saw': SAU
'head': HED
'took': TAOBG
'love': HRUF
'put': PUT
'tell': TEL
'mind': PHAOEUPBD
'seemed': SAOEPLD
'looked': HRAOBGD
'called': KAULD
'set': SET
'got': TKPWOT
'find': TPAOEUPBD
'heard': HAERD
'look': HRAOBG
'told': TOLD
'let': HRET
'asked': SK-D
'going': TKPW-G
'seen': SAOEPB
'having': SR-G
'knew': TPHAOU
'side': SAOEUD
'end': EPBD
'gave': TKPWAEUF
'cannot': SK-PBT
'want': WAPBT
'brought': PWRAUT
'given': TKPWEUFPB
'turned': TURPBD
'taken': TAEPB
'does': TKOS
'use': AOUS
'felt': TPELT
'used': AOUFD
'began': TKPWAPB
'works': WORBGS
'stood': STAOD
'form': TPORPL
'matter': PHAERT
'keep': KAOEP
'sent': SEPBT
'means': PHAOEPBS
'believe': PWHREF
'passed': PAFD
'state': STAEUT
'hope': HOEP
'says': SEZ
'read': RAED
'received': SAOEFD
'known': TPHOEPB
'hear': HAER
'return': RURPB
'leave': HREF
'answered': AEPBS/-D
'help': HEP
'lay': HRAEU
'point': POEUPBT
'wish': WEURB
'cried': KRAOEUD
'speak': SPAOEBG
'held': HELD
'reason': R-PB
'replied': RE/PHRAOEUD
'united': AOUPBTD
'call': KAUL
'became': PWAEUPL
'become': PW-BG
'lost': HRO*S
'looking': HRAOG
'feel': TPAOEL
'coming': KO*G
'question': KWE
'rest': REFT
'making': PHAEUG
'fell': TPEL
'kept': KEPT
'following': TPOLG
'need': TPHAOED
'cause': KAUS
'met': PHET
'returned': RURPBD
'live': HREUF
'answer': AEPBS
'fear': TPAOER
'understand': URPBD
'doubt': TKOUT
'ask': SK
'turn': TURPB
'sense': SEPBS
'seems': SAOEPLS
'bring': PWREU
'close': KHROES
'hold': HOLD
'sort': SORT
'show': SHOE
'talk': TAUBG
'account': K-T
'written': WREUPB
'can't': K-PBT
'age': AEUPBLG
'force': TPORS
'spoke': SPOEBG
'ought': OT
'line': HRAOEUPB
'saying': SAEUG
'appeared': A/PAOERD
'continued': T-PBD
'reached': RAOEFPD
'change': KHAEUPBG
'feeling': TPAOELG
'act': ABGT
'meet': PHAOET
'paid': PAEUD
'added': AD/-D
'seem': SAOEPL
'taking': TAEUG
'rose': ROEZ
'view': SRAOU
'entered': SPWR-D
'stand': STAPBD
'suppose': SPOS
'comes': KOPLS
'cut': KUT
'copy': KO*EP
'didn't': TK-PBT
'remember': RER
'fall': TPAUL
'laid': HRAEUD
'pass': PAS
'led': HRED
'doing': TK*G
'run': RUPB
'pay': PAEU
'note': TPHOET
'wanted': WAPBTD
'makes': PHAEUBGS
'desire': STKAOEUR
'play': PHRAEU
'tried': TRAOEUD
'lived': HREUFD
'wind': WEUPBD
'receive': SAOEF
'bear': PWAER
'ran': RAPB
'charge': KHARPBLG
'remained': RE/PHAEUPBD
'send': SEPBD
'die': TKAOEU
'save': SAF
'smile': SPHAOEUL
'sleep': SHRAOEP
'happened': HAPD
'walked': WAUBGD
'according': KORG
'beginning': TKPWEUPB/-G
'deal': TKAOEL
'loved': HROFD
'visit': SREUFT
'thinking': THEUG
'follow': TPOL
'standing': STAPBG
'knows': TPHOEZ
'try': TREU
'wrote': WRO
'won't': WOEPBT
'carry': KAER
'including': KHRUG
