To Part 3

'meant to': TPHOEPBT
'message to': TPHOEPBLG
'next to': TPHOEGT
'obligation to': TKPWHRAOEUGS
'opportunity to': TAOUBT
'out to': TPOUT
'partner to': TPAOERPBT
'patients to': TPAOEURBZ
'pharmacist to': TPAOFRT
'prefer to': TPROEFR
'preferred to': TPHREFRD
'prepared to': TPRAOEPD
'present to': TPROEPBT
'previous to': PREFT
'prior to': PROEURT
'prone to': TPROEPB
'ready to': TKRAOE
'reason to': TROPB
'recommended to': TROEPLD
'referred to': REFRTD
'referring to': REFRGT
'regard to': TRAORD
'relate to': TRAOELT
'relates to': TRAOELTS
'relation to': TROELGS
'research to': TROEFRPB
'resistance to': TROEUFPBS
'resistant to': TROEUFPBT
'respond to': STPOPBD
'response to': STPOPBS
notice_spaces=true
