Introduction

'was': WAS
'her': HER
'has': HAS
'part': PART
'put': PUT
'set': SET
'war': WAR
'kept': KEPT
'sort': SORT
'top': TOP
'step': STEP
'per': PER
'hot': HOT
'soft': SOFT
'spot': SPOT
'stop': STOP
'hat': HAT
'hurt': HURT
'salt': SALT
'wet': WET
'hers': HERS
'port': PORT
'star': STAR
'web': WEB
'wept': WEPT
'wars': WARS
'hut': HUT
'pot': POT
'trap': TRAP
'rob': ROB
'tops': TOPS
'halt': HALT
'pub': PUB
'pet': PET
'harp': HARP
'rub': RUB
'spur': SPUR
'pat': PAT
'sob': SOB
'raft': RAFT
'trot': TROT
'rat': RAT
'tap': TAP
'rug': RUG
'sub': SUB
'rag': RAG
'rot': ROT
'peg': PEG
'tub': TUB
'sup': SUP
'wrap': WRAP
'sap': SAP
