Multi-syllable words with inversion

'itself': T/SEFL
'desire': STKAOEUR
'distance': STKAPBS
'reading': RAEGD
'officers': OEUFRS
'greatly': TKPWRAELT
'distant': STKAPBT
'holding': HOELGD
'desired': STKAOEURD
'presently': PREPBLT
'leading': HRAEGD
'finding': TPAOEUPBGD
'apparently': A/PARPBLT
'distinguished': STKPWAOURBD
'completely': KPHRAOELT
'understanding': URPBGD
'absolutely': SHRAOULT
'sending': SEPBGD
'destroy': STKROEU
'partly': PARLT
'destroyed': STKROEUD
'slightly': SHRAOEULT
'destruction': STKRUBGS
'disease': STKAOE
'universal': AOUFRL
'lately': HRAEULT
'distinct': STKEUPBG
'fatal': TPAEULT
'design': STKAOEUPB
'providing': PROEUFGD
'smaller': SPHAURL
'distinction': STKEUPBGS
'distress': STKRES
'involved': SROFLD
'lightly': HRAOEULT
'disturbed': STKURBD
'desires': STKAOEURS
'recently': RAOEPBLT
'rivers': REUFRS
'shortly': SHORLT
'regarding': RARGD
'mostly': PHOFLT
'universe': AOUFRS
'wedding': WEGD
'silently': SHREPBLT
'offers': OFRS
'promptly': PROPLT/HREU
'adding': AGD
'proceeding': PRAOEGD
'lovers': HRUFRS
'dispute': STKPAOUT
'editor': ERTD
'desirable': STKAOEURBL
'surrounding': SROUPBGD
'thyself': THAOEU/SEFL
'secretly': SKRELT
'stately': STAEULT
'subtle': SUBLT
'designed': STKAOEUPBD
'welfare': WEFL
'despite': STKPAOEUT
'bending': PWEPBGD
'editing': ETD/-G
'rightly': RAOEULT
'designs': STKAOEUPBS
'disaster': STKAS/TER
'faintly': TPAEUPBLT
'disguise': STKPWAOEUS
'bewildered': PWE/WEULD/ERD
'ending': EPBGD
'despise': STKPAOEUZ
'spreading': SPREGD
'feeding': TPAOEGD
'distressed': STKREFD
'brutal': PWRAOULT
'encoding': EPB/KOEGD
'diseases': STKAOESZ
'controversy': KROEFR
'university': AOUFRT
'bursting': PWUFRT/-G
'covers': KOFRS
'discussing': STKUFG
'bleeding': PWHRAOEGD
'destroying': STKROEUG
'dissolved': TKEUS/SOFLD
'dispersed': TKEUS/PEFRD
'definitely': TKEFPBLT
'binding': PWAOEUPBGD
'selfishness': SEFL/SH-PBS
'divers': TKAOEUFRS
'brightly': PWRAOEULT
'pleading': PHRAOEGD
'disguised': STKPWAOEUFD
'edit': ETD
'desiring': STKAOEURG
'neutral': TPHAOURLT
'lastly': HRAFLT
'customers': KUFRS
'sewing': SWEG
'oneself': WUPB/SEFL
'separately': SERPLT
'involve': SROFL
'avoiding': A/SROEUGD
'tending': TEPBGD
'Australian': AURPBLT
'defending': TKE/TPEPBGD
'perseverance': PER/SAOEFRPBS
'concluding': KAUPB/KHRAOUGD
'dispatch': STKPAFP
'beware': PWE/WAEUR
'outburst': AOUT/PWUFRT
'dismiss': STKPHEUS
'distorted': STKORTD
'heading': HEGD
'favors': TPAEUFRS
'bewilderment': PWE/WEULD/ERPLT
'folding': TPOELGD
'helpful': HEFPL
'taller': TAURL
'vehemently': SRAOEPLT/HREU
'dealer': TKAOERL
'misunderstanding': PHURPBGD
'universities': AOUFRTS
'boiler': PWOEURL
'trailer': TRAEURL
'rustle': RUFLT
'indefinitely': EUPB/TKEFPBLT
'diversity': TKWEFRT
'diseased': STKAOE/-D
'dissolve': TKEUS/OFL
