Multi-syllable words with multiple strokes

'alone': A/HROEPB
'itself': T/SEFL
'answered': AEPBS/-D
'replied': RE/PHRAOEUD
'appeared': A/PAOERD
'added': AD/-D
'London': HROPBD/OPB
'an'': APB/AE
'unto': UPB/TO
'remained': RE/PHAEUPBD
'blockquote': PWHROBG/TK-LS/KWOET
'beginning': TKPWEUPB/-G
'donations': TKOEPBGS/-S
'afraid': A/TPRAEUD
'appear': A/PAOER
'impossible': EUPL/POB
'man's': PHAPB/AES
'expression': EBGS/PREGS
'beside': PWE/SAOEUD
'scarcely': SKAEURS/HREU
'greatest': TKPWRAET/EFT
'political': PHREU/K-L
'Henry': HEPB/REU
'happiness': HAEP/-PBS
'religion': RE/HR-GS
'declared': TKE/KHRAEURD
'attempt': A/TEPLT
'Indian': EUPBD/KWRAPB
'intended': SPWEPBD/-D
'trademark': TRAEUD/PHARBG
'appears': A/PAOERS
'reply': RE/PHRAOEU
'religious': RE/HREURBS
'father's': TPAER/AES
'affairs': A/TPAEURS
'access': ABG/SES
'repeated': RE/PAOETD
'darkness': TKARBG/-PBS
'military': PHEUL/TAER
'silver': SEUL/SRER
'mentioned': PHEPBGS/-D
'servant': SEFRB/APBT
'ordered': ORD/-D
'obliged': OE/PWHRAOEUPBLGD
'attack': A/TABG
'refund': RE/TPUPBD
'provided': PROE/SRAOEUD/-D
'mighty': PHAOEUT/KWREU
'opposite': OP/SEUT
'engaged': EPB/TKPWAEUPBLGD
'mountains': PHOUPB/TAEUPBS
'decided': STKAOEUD/-D
'promised': PROPLS/-D
'extent': EBGS/TEPBT
'Jesus': SKWRAOES/US
'aside': A/SAOEUD
'possessed': POS/ES/-D
'mountain': PHOUPB/TAEUPB
'king's': KEUPBG/AES
'removed': RE/PHOFD
'highest': HAOEU/EFT
'obtained': OB/TAEUPBD
'obtain': OB/TAEUPB
'servants': SER/SRAPBTS
'regarded': RARD/-D
'succeeded': SUBG/SAOED/-D
'peculiar': PE/KAOUL/HRAR
'expressed': EBGS/PREFD
'angry': APBG/REU
'necessity': TPHES/TEU
'permitted': PERPLT/-D
'pity': PEUT/TEU
'companion': KPAPB/KWROPB
'alive': A/HRAOEUF
