Numbers

'0': #O
'1': #S
'2': #T-
'3': #P-
'4': #H
'5': #A
'6': #F
'7': #-P
'8': #L
'9': #-T
'10': 10
'11': 1-D
'12': 12
'13': 13
'14': 14
'15': 15
'16': 16
'17': 17
'18': 18
'19': 19
'20': 20
'21': 12EU
'22': 2-D
'23': 23
'24': 24
'25': 25
'26': 26
'27': 27
'28': 28
'29': 29
'30': 30
'31': 13EU
'32': 23EU
'33': 3-D
'34': 34
'35': 35
'36': 36
'37': 37
'38': 38
'39': 39
'40': 40
'41': 14EU
'42': 24EU
'43': 34EU
'44': 4-D
'45': 45
'46': 46
'47': 47
'48': 48
'49': 49
'50': 50
'51': 15EU
'52': 25EU
'53': 35EU
'54': 45EU
'55': 5D
'56': 56
'57': 57
'58': 58
'59': 59
'60': 0EU6
'61': 1EU6
'62': 2EU6
'63': 3EU6
'64': 4EU6
'65': 5EU6
'66': -6D
'67': 67
'68': 68
'69': 69
'70': 0EU7
'71': 1EU7
'72': 2EU7
'73': 3EU7
'74': 4EU7
'75': 5EU7
'76': EU67
'77': -7D
'78': 78
'79': 79
'80': 0EU8
'81': 1EU8
'82': 2EU8
'83': 3EU8
'84': 4EU8
'85': 5EU8
'86': EU68
'87': EU78
'88': -8D
'89': 89
'90': 0EU9
'91': 1EU9
'92': 2EU9
'93': 3EU9
'94': 4EU9
'95': 5EU9
'96': EU69
'97': EU79
'98': EU89
'99': -9D
'100': #SZ
'200': #T-Z
'300': #P-Z
'400': #HZ
'500': #AZ
'600': #FZ
'700': #-PZ
'800': #LZ
'900': EU9
'1,000': #S/W-B/THUZ
'2,000': #T-/W-B/THUZ
'3,000': #P-/W-B/THUZ
'4,000': #H/W-B/THUZ
'5,000': #A/W-B/THUZ
'6,000': #F/W-B/THUZ
'7,000': #-P/W-B/THUZ
'8,000': #L/W-B/THUZ
'9,000': #-T/W-B/THUZ
'10,000': #SO/W-B/THUZ
'1000': 1/THUZ
'2000': 2/THUZ
'3000': 3/THUZ
'4000': 4/THUZ
'5000': 5/THUZ
'6000': 6/THUZ
'7000': 7/THUZ
'8000': 8/THUZ
'9000': 9/THUZ
'10000': 10/THUZ
