One-syllable words with compound clusters

'French': TPREFRPB
'march': PHAFRPB
'serve': SEFRB
'search': SEFRPB
'bank': PWA*PBG
'served': SEFRBD
'rank': RA*PBG
'milk': PH*EULG
'banks': PWA*PBGS
'branch': PWRAFRPB
'silk': S*EULG
'sank': SA*PBG
'drank': TKRA*PBG
'marched': PHAFRPBD
'drunk': TKR*UPBG
'ranks': RA*PBGS
'jumped': SKWR*UPLD
'sunk': S*UPBG
'nerves': TPHEFRBZ
'pink': P*EUPBG
'searched': SEFRPBD
'sink': S*EUPBG
'bench': PWEFRPB
'blank': PWHRA*PBG
'porch': POFRPB
'carved': KAFRBD
'lamps': HRA*PLS
'arch': AFRPB
'nerve': TPHEFRB
'bulk': PW*ULG
'bunch': PWUFRPB
'linked': HR*EUPBGD
'monk': PHO*PBG
'ink': *EUPBG
'stamped': STA*PLD
'serves': SEFRBS
'curve': KUFRB
'flank': TPHRA*PBG
'link': HR*EUPBG
'ranch': RAFRPB
'torch': TOFRPB
'curved': KUFRBD
'starve': STAFRB
'Blanche': PWHRA*FRPB
'launched': HRAUFRPBD
'brink': PWR*EUPBG
'trench': TREFRPB
'pinch': PEUFRPB
'wink': W*EUPBG
'plank': PHRA*PBG
'arched': AFRPBD
'launch': HRAUFRPB
'curves': KUFRBS
'tank': TA*PBG
'punch': PUFRPB
'perch': PEFRPB
'birch': PWEUFRPB
'wench': WEFRPB
