One-syllable words with digraphs

'that': THA
'they': THE
'their': THAEUR
'these': THEZ
'than': THAPB
'them': THEPL
'should': SHO
'such': SUFP
'then': THEPB
'through': THRU
'she': SHE
'those': THOZ
'long': HROPBG
'check': KHEBG
'much': PHUFP
'three': THRAOE
'shop': SHOP
'change': KHAEUPBG
'shall': SHAL
'thread': THRED
'things': THEUPBGS
'young': KWRUPBG
'changes': KHAEUPBGS
'range': RAEUPBG
'child': KHAOEULD
'share': SHAEUR
'short': SHORT
'beach': PWAEFP
'thing': THEUPBG
'cheap': KHAEP
'third': THEURD
'tech': TEFP
'watch': WAFP
'thanks': THAPBGS
'choose': KHAOS
'shows': SHOES
'chat': KHAT
'thought': THAUT
'shoes': SHAOUS
'king': KEUPBG
'cash': KARB
'wish': WEURB
'bush': PWURB
'length': HREPBG
'shown': SHOEPB
'flash': TPHRARB
'choice': KHOEUS
'song': SOPBG
'spring': SPREUPBG
'thank': THAPBG
'strong': STROPBG
'ship': SHEUP
'thus': THUS
'ships': SHEUPS
'ring': REUPBG
'match': PHAFP
'fish': TPEURB
'string': STREUPBG
'songs': SOPBGS
'wrong': WROPBG
'watches': WAFPS
'chief': KHAOEF
'changed': KHAEUPBGD
'switch': SWEUFP
'sheet': SHAOET
'chance': KHAPBS
'shot': SHOT
'chair': KHAEUR
'shirt': SHEURT
'patch': PAFP
'fresh': TPRERB
'shops': SHOPS
'thoughts': THAUTS
'theme': THAOEPL
'rich': REUFP
'touch': TUFP
'Kong': KOPBG
'chain': KHAEUPB
'reach': RAOEFP
'chart': KHART
'shirts': SHEURTS
'Hong': HOPBG
'speech': SPAOEFP
'shared': SHAEURD
'springs': SPREUPBGS
'rings': REUPBGS
'strength': STREPBG
'shares': SHAEURS
'shape': SHAEUP
'charts': KHARTS
'matches': PHAFPS
'sharp': SHARP
'coach': KOEFP
'cheats': KHAOETS
'mesh': PHERB
'checks': KHEBGS
'reached': RAOEFPD
'showed': SHOED
'threads': THREDZ
'dish': TKEURB
'push': PURB
'shell': SHEL
'catch': KAFP
'themes': THAOEPLS
'shift': SHEUFT
'chip': KHEUP
'char': KHAR
'shots': SHOTS
'choices': KHOEUFS
'sheets': SHAOETS
'teach': TAOEFP
'Dutch': TKUFP
'threat': THRET
'strange': STRAEUPBG
'bang': PWAPBG
'wing': WEUPBG
'cache': KAERB
'shipped': SHEUPD
'thongs': THOPBGS
'cheese': KHAOES
'gang': TKPWAPBG
'lounge': HROUPBG
'wings': WEUPBGS
'thin': THEUPB
'shaved': SHAEUFD
'chairs': KHAEURS
'checked': KHEBGD
'throw': THROE
'crash': KRARB
'kings': KEUPBGS
'shock': SHOBG
'rush': RURB
'throat': THROET
'shit': SHEUT
'thick': THEUBG
'chips': KHEUPS
'chest': KHEFT
'shorts': SHORTS
'patches': PAFPS
'cached': KAERBD
'theft': THEFT
'swing': SWEUPBG
'shoot': SHAOT
'wash': WARB
'shore': SHOR
'strings': STREUPBGS
'shut': SHUT
'switches': SWEUFPS
'stretch': STREFP
'shelf': SHEFL
'thumbs': THUPLS
'sing': SEUPBG
'hang': HAPBG
'chase': KHAEUS
'shaped': SHAEUPD
'charm': KHARPL
'lung': HRUPBG
'watched': WAFPD
'wishes': WEURBS
'thinks': THEUS
'that's': THATS
'brush': PWRURB
'chains': KHAEUPBS
'cheat': KHAOET
'threats': THRETS
'pitch': PEUFP
'chef': SHEF
'chuck': KHUBG
'Lang': HRAPBG
'ranges': RAEUPBGS
'chose': KHOES
'shield': SHAOELD
'Josh': SKWRORB
'sheep': SHAOEP
'ash': ARB
'beaches': PWAOEFPS
'chicks': KHEUBGS
'hung': HUPBG
'chem': KHEPL
'bitch': PWEUFP
'chess': KHES
'chances': KHAPBSZ
'dishes': TKEURBS
'batch': PWAFP
'chick': KHEUBG
'thong': THOPBG
'coaches': KOEFPS
'throws': THROES
'scratch': SKRAFP
'Welsh': WERB
'cheers': KHAOERS
'thumb': THUPL
'strengths': STREPBGS
'trash': TRARB
'shapes': SHAEUPS
'shade': SHAEUD
'matched': PHAFPD
'shake': SHAEUBG
'shame': SHAEUPL
'flesh': TPHRERB
'sheer': SHAOER
'wang': WAEPBG
'witch': WEUFP
'speeches': SPAOEFPS
'reaches': RAOEFPS
'pushed': PURBD
'shaft': SHAFT
'Deutsche': TKOEUFP
'dash': TKARB
'ping': PEUPBG
'thrown': THROEPB
'Singh': SAEPBG
'breach': PWRAEFP
'shark': SHARBG
'shine': SHAOEUPB
'hash': HARB
'flush': TPHRURB
'teaches': TAOEFPS
'Yang': KWRAPBG
'switched': SWEUFPD
'choir': KHOEUR
'shades': SHAEUDZ
'touched': TUFPD
'wished': WEURBD
'threw': THRAOU
'shook': SHAOBG
'rushed': RURBD
'thine': THAOEUPB
'shalt': SHALT
'stretched': STREFPD
'she's': SHAOES
'thrust': THRUFT
'flung': TPHRUPBG
'thence': THEPBS
'wretched': WREFPD
'sang': SAPBG
'rang': RAPBG
'they're': THER
'flashed': TPHRARBD
'shouldn't': SHOPBT
'chin': KHEUPB
'washed': WARBD
'swung': SWUPBG
'fetch': TPEFP
'shout': SHOUT
'chap': KHAP
'shores': SHORS
'flushed': TPHRURBD
'ashes': ARBS
'bushes': PWURBS
'chiefs': KHAOEFS
'cheer': KHAOER
'dashed': TKARBD
'theirs': THAEURS
'crushed': KRURBD
'thanked': THAPBGD
'shells': SHELS
'riches': REUFPS
'sketch': SKEFP
'thief': THAOEF
'thirst': THEUFRT
'couch': KOUFP
'wretch': WREFP
'scotch': SKOFP
'sprung': SPRUPBG
'shouts': SHOUTS
'preach': PRAOEFP
'they'll': THEL
'blush': PWHRURB
'throng': THROPBG
'shocked': SHOBGD
'preached': PRAOEFPD
'snatched': STPHAFPD
'shrill': SHREUL
'thrill': THREUL
'shrewd': SHRAOUD
'touches': TUFPS
'she'd': SHAOED
'wrongs': WROPBGS
'lungs': HRUPBGS
'pitched': PEUFPD
'she'll': SHAOEL
'thieves': THAOEFS
'choked': KHOEBGD
'crush': KRURB
'shan't': SHAPBT
'they'd': THED
'shrine': SHRAOEUPB
'plunge': PHRUPBG
'rash': RARB
'shawl': SHAUL
'sings': SEUPBGS
'they've': THEF
'ditch': TKEUFP
'fishes': TPEURBS
'thrice': THRAOEUS
'fling': TPHREUPBG
'brushed': PWRURBD
'rushes': RURBS
'hush': HURB
'sting': STEUPBG
'pang': PAPBG
'sketches': SKEFPS
'thrilled': THREULD
'wrung': WRUPBG
'winged': WEUPBGD
'shelves': SHEFLS
'chalk': KHAUBG
'stretches': STREFPS
'chaste': KHAEUFT
'snatch': STPHAFP
'scratched': SKRAFPD
'fringe': TPREUPBG
'rung': RUPBG
'thorn': THORPB
'chant': KHAPBT
'shoots': SHAOTS
'lash': HRARB
'shun': SHUPB
'smashed': SPHARBD
'tinge': TEUPBG
'chasm': KHAFPL
'splash': SPHRARB
'sham': SHAPL
'sponge': SPOPBG
