One-syllable words with diphthongs

'house': HOUS
'called': KAULD
'hour': HOUR
'call': KAUL
'soul': SOUL
'cause': KAUS
'hours': HOURS
'south': SOUT
'caught': KAUT
'hall': HAUL
'wall': WAUL
'walls': WAULS
'sought': SAUT
'proud': PROUD
'tall': TAUL
'taught': TAUT
'Paul': PAUL
'soil': SOEUL
'souls': SOULS
'paused': PAUFD
'causes': KAUFS
'calls': KAULS
'pause': PAUS
'stout': STOUT
'route': ROUT
'spoil': SPOEUL
'soup': SOUP
'cows': KOUS
'spoiled': SPOEULD
'sauce': SAUS
'Saul': SAUL
'rouse': ROUZ
'sour': SOUR
'spoils': SPOEULS
'howl': HOUL
'trout': TROUT
'scout': SKOUT
'coil': KOEUL
'tout': TOUT
'soiled': SOEULD
'spouse': SPOUS
'stall': STAUL
