One-syllable words with long vowels

'here': HAOER
'right': RAOEUT
'side': SAOEUD
'white': WHAOEUT
'keep': KAOEP
'wife': WAOEUF
'state': STAEUT
'hope': HOEP
'case': KAEUS
'care': KAEUR
'sight': SAOEUT
'paid': PAEUD
'rose': ROEZ
'cold': KOELD
'hair': HAEUR
'tried': TRAOEUD
'wild': WAOEULD
'trees': TRAOES
'sweet': SWAOET
'states': STAEUTS
'street': STRAOET
'wait': WAEUT
'piece': PAOES
'trying': TRAOEUG
'race': RAEUS
'ways': WAEUS
'straight': STRAEUT
'wise': WAOEUS
'rise': RAOEUZ
'cases': KAEUSZ
'safe': SAEUF
'spite': SPAOEUT
'pride': PRAOEUD
'sword': SOERD
'seat': SAOET
'space': SPAEUS
'taste': TAEUFT
'trade': TRAEUD
'rate': RAEUT
'sides': SAOEUDZ
'pure': PAOUR
'pieces': PAOEFS
'price': PRAOEUS
'rights': RAOEUTS
'streets': STRAOETS
'coast': KOEFT
'waited': WAEUTD
'tired': TAOEURD
'heat': HAOET
'posted': POEFTD
'twice': TWAOEUS
'priest': PRAOEFT
'height': HAOEUT
'size': SAOEUZ
'hopes': HOEPS
'rode': ROED
'post': POEFT
'coat': KOET
'treated': TRAOETD
'pair': PAEUR
'ride': RAOEUD
'seated': SAOETD
'sold': SOELD
'hoped': HOEPD
'praise': PRAEUS
'hate': HAEUT
'stated': STAEUTD
'whilst': WHAOEULS
'suit': SAOUT
'rare': RAEUR
'raise': RAEUZ
'trial': TRAOEUL
'type': TAOEUP
'pope': POEP
'stairs': STAEURS
'speed': SPAOED
'sail': SAEUL
'hide': HAOEUD
'host': HOEFT
'spare': SPAEUR
'priests': PRAOEFTS
'haste': HAEUFT
'rear': RAOER
'pipe': PAOEUP
'cease': SAOES
'tribes': TRAOEUBS
'treat': TRAOET
'stayed': STAEUD
'tide': TAOEUD
'tail': TAEUL
'trace': TRAEUS
'tribe': TRAOEUB
'rude': RAOUD
'trail': TRAEUL
'wives': WAOEUFS
'cared': KAEURD
'steel': STAOEL
'scarce': SKAEURS
'poets': POETS
'seed': SAOED
'writes': WRAOEUTS
'sailed': SAEULD
'rope': ROEP
'pace': PAEUS
'prize': PRAOEUZ
'keeps': KAOEPS
'wheel': WHAOEL
'cure': KAOUR
'steep': STAOEP
'wire': WAOEUR
'cave': KAEUF
'seats': SAOETS
'prayed': PRAEUD
'heap': HAOEP
'heels': HAOELS
'cares': KAEURS
'coal': KOEL
'races': RAEUSZ
'seize': SAOEZ
'corps': KOERP
'wheels': WHAOELS
'weep': WAOEP
'types': TAOEUPS
'spared': SPAEURD
'wheat': WHAOET
'seeds': SAOEDZ
'seal': SAOEL
'tight': TAOEUT
'suited': SAOUTD
'waist': WAEUFT
'sweep': SWAOEP
'traces': TRAEUFS
'spear': SPAOER
'swords': SOERDZ
'sails': SAEULS
'prose': PROES
'codes': KOEDZ
'strife': STRAOEUF
'rice': RAOEUS
'skies': SKAOEUS
'robe': ROEB
'prices': PRAOEUFS
'heights': HAOEUTS
'traced': TRAEUFD
'rows': ROES
'ruled': RAOULD
'tastes': TAEUFTS
'rail': RAEUL
'ripe': RAOEUP
'sire': SAOEUR
'keys': KAOES
'sealed': SAOELD
'posts': POEFTS
'code': KOED
'strove': STROEF
'trials': TRAOEULS
'whites': WHAOEUTS
'wiped': WAOEUPD
'scared': SKAEURD
'piled': PAOEULD
'hail': HAEUL
'pipes': PAOEUPS
'tube': TAOUB
'cured': KAOURD
'suits': SAOUTS
'hosts': HOEFTS
'rates': RAEUTS
'pays': PAEUZ
'heel': HAOEL
'scope': SKOEP
'coats': KOETS
'strode': STROED
'ropes': ROEPS
'tries': TRAOEUS
'steed': STAOED
'spaces': SPAEUFS
'toast': TOEFT
'coasts': KOEFTS
'truce': TRAOUS
'weird': WAOERD
'pairs': PAEURS
'soap': SOEP
'hides': HAOEUDZ
'wires': WAOEURS
'heaped': HAOEPD
'peer': PAOER
'roast': ROEFT
'wipe': WAOEUP
'traits': TRAEUTS
'reef': RAOEF
'stair': STAEUR
'steer': STAOER
'rides': RAOEUDZ
'paved': PAEUFD
'haze': HAEUZ
'wade': WAEUD
'seals': SAOELS
'wail': WAEUL
'peep': PAOEP
'pierce': PAOERS
'paste': PAEUFT
'trades': TRAEUDZ
'tire': TAOEUR
'reap': RAOEP
'peas': PAOEZ
'wares': WAEURS
'pose': POES
'peers': PAOERZ
'stride': STRAOEUD
'cape': KAEUP
'scare': SKAEUR
'raid': RAEUD
'reed': RAOED
'trait': TRAEUT
'spade': SPAEUD
'pail': PAEUL
'sate': SAEUT
'ware': WAEUR
'heave': HAOEF
