One-syllable words with more consonants

'part': PART
'world': WORLD
'heart': HART
'told': TOLD
'course': KORS
'words': WORDZ
'word': WORD
'whose': WHOZ
'held': HELD
'kept': KEPT
'hard': HARD
'hold': HOLD
'sort': SORT
'horse': HORS
'parts': PARTS
'court': KORT
'step': STEP
'steps': STEPS
'soft': SOFT
'spot': SPOT
'stop': STOP
'worse': WORS
'start': START
'heads': HEDZ
'spread': SPRED
'hearts': HARTS
'hurt': HURT
'tells': TELS
'stars': STARS
'salt': SALT
'store': STOR
'hers': HERS
'press': PRES
'staff': STAF
'port': PORT
'sorts': SORTS
'Scott': SKOT
'star': STAR
'holds': HOLDZ
'stuff': STUF
'card': KARD
'wrought': WROT
'courts': KORTS
'curse': KURS
'wept': WEPT
'wars': WARS
'score': SKOR
'sport': SPORT
'spell': SPEL
'ward': WARD
'sets': SETS
'purse': PURS
'cart': KART
'corpse': KORPS
'trap': TRAP
'spots': SPOTS
'tread': TRED
'swell': SWEL
'cars': KARS
'hats': HATS
'cups': KUPS
'tops': TOPS
'halt': HALT
'worlds': WORLDZ
'wells': WELS
'ports': PORTS
'cord': KORD
'sweat': SWET
'stress': STRES
'skull': SKUL
'pulse': PULS
'cats': KATS
'rolls': ROLS
'stead': STED
'cuts': KUTS
'harp': HARP
'spur': SPUR
'pots': POTS
'Scots': SKOTS
'Carl': KARL
'sports': SPORTS
'stool': STOL
'pearl': PERL
'caps': KAPS
'trod': TROD
'rats': RATS
'raft': RAFT
'trot': TROT
'carts': KARTS
'cords': KORDZ
'stroll': STROL
'hurts': HURTS
'curl': KURL
'wrap': WRAP
'scar': SKAR
