One-syllable words with multiple strokes

'added': AD/-D
'via': SRAOE/A
'mid': PHEUD/PHEUD
'sorted': SORT/-D
'tits': TEUT/-S
'taxes': TABGSZ
'ended': EPBD/-D
'les': HRE/-S
'res': RE/-S
'era': ER/KWRA
'asp': AS/-P
'cafe': KAF/AEU
'funded': TPUPBD/-D
'cocks': KOBG/-S
'losses': HROS/-S
'loaded': HRAOD/-D
'founded': TPOUPBD/-D
'roses': ROES/-S
'sized': SAOEUZ/-D
'dated': TKAEUT/-D
'mounted': PHOUPBTD
'fonts': TPOPBTS
'nurses': TPHURSZ
'headed': HED/-D
'threaded': THRED/-D
'ist': S-P/EUFT
'das': TKA/-S
'guided': TKPWAOEUD/-D
'chaos': KAEU/OS
'bases': PWAEUS/-S
'dresses': TKRES/-S
'tanks': TAPB/-BGS
'sluts': SHRUT/-S
'handed': HAPBD/-D
'ons': OPB/-S
'pins': PEUPB/-S
'prizes': PRAOEUZ/-S
'neo': TPHAOE/KWROE/S-P
'trio': TREU/KWRO
'grande': TKPWRAPBD/SKWRE
'una': AOUPB/KWRA
'lows': HROE/-S
'mas': PHA/-S
'phrases': TPRAEUS/-S
'dept': TKE/-PT
'disks': TKEUS/-BGS
'verde': SRERD/SKWRE
'acne': ABG/TPHE
'libs': HREUB/-S
'gays': TKPWAEU/-S
'charms': KHARPL/-S
'buses': PWUS/-S
'pas': PA/-S
'coated': KOET/-D
'sas': SA/-S
'mods': PHOD/-S
'craps': KRAP/-S
'phases': TPAEUZ/-Z
'banned': PWAPB/-D
'diffs': TKEUF/-S
'boxed': PWOBGS/-D
'spies': SPAOEU/-S
'heated': HAOET/-D
'bras': PWRA/-S
'cakes': KAEUBG/-S
'titled': TAOEUT/*LD
'mails': PHAEUL/-S
'oaks': OEBG/-S
'mia': PHAOE/KWRA
'wan': WAPB/WAPB
'nested': TPHEFT/-D
'ira': EUR/SKWRA
'notre': TPHOET/RE
'ids': EUFPLT/TK-FPLT/-S
'seized': SAOEZ/-D
'ceased': KRAES/-D
'wounded': WOUPBD/-D
'paused': PAUS/-D
'shouted': SHOUT/-D
'glanced': TKPWHRAPBS/-D
'bowed': PWOE/-D
'nodded': TPHOD/-D
'lighted': HRAOEUT/-D
'priests': PRAOEFT/-S
'gazed': TKPWAEZ/-D
'senses': SEPBS/-S
