One-syllable words with right-hand consonants with multiple keys

'on': OPB
'an': APB
'home': HOEPL
'one': WUPB
'time': TAOEUPL
'when': WHEPB
'am': APL
'some': SOPL
'terms': TERPLS
'send': SEPBD
'take': TAEUBG
'want': WAPBT
'sign': SAOEUPB
'same': SAEUPL
'UK': UBG
'end': EPBD
'him': HEUPL
'since': SEUPBS
'times': TAOEUPLS
'print': PREUPBT
'teen': TAOEPB
'room': RAOPL
'stock': STOBG
'point': POEUPBT
'science': SKRAOEUPBS
'team': TAEPL
'week': WAOEBG
'come': KOPL
'san': SAPB
'act': ABGT
'hand': HAPBD
'sun': SUPB
'porn': PAURPB
'run': RUPB
'term': TERPL
'track': TRABG
'once': WUPBS
'sound': SOUPBD
'talk': TAUBG
'rock': ROBG
'risk': REUFBG
'town': TOUPB
'points': POEUPBTS
'quick': KWEUBG
'turn': TURPB
'seen': SAOEPB
'screen': SKRAOEPB
'soon': SAOPB
'came': KAEUPL
'teens': TAOEPBS
'kind': KEUPBD
'OK': OBG
'sent': SEPBT
'went': WEPBT
'homes': HOEPLS
'took': TAOBG
'rooms': RAOPLS
'win': WEUPB
'comes': KOPLS
'wanted': WAPBTD
'round': ROUPBD
'wine': WAOEUPB
'son': SOPB
'XML': KPOEPL
'seems': SAOEPLS
'skin': SKEUPB
'sense': SEPBS
'pack': PABG
'Spain': SPAEUPB
'rent': REPBT
'hands': HAPBDZ
'tom': TOPL
'ten': TEPB
'stand': STAPBD
'wind': WEUPBD
'palm': PAPL
'stone': STOEPB
'pain': PAEUPB
'sec': SEBG
'crime': KRAOEUPL
'count': KOUPBT
'task': TAFBG
'walk': WAUBG
'saint': SAEUPBT
'stream': STRAOEPL
'pick': PEUBG
'signed': SAOEUPBD
'prime': PRAOEUPL
'creek': KRAOEBG
'cock': KOBG
'seem': SAOEPL
'ones': WUPBZ
'owned': OEPBD
'kinds': KEUPBDZ
'teams': TAOEPLS
'turned': TURPBD
'wants': WAPBTS
'truck': TRUBG
'signs': SAOEUPBS
'train': TRAEUPL
'con': KOPB
'speak': SPAOEBG
'spam': SPAPL
'cent': KREPBT
'won': WOPB
'spent': SPEPBT
'scene': SAEPB
'whom': WHOPL
'scheme': SKAOEPL
'arms': ARPLS
'rom': ROPL
'printed': PREUPBTD
'prints': PREUPBTS
'spend': SPEPBD
'rain': RAEUPB
'Tim': TEUPL
'cream': KRAOEPL
'runs': RUPBS
'trends': TREPBDZ
'peak': PAEBG
'pin': PEUPB
'cook': KAOBG
'seek': SAOEBG
'tracks': TRABGZ
'cam': KAPL
'prince': PREUPBS
'ram': RAPL
'arm': ARPL
'acts': ABGZ
'lens': REPBS
'warm': WARPL
'suck': SUBG
'Sam': SAPL
'stick': STEUBG
'storm': STORPL
'paint': PAEUPBT
'pan': PAPB
'sum': SUPL
'seemed': SAOEPLD
'earn': ERPB
'Kim': KEUPL
'twin': TWEUPB
'stands': STAPBDZ
'strike': STRAOEUBG
'hundred': HUPBD
'scan': SKAPB
'sin': SEUPB
'pounds': POUPBZ
'tone': TOEPB
'turns': TURPBS
'pants': PAPBTS
'crown': KROUPB
'crack': KRABG
'picks': PEUBGZ
'cake': KAEUBG
'coins': KOEUPBS
'ken': KEPB
'pen': PEPB
'sand': SAPBD
'ran': RAPB
'Wayne': WAEUPB
'sick': SEUBG
'trend': TREPBD
'Ron': ROPB
'counts': KOUPBTS
'hence': HEPBS
'Kent': KEPBT
'wins': WEUPBZ
'rack': RABG
'trans': TRAPBS
'wake': WAEUBG
'armed': ARPLD
'pine': PAOEUPB
'tend': TEPBD
'Rick': REUBG
'hunt': HUPBT
'scenes': SAOEPBS
'pound': POUPBD
'trained': TRAEUPBD
'tones': TOEPBS
'weak': WAEBG
'towns': TOUPBS
'sons': SOPBS
'kick': KEUBG
'spin': SPEUPB
'poems': POEPLS
'winds': WEUPBDZ
'stones': STOEPBS
'aims': AEUPLS
'earned': ERPBD
'ext': EBGT
'tracked': TRABGD
'packs': PABGZ
'spoke': SPOEBG
'stroke': STROBG
'hook': HAOBG
'steam': STAEPL
'tons': TOPBS
'stack': STABG
'walked': WAUBGD
'ins': EUPBS
'pointed': POEUPBTD
'screens': SKRAOEPBS
'stem': STEPL
'tune': TAOUPB
'corn': KORPB
'tin': TEUPB
'trek': TREBG
'painted': PAEUPBTD
'schemes': SKAOEPLS
'crimes': KRAOEUPLS
'trim': TREUPL
'coin': KOEUPB
'aimed': AEUPLD
'harm': HARPL
'um': UPL
'proc': PROBG
'tan': TAPB
'packed': PABGD
'talked': TAUBGD
'hon': HOPB
'prompt': PROPLT
'chrome': KROEPL
'pond': POPBD
'strain': STRAEUPB
'stuck': STUBG
'span': SPAPB
'wines': WAOEUPBS
'poem': POEPL
'streams': STRAOEPLS
'swim': SWEUPL
'struck': STRUBG
'rec': REBG
'ton': TOPB
'hints': HEUPBTS
'trains': TRAEUPBS
'strict': STREBGT
'trick': TREUBG
'horn': HORPB
'calm': KAUPL
'twins': TWEUPBS
'sprint': SPREUPBT
'sucks': SUBGZ
