One-syllable words with short vowels

'world': WORLD
'part': PART
'store': STOR
'sports': SPORTS
'still': STEUL
'card': KARD
'press': PRES
'course': KORS
'West': WEFT
'start': START
'cost': KOFT
'test': TEFT
'cart': KART
'staff': STAF
'stores': STORS
'hard': HARD
'court': KORT
'star': STAR
'cards': KARDZ
'cars': KARS
'past': PAFT
'costs': KOFTS
'parts': PARTS
'word': WORD
'kids': KEUDZ
'tips': TEUPS
'words': WORDZ
'heart': HART
'sort': SORT
'step': STEP
'stuff': STUF
'port': PORT
'stop': STOP
'started': STARTD
'held': HELD
'skills': SKEULS
'score': SKOR
'courses': KORSZ
'hold': HOLD
'sport': SPORT
'sources': SORSZ
'horse': HORS
'stars': STARS
'told': TOLD
'trust': TRUFT
'rest': REFT
'sets': SETS
'trip': TREUP
'hits': HEUTS
'skip': SKEUP
'whose': WHOZ
'tests': TEFTS
'Scott': SKOT
'soft': SOFT
'steps': STEPS
'tags': TAGZ
'cast': KAFT
'passed': PAFD
'stats': STATS
'wars': WARS
'kept': KEPT
'spot': SPOT
'pets': PETS
'stress': STRES
'hills': HEULS
'salt': SALT
'width': WEUTD
'spread': SPRED
'kits': KEUTS
'killed': KEULD
'starts': STARTS
'scores': SKORS
'tested': TEFTD
'Swiss': SWEUS
'helped': HEPD
'polls': POLS
'saved': SAFD
'ports': PORTS
'holds': HOLDZ
'pulse': PULS
'courts': KORTS
'strip': STREUP
'pearl': PERL
'heads': HEDZ
'stored': STORD
'trips': TREUPS
'worst': WOFRT
'prove': PROF
'skill': SKEUL
'cats': KATS
'worse': WORS
'tells': TELS
'hist': HEUFT
'stopped': STOPD
'ward': WARD
'trusted': TRUFTD
'wells': WELS
'tabs': TABS
'pills': PEULS
'hearts': HARTS
'wolf': WOFL
'hurt': HURT
'cuts': KUTS
'caps': KAPS
'Carl': KARL
'picked': PEUGD
'wrap': WRAP
'tops': TOPS
'hats': HATS
'strap': STRAP
'cord': KORD
'skiing': SKEUG
'twelve': TWEFL
'waves': WAFS
'tagged': TAGD
'pulled': PULD
'puts': PUTS
'worlds': WORLDZ
'spots': SPOTS
'skirt': SKEURT
'proved': PROFD
'stud': STUD
'scored': SKORD
'rolls': ROLS
'stops': STOPS
'pads': PADZ
'cups': KUPS
'sells': SELZ
'rats': RATS
'stat': STAT
'spell': SPEL
'prep': PREP
'pros': PROS
'swap': SWAP
'skilled': SKEULD
'trap': TRAP
'twist': TWEUFT
'saves': SAFS
'solved': SOFLD
'pest': PEFT
'hired': HEURD
'kills': KEULS
'trusts': TRUFTS
'rolled': ROLD
'wrist': WREUFT
'sorts': SORTS
'wrapped': WRAPD
'swift': SWEUFT
'strips': STREUPS
'skirts': SKEURTS
'purse': PURS
'pressed': PREFD
'whore': WHOR
'spas': SPAS
'stuffed': STUFD
'stepped': STEPD
'hers': HERS
'troubled': TRUBLD
'poured': PORD
'parted': PARTD
'stir': STEUR
'wrought': WROT
'wilt': WEULT
'stirred': STEURD
'curse': KURS
'wept': WEPT
'stiff': STEUF
'waved': WAFD
'sits': SEUTS
'whip': WHEUP
'robbed': ROBD
'corpse': KORPS
'tread': TRED
'stove': STOF
'swell': SWEL
'rubbed': RUBD
'proves': PROFS
'rests': REFTS
'ragged': RAGD
'halt': HALT
'stripped': STREUPD
'sweat': SWET
'rugged': RUGD
'hurled': HURLD
'strive': STREUF
'wolves': WOFLS
'skull': SKUL
'writ': WREUT
'whipped': WHEUPD
'stead': STED
'harp': HARP
'swelled': SWELD
'spur': SPUR
'pots': POTS
'Scots': SKOTS
'stool': STOL
'trod': TROD
'twelfth': TWEFLT
'raft': RAFT
'trot': TROT
'Whig': WHEUG
'carts': KARTS
'whirl': WHEURL
'cords': KORDZ
'toss': TOSZ
'tapped': TAPD
'spit': SPEUT
'stroll': STROL
'puffed': PUFD
'hurts': HURTS
'curl': KURL
'whit': WHEUT
'scarf': SKAFR
'scar': SKAR
