One-syllable words with simple keys

'was': WAS
'her': HER
'said': SED
'has': HAS
'well': WEL
'part': PART
'world': WORLD
'head': HED
'put': PUT
'tell': TEL
'heart': HART
'set': SET
'told': TOLD
'course': KORS
'words': WORDZ
'word': WORD
'whose': WHOZ
'half': HAF
'says': SEZ
'held': HELD
'war': WAR
'kept': KEPT
'hard': HARD
'hold': HOLD
'sort': SORT
'cut': KUT
'pass': PAS
'horse': HORS
'red': RED
'parts': PARTS
'court': KORT
'top': TOP
'step': STEP
'per': PER
'hot': HOT
'steps': STEPS
'soft': SOFT
'spot': SPOT
'stop': STOP
'worse': WORS
'start': START
'hat': HAT
'heads': HEDZ
'spread': SPRED
'hearts': HARTS
'sad': SAD
'hurt': HURT
'tells': TELS
'wore': WOR
'stars': STARS
'rough': RUF
'car': KAR
'cup': KUP
'salt': SALT
'sell': SEL
'store': STOR
'wet': WET
'hers': HERS
'cap': KAP
'press': PRES
'staff': STAF
'hell': HEL
'cat': KAT
'port': PORT
'sorts': SORTS
'Scott': SKOT
'star': STAR
'holds': HOLDZ
'stuff': STUF
'pull': PUL
'card': KARD
'wrought': WROT
'web': WEB
'pour': POR
'roll': ROL
'courts': KORTS
'curse': KURS
'sore': SOR
'wept': WEPT
'wars': WARS
'score': SKOR
'roar': ROR
'hut': HUT
'sport': SPORT
'spell': SPEL
'ward': WARD
'sets': SETS
'purse': PURS
'pot': POT
'cart': KART
'corpse': KORPS
'trap': TRAP
'spots': SPOTS
'rob': ROB
'tread': TRED
'swell': SWEL
'rod': ROD
'cars': KARS
'hats': HATS
'cab': KAB
'cups': KUPS
'tops': TOPS
'halt': HALT
'worlds': WORLDZ
'pub': PUB
'tour': TOR
'wells': WELS
'ports': PORTS
'cord': KORD
'sweat': SWET
'stress': STRES
'pet': PET
'skull': SKUL
'pulse': PULS
'cats': KATS
'rolls': ROLS
'tough': TUF
'stead': STED
'cuts': KUTS
'harp': HARP
'rub': RUB
'spur': SPUR
'pat': PAT
'sob': SOB
'pots': POTS
'Scots': SKOTS
'Carl': KARL
'sports': SPORTS
'calf': KAF
'stool': STOL
'pearl': PERL
'caps': KAPS
'hull': HUL
'trod': TROD
'wed': WED
'cough': KOF
'rats': RATS
'raft': RAFT
'trot': TROT
'Ted': TED
'rat': RAT
'tap': TAP
'carts': KARTS
'cords': KORDZ
'core': KOR
'toss': TOS
'rug': RUG
'wad': WAD
'sub': SUB
'stroll': STROL
'rag': RAG
'puff': PUF
'rot': ROT
'peg': PEG
'tub': TUB
'sol': SOL
'sup': SUP
'hurts': HURTS
'curl': KURL
'wrap': WRAP
'cot': KOT
'sap': SAP
'scar': SKAR
