One-syllable words with unstressed vowels

'passed': PAFD
'horses': HORSZ
'stopped': STOPD
'started': STARTD
'proved': PROFD
'settled': SELTD
'saved': SAFD
'pressed': PREFD
'pulled': PULD
'helped': HEPD
'stepped': STEPD
'waves': WAFS
'troubled': TRUBLD
'rolled': ROLD
'rested': REFTD
'poured': PORD
'parted': PARTD
'sources': SORSZ
'trusted': TRUFTD
'wrapped': WRAPD
'waved': WAFD
'stores': STORS
'robbed': ROBD
'rubbed': RUBD
'proves': PROFS
'ragged': RAGD
'rugged': RUGD
'hurled': HURLD
'courses': KORSZ
'swelled': SWELD
'stuffed': STUFD
'tapped': TAPD
'tested': TEFTD
'puffed': PUFD
