Blue Beard Part 10

'one': WUPB
'part': PART
'of': -F
'it': T
'to': TO
'marry': PHAER
'her': HER
'sister': ST-R
'Anne': A*EPB
'to': TO
'a': AEU
'young': KWRUPBG
'gentleman': SKWRA*PL
'who': WHO
'had': H
'loved': HROFD
'her': HER
'a': AEU
'long': HROPBG
'while;': WHAOEUL STPH*FPLT
'another': TPHOER
'part': PART
'to': TO
'buy': PWAOEU
'captains'': KAPT/EUPBS AE
'commissions': KPHEUGS/-S
'for': TPOR
'her': HER
'brothers;': PWROERS STPH*FPLT
'and': SKP
'the': -T
'rest': REFT
'to': TO
'marry': PHAER
'herself': H*ERS
'to': TO
'a': AEU
'very': SRE
'worthy': WOR/TH*EU
'gentleman,': SKWRA*PL KW-BG
'who': WHO
'made': PHAED
'her': HER
'forget': TPERGT
'the': -T
'ill': EUL
'time': TAOEUPL
'she': SHE
'had': H
'passed': PAFD
'with': W
'Blue': PWHRU
'Beard.': PWAERD TP-PL
