Cinderilla or the Little Glass Slipper

'Once': KPA/WUPBS
'there': THR
'was': WAS
'a': AEU
'gentleman': SKWRA*PL
'who': WHO
'married,': PHAERD/KW-BG
'for': TPOR
'his': HEUS
'second': SEBGD
'wife,': WAOEUF/KW-BG
'the': -T
'proudest': PROUD/EFT
'and': SKP
'most': PHOFT
'haughty': HAU/TEU
'woman': WOPL
'that': THA
'was': WAS
'ever': -FR
'seen.': SAOEPB/TP-PL
'She': KPA/SHE
'had,': H/KW-BG
'by': PWEU
'a': AEU
'former': TPRORPL
'husband,': HUS/KW-BG
'two': TWO
'daughters': TKAURS
'of': -F
'her': HER
'own': OEPB
'humour': HAOURPL/A*U
'and': SKP
'they': THE
'were': WR
'indeed': TPHAOEPBD
'exactly': ELG
'like': HRAOEUBG
'her': HER
'in': TPH
'all': AUL
'things.': THEUPBGS/TP-PL
'He': KPA/HE
'had': H
'likewise,': HRAOEUBG/WAOEUS/KW-BG
'by': PWEU
'another': TPHOER
'wife,': WAOEUF/KW-BG
'a': AEU
'young': KWRUPBG
'daughter,': TKAUR/KW-BG
'but': PWUT
'of': -F
'unparalleled': UPB/PA*R/HRELD
'goodness': TKPWAOD/-PBS
'and': SKP
'sweetness': SWAOET/-PBS
'of': -F
'temper,': TEPL/PER/KW-BG
'which': WEU
'she': SHE
'took': TAOBG
'from': TPR
'her': HER
'mother,': PHOER/KW-BG
'who': WHO
'was': WAS
'the': -T
'best': PWEFT
'creature': KRAOEFP
'in': TPH
'the': -T
'world.': WORLD/TP-PL
'No': KPA/TPHO
'sooner': SAORPB
'were': WR
'the': -T
'ceremonies': SER/PHOEPB/-S
'of': -F
'the': -T
'wedding': WEGD
'over,': OEFR/KW-BG
'but': PWUT
'the': -T
'stepmother': STEP/PHOER
'began': TKPWAPB
'to': TO
'shew': S*/H*/*E/W*
'herself': H*ERS
'in': TPH
'her': HER
'colours.': KHRORS/A*U/TP-PL
'She': KPA/SHE
'could': KO
'not': TPHOT
'bear': PWAER
'the': -T
'good': TKPWAOD
'qualities': KWALTS
'of': -F
'this': TH
'pretty': PREUT
'girl;': TKPWEURL/STPH*FPLT
'and': SKP
'the': -T
'less,': HRES/KW-BG
'because': PWAU
'they': THE
'made': PHAED
'her': HER
'own': OEPB
'daughters': TKAURS
'appear': A/PAOER
'the': -T
'more': PHOR
'odious.': OED/KWROUS/TP-PL
'She': KPA/SHE
'employed': PHROEUD
'her': HER
'in': TPH
'the': -T
'meanest': PHAOEPB/EFT
'work': WORBG
'of': -F
'the': -T
'house;': HOUS/STPH*FPLT
'she': SHE
'scoured': SKOUR/-D
'the': -T
'dishes,': TKEURBS/KW-BG
'tables,': TAEUBLS/KW-BG
'&c.': SP-PBD/KR*/TP-PL
'and': SKP
'rubbed': RUBD
'Madam's': PHAD/APL/AES
'chamber,': KHAEURPL/KW-BG
'and': SKP
'those': THOZ
'of': -F
'Misses,': KPA/PHEUFZ/KW-BG
'her': HER
'daughters;': TKAURS/STPH*FPLT
'she': SHE
'lay': HRAEU
'up': UP
'in': TPH
'a': AEU
'sorry': SOER
'garret,': TKPWAEUR/RET/KW-BG
'upon': POPB
'a': AEU
'wretched': WREFPD
'straw-bed,': STRAU/PW*ED/KW-BG
'while': WHAOEUL
'her': HER
'sisters': ST-RS
'lay': HRAEU
'in': TPH
'fine': TPAOEUPB
'rooms,': RAOPLS/KW-BG
'with': W
'floors': THRAORS
'all': AUL
'inlaid,': EUPB/HRAEUD/KW-BG
'upon': POPB
'beds': PWEDZ
'of': -F
'the': -T
'very': SRE
'newest': TPHAOUFT
'fashion,': TPAGS/KW-BG
'and': SKP
'where': W-R
'they': THE
'had': H
'looking-glasses': HRAOG/H-PB/TKPWHRAFS
'so': SO
'large,': HRARPBLG/KW-BG
'that': THA
'they': THE
'might': PHAOEUT
'see': SAOE
'themselves': TH*EPLS
'at': AT
'their': THAEUR
'full': TPUL
'length,': HREPBG/KW-BG
'from': TPR
'head': HED
'to': TO
'foot.': TPAOT/TP-PL
'The': KPA/-T
'poor': PAOR
'girl': TKPWEURL
'bore': PWOR
'all': AUL
'patiently,': PAEURBT/HREU/KW-BG
'and': SKP
'dared': TKAEURD
'not': TPHOT
'tell': TEL
'her': HER
'father,': TPAER/KW-BG
'who': WHO
'would': WO
'have': SR
'rattled': RA*LTD
'her': HER
'off;': OF/STPH*FPLT
'for': TPOR
'his': HEUS
'wife': WAOEUF
'governed': TKPWOFRPBD
'him': HEUPL
'intirely.': EUPB/TAOEUR/HREU/TP-PL
'When': KPA/WHEPB
'she': SHE
'had': H
'done': TKOPB
'her': HER
'work,': WORBG/KW-BG
'she': SHE
'used': AOUFD
'to': TO
'go': TKPW
'into': TPHAO
'the': -T
'chimney-corner,': KHEUPL/TPHEU/H-PB/KRORPB/KW-BG
'and': SKP
'sit': SEUT
'down': TKOUPB
'among': PHOPBG
'cinders': SEUPBD/ERS
'and': SKP
'ashes,': ARBS/KW-BG
'which': WEU
'made': PHAED
'her': HER
'commonly': KPHOPBL
'be': -B
'called': KAULD
