Donkey-Skin

'Once': KPA/WUPBS
'upon': POPB
'a': AEU
'time': TAOEUPL
'there': THR
'was': WAS
'a': AEU
'King,': KO*EUPBG/KW-BG
'so': SO
'great,': TKPWRAET/KW-BG
'so': SO
'beloved': PWHROFD
'by': PWEU
'his': HEUS
'people,': PAOEPL/KW-BG
'and': SKP
'so': SO
'respected': R-PTD
'by': PWEU
'all': AUL
'his': HEUS
'neighbours': TPHAEUBS/A*U
'and': SKP
'allies': AL/HRAOEUS
'that': THA
'one': WUPB
'might': PHAOEUT
'almost': HR-PL
'say': SAEU
'he': HE
'was': WAS
'the': -T
'happiest': HAP/KWREFT
'monarch': PHOPB/ARBG
'alive.': A/HRAOEUF/TP-PL
'His': KPA/HEUS
'good': TKPWAOD
'fortune': TP-RPB
'was': WAS
'made': PHAED
'even': AOEPB
'greater': TKPWRAERT
'by': PWEU
'the': -T
'choice': KHOEUS
'he': HE
'had': H
'made': PHAED
'for': TPOR
'wife': WAOEUF
'of': -F
'a': AEU
'Princess': KPA/PREUPB/SES
'as': AS
'beautiful': PWAOUFL
'as': AS
'she': SHE
'was': WAS
'virtuous,': SREURT/WOUS/KW-BG
'with': W
'whom': WHOPL
'he': HE
'lived': HREUFD
'in': TPH
'perfect': P-F
'happiness.': HAEP/-PBS/TP-PL
'Now,': KPA/TPHOU/KW-BG
'of': -F
'this': TH
'chaste': KHAEUFT
'marriage': PHAERPBLG
'was': WAS
'born': PWORPB
'a': AEU
'daughter': TKAUR
'endowed': EPB/TKOU/-D
'with': W
'so': SO
'many': PHAEPB
'gifts': TKPWEUFTS
'that': THA
'they': THE
'had': H
'no': TPHO
'regret': RE/TKPWRET
'because': PWAU
'other': OER
'children': KHEURPB
'were': WR
'not': TPHOT
'given': TKPWEUFPB
'to': TO
'them.': THEPL/TP-PL
'Magnificence,': KPA/PHAFPBS/KW-BG
'good': TKPWAOD
'taste,': TAEUFT/KW-BG
'and': SKP
'abundance': PWUPB/TKAPBS
'reigned': RAEPB/-D
'in': TPH
'the': -T
'palace;': PAL/AS/STPH*FPLT
