Riquet With the Tuft

'There': KPA/THR
'was,': WAS/KW-BG
'once': WUPBS
'upon': POPB
'a': AEU
'time,': TAOEUPL/KW-BG
'a': AEU
'Queen,': KWAO*EPB/KW-BG
'who': WHO
'was': WAS
'brought': PWRAUT
'to': TO
'bed': PWED
'of': -F
'a': AEU
'son,': SOPB/KW-BG
'so': SO
'hideously': HEUD/KWROUS/HREU
'ugly,': ULG/KW-BG
'that': THA
'it': T
'was': WAS
'long': HROPBG
'disputed,': TKEUS/PAOUT/-D/KW-BG
'whether': WHR
'he': HE
'had': H
'human': HAOUPL
'form.': TPORPL/TP-PL
'A': KPA/AEU
'Fairy,': KPA/TPAEUR/REU/KW-BG
'who': WHO
'was': WAS
'at': AT
'his': HEUS
'birth,': PW*EURT/KW-BG
'affirmed,': A/TPEURPLD/KW-BG
'he': HE
'would': WO
'be': -B
'very': SRE
'lovable': HROFBL
'for': TPOR
'all': AUL
'that,': THARBGS
'since': SEUPBS
'he': HE
'should': SHO
'be': -B
'indowed': EUPB/TK*/O*/W*/-D
'with': W
'abundance': PWUPB/TKAPBS
'of': -F
'wit.': WEUT/TP-PL
'She': KPA/SHE
'even': AOEPB
'added,': AD/-D/KW-BG
'that': THA
'it': T
'would': WO
'be': -B
'in': TPH
'his': HEUS
'power,': POUR/KW-BG
'by': PWEU
'virtue': SRAOURT
'of': -F
'a': AEU
'gift': TKPWEUFT
'she': SHE
'had': H
'just': SKWRUFT
'then': THEPB
'given': TKPWEUFPB
'him,': HEUPL/KW-BG
'to': TO
'bestow': PWE/STOEU
'on': OPB
'the': -T
'person': PERPB
'he': HE
'most': PHOFT
'loved': HROFD
'as': AS
'much': PHUFP
'wit': WEUT
'as': AS
'he': HE
'pleased.': PHREFD/TP-PL
'All': KPA/AUL
'this': TH
'somewhat': SWHA
'comforted': K-FRTD
'the': -T
'poor': PAOR
'Queen,': KWAO*EPB/KW-BG
'who': WHO
'was': WAS
'under': TPH-PB
'a': AEU
'grievous': TKPWRAOEF/OUS
'affliction': A/TPHREUBGS
'for': TPOR
'having': SR-G
'brought': PWRAUT
'into': TPHAO
'the': -T
'world': WORLD
'such': SUFP
'an': APB
'ugly': ULG
'brat.': PWRAT/TP-PL
'It': KPA/T
'is': S
'true,': TRAOU/KW-BG
'that': THA
'this': TH
'child': KHAOEULD
'no': TPHO
'sooner': SAORPB
'began': TKPWAPB
'to': TO
'prattle,': PRAT/*L/KW-BG
'but': PWUT
'he': HE
'said': SED
'a': AEU
'thousand': THOUD
'pretty': PREUT
'things,': THEUPBGS/KW-BG
'and': SKP
'that': THA
'in': TPH
'all': AUL
'his': HEUS
'actions': -BGSZ
'there': THR
'was': WAS
'something': S-G
'so': SO
'taking,': TAEUG/KW-BG
'that': THA
'he': HE
'charmed': KHARPL/-D
'every-body.': EF/H-PB/PWO*ED/TP-PL
'I': EU
'forgot': TPAURGT
'to': TO
'tell': TEL
'you,': U/KW-BG
'that': THA
'he': HE
'came': KAEUPL
'into': TPHAO
'the': -T
'world': WORLD
'with': W
'a': AEU
'little': HREUL
'tuft': TUFT
'of': -F
'hair': HAEUR
'upon': POPB
'his': HEUS
'head,': HED/KW-BG
'which': WEU
'made': PHAED
'them': THEPL
'call': KAUL
'him': HEUPL
'Riquet': R*P/*EU/KW*/SKWRU/ET
'with': W
'the': -T
'Tuft,': KPA/TUFT/KW-BG
'for': TPOR
'Riquet': R*P/*EU/KW*/SKWRU/ET
'was': WAS
'the': -T
'family': TPAEPL
'name.': TPHAEUPL/TP-PL
'Seven': KPA/SEFPB
'or': OR
'eight': AET
'years': KWRAOERS
'after': AF
'this,': TH/KW-BG
'the': -T
'Queen': KWAO*EPB
'of': -F
'a': AEU
'neighbouring': TPHAEUB/-G/A*U
'kingdom': KEUPBG/TKOPL
'was': WAS
'delivered': TKHREUFRD
'of': -F
'two': TWO
'daughters': TKAURS
'at': AT
'a': AEU
'birth.': PW*EURT/TP-PL
'The': KPA/-T
'first-born': TPEUFRT/H-PB/PWORPB
'of': -F
'these': THEZ
'was': WAS
'beautiful': PWAOUFL
'beyond': KWROPBD
'compare,': KPAR/KW-BG
'whereat': WRAT
'the': -T
'Queen': KWAO*EPB
'was': WAS
'so': SO
'very': SRE
'glad,': TKPWHRAD/KW-BG
'that': THA
'those': THOZ
'present': PREPBT
'were': WR
'afraid': A/TPRAEUD
'that': THA
'her': HER
'excess': EBG/SES
'of': -F
'joy': SKWROEU
'would': WO
'do': TKO
'her': HER
'harm.': HARPL/TP-PL
