The Fairy

'There': KPA/THR
'was,': WAS/KW-BG
'once': WUPBS
'upon': POPB
'a': AEU
'time,': TAOEUPL/KW-BG
'a': AEU
'widow,': WO*EUD/KW-BG
'who': WHO
'had': H
'two': TWO
'daughters.': TKAURS/TP-PL
'The': KPA/-T
'eldest': ELD/EFT
'was': WAS
'so': SO
'much': PHUFP
'like': HRAOEUBG
'her': HER
'in': TPH
'the': -T
'face': TPAEUS
'and': SKP
'humour,': HAOURPL/A*U/KW-BG
'that': THA
'whoever': WHOFR
'looked': HRAOBGD
'upon': POPB
'the': -T
'daughter': TKAUR
'saw': SAU
'the': -T
'mother.': PHOER/TP-PL
'They': KPA/THE
'were': WR
'both': PWO*T
'so': SO
'disagreeable,': TKEUS/TKPWRAOEBL/KW-BG
'and': SKP
'so': SO
'proud,': PROUD/KW-BG
'that': THA
'there': THR
'was': WAS
'no': TPHO
'living': HREUFG
'with': W
'them.': THEPL/TP-PL
'The': KPA/-T
'youngest,': KWRUPBG/EFT/KW-BG
'who': WHO
'was': WAS
'the': -T
'very': SRE
'picture': P*EUFP
'of': -F
'her': HER
'father,': TPAER/KW-BG
'for': TPOR
'courtesy': KORT/SEU
'and': SKP
'sweetness': SWAOET/-PBS
'of': -F
'temper,': TEPL/PER/KW-BG
'was': WAS
'withal': W/A*L
'one': WUPB
'of': -F
'the': -T
'most': PHOFT
'beautiful': PWAOUFL
'girls': TKPWEURLS
'ever': -FR
'seen.': SAOEPB/TP-PL
'As': KPA/AS
'people': PAOEPL
'naturally': TPHRARL
'love': HRUF
'their': THAEUR
'own': OEPB
'likeness,': HRAOEUBG/-PBS/KW-BG
'this': TH
'mother': PHOER
'even': AOEPB
'doated': TKOET/A*U/-D
'on': OPB
'her': HER
'eldest': ELD/EFT
'daughter,': TKAUR/KW-BG
'and': SKP
'at': AT
'the': -T
'same': SAEUPL
'time': TAOEUPL
'had': H
'a': AEU
'horrible': HORBL
'aversion': A*FRGS
'for': TPOR
'the': -T
'youngest.': KWRUPBG/EFT/TP-PL
'She': KPA/SHE
'made': PHAED
'her': HER
'eat': AOET
'in': TPH
'the': -T
'kitchen,': K-FP/KW-BG
'and': SKP
'work': WORBG
'continually.': TAEPBL/TP-PL
'Among': KPA/PHOPBG
'other': OER
'things,': THEUPBGS/KW-BG
'this': TH
'poor': PAOR
'child': KHAOEULD
'was': WAS
'forced': TPOFRD
'twice': TWAOEUS
'a': AEU
'day': TKAEU
'to': TO
'draw': TKRAU
'water': WAUR
'above': PWOF
'a': AEU
'mile': PHAOEUL
'and': SKP
'a': AEU
'half': HAF
'off': OF
'the': -T
'house,': HOUS/KW-BG
'and': SKP
'bring': PWREU
'home': HOEPL
'a': AEU
'pitcher': PEUFRP
'full': TPUL
'of': -F
'it.': T/TP-PL
'One': KPA/WUPB
'day,': TKAEU/KW-BG
'as': AS
'she': SHE
'was': WAS
'at': AT
'this': TH
'fountain,': TPOUPB/TAEUPB/KW-BG
'there': THR
'came': KAEUPL
'to': TO
'her': HER
'a': AEU
'poor': PAOR
'woman,': WOPL/KW-BG
'who': WHO
'begged': PWEGD
'of': -F
'her': HER
'to': TO
'let': HRET
'her': HER
'drink.': TKREU/TP-PL
'"O': KW-GS/O*P
'ay,': A/KWR*/KW-BG
'with': W
'all': AUL
'my': PHEU
'heart,': HART/KW-BG
'Goody,"': KPA/TKPWAO/TKEU/KW-BG/KR-GS
'said': SED
'this': TH
'pretty': PREUT
'maid;': PHAEUD/STPH*FPLT
'and': SKP
'rinsing': REUPBS/-G
'immediately': PHAOELD
'the': -T
'pitcher,': PEUFRP/KW-BG
'she': SHE
'took': TAOBG
'up': UP
'some': SOPL
'water': WAUR
'from': TPR
'the': -T
'clearest': KHRAOER/EFT
'place': PHRAEUS
'of': -F
'the': -T
'fountain,': TPOUPB/TAEUPB/KW-BG
'and': SKP
'gave': TKPWAEUF
'it': T
'to': TO
'her,': HER/KW-BG
'holding': HOELGD
'up': UP
'the': -T
'pitcher': PEUFRP
'all': AUL
'the': -T
'while,': WHAOEUL/KW-BG
'that': THA
'she': SHE
'might': PHAOEUT
'drink': TKREU
'the': -T
'easier.': AO*ERS/TP-PL
'The': KPA/-T
'good': TKPWAOD
'woman': WOPL
'having': SR-G
'drank,': TKRA*PBG/KW-BG
'said': SED
'to': TO
'her:': HER/STPH-FPLT
'"You': KW-GS/KPA*/U
'are': R
'so': SO
'very': SRE
'pretty,': PREUT/KW-BG
'my': PHEU
'dear,': TKAER/KW-BG
'so': SO
