The Master Cat or Puss in Boots

'There': KPA/THR
'was': WAS
'a': AEU
'miller,': HRO*ER/PHEUL/HRER/KW-BG
'who': WHO
'left': HREFT
'no': TPHO
'more': PHOR
'estate': ES/TAEUT
'to': TO
'the': -T
'three': THRAOE
'sons': SOPBS
'he': HE
'had,': H/KW-BG
'than': THAPB
'his': HEUS
'Mill,': PHEUL/PHEUL/KW-BG
'his': HEUS
'Ass,': KPA/A*S/KW-BG
'and': SKP
'his': HEUS
'Cat.': KPA/KAT/TP-PL
'The': KPA/-T
'partition': PAR/TEUGS
'was': WAS
'soon': SAOPB
'made.': PHAED/TP-PL
'Neither': KPA/TPHAOERT
'the': -T
'scrivener': SKR*EUF/TPHER
'nor': TPH-R
'attorney': TOERPB
'were': WR
'sent': SEPBT
'for.': TPOR/TP-PL
'They': KPA/THE
'would': WO
'soon': SAOPB
'have': SR
'eaten': AOET/EPB
'up': UP
'all': AUL
'the': -T
'poor': PAOR
'patrimony.': PA/TREU/PHOE/TPH*EU/TP-PL
'The': KPA/-T
'eldest': ELD/EFT
'had': H
'the': -T
'Mill,': PHEUL/PHEUL/KW-BG
'the': -T
'second': SEBGD
'the': -T
'Ass,': KPA/A*S/KW-BG
'and': SKP
'the': -T
'youngest': KWRUPBG/EFT
'nothing': TPHOG
'but': PWUT
'the': -T
'Cat.': KPA/KAT/TP-PL
'The': KPA/-T
'poor': PAOR
'young': KWRUPBG
'fellow': TP*EL
'was': WAS
'quite': KWAOEUT
'comfortless': K-FRT/-LS
'at': AT
'having': SR-G
'so': SO
'poor': PAOR
'a': AEU
'lot.': HROT/TP-PL
'"My': KW-GS/KPA*/PHEU
'brothers,"': PWROERS/KW-BG/KR-GS
'said': SED
'he,': HE/KW-BG
'"may': KW-GS/PHAEU
'get': TKPWET
'their': THAEUR
'living': HREUFG
'handsomely': HAPBD/SOPL/HREU
'enough,': TPHUF/KW-BG
'by': PWEU
'joining': SKWROEUPBG
'their': THAEUR
'stocks': STOBGS
'together;': TOGT/STPH*FPLT
'but': PWUT
'for': TPOR
'my': PHEU
'part,': PART/KW-BG
'when': WHEPB
'I': EU
'have': SR
'eaten': AOET/EPB
'up': UP
'my': PHEU
'Cat,': KPA/KAT/KW-BG
'and': SKP
'made': PHAED
'me': PHE
'a': AEU
'muff': PHUF
'of': -F
'his': HEUS
