The Ridiculous Wishes

'In': KPA/TPH
'days': TKAEUS
'long': HROPBG
'past': PAFT
'there': THR
'lived': HREUFD
'a': AEU
'poor': PAOR
'woodcutter': WAOD/KUT/*ER
'who': WHO
'found': TPOUPBD
'life': HRAOEUF
'very': SRE
'hard.': HARD/TP-PL
'Indeed,': KPA/TPHAOEPBD/KW-BG
'it': T
'was': WAS
'his': HEUS
'lot': HROT
'to': TO
'toil': TOEUL
'for': TPOR
'little': HREUL
'guerdon,': HRO*ER/TKPWU/SKWRE/R*D/O*PB/KW-BG
'and': SKP
'although': HR*T
'he': HE
'was': WAS
'young': KWRUPBG
'and': SKP
'happily': HAP/HREU
'married': PHAERD
'there': THR
'were': WR
'moments': PHOEPLTS
'when': WHEPB
'he': HE
'wished': WEURBD
'himself': HEUPLS
'dead': TKED
'and': SKP
'below': PWHRO
'ground.': TKPWROUPBD/TP-PL
'One': KPA/WUPB
'day': TKAEU
'while': WHAOEUL
'at': AT
'his': HEUS
'work': WORBG
'he': HE
'was': WAS
'again': TKPWEPB
'lamenting': HRAPLT/-G
'his': HEUS
'fate.': TPAEUT/TP-PL
'"Some': KW-GS/KPA*/SOPL
'men,"': PHEPB/KW-BG/KR-GS
'he': HE
'said,': SED/KW-BG
'"have': KW-GS/SR
'only': OEPBL
'to': TO
'make': PHAEUBG
'known': TPHOEPB
'their': THAEUR
'desires,': STKAOEURS/KW-BG
'and': SKP
'straightway': STRAEUT/WA*E
'these': THEZ
'are': R
'granted,': TKPWRAPBTD/KW-BG
'and': SKP
'their': THAEUR
'every': EF
'wish': WEURB
'fulfilled;': TPUL/TPEULD/STPH*FPLT
'but': PWUT
'it': T
'has': HAS
'availed': A/SRAEUL/-D
'me': PHE
'little': HREUL
'to': TO
'wish': WEURB
'for': TPOR
'ought,': OT/KW-BG
'for': TPOR
'the': -T
'gods': TKPWODZ
'are': R
'deaf': TKEF
'to': TO
'the': -T
'prayers': PRAEURS
'of': -F
'such': SUFP
'as': AS
'I."': EU/TP-PL/KR-GS
'As': KPA/AS
'he': HE
'spoke': SPOEBG
'these': THEZ
'words': WORDZ
'there': THR
'was': WAS
'a': AEU
'great': TKPWRAET
'noise': TPHOEUS
'of': -F
'thunder,': THUPBD/KW-BG
'and': SKP
'Jupiter': SKWRAOUP/TER
'appeared': A/PAOERD
'before': PW-FR
'him': HEUPL
'wielding': WAOELD/-G
'his': HEUS
'mighty': PHAOEUT/KWREU
'thunderbolts.': THUPBD/*ER/PWOELT/-S/TP-PL
'Our': KPA/OUR
'poor': PAOR
'man': PHAPB
'was': WAS
'stricken': STREUPB
'with': W
'fear': TPAOER
'and': SKP
'threw': THRAOU
'himself': HEUPLS
'on': OPB
'the': -T
'ground.': TKPWROUPBD/TP-PL
'"My': KW-GS/KPA*/PHEU
'lord,"': HRORD/KW-BG/KR-GS
'he': HE
'said,': SED/KW-BG
'"forget': KW-GS/TPORGT
'my': PHEU
'foolish': TPAOL/EURB
'speech;': SPAOEFP/STPH*FPLT
'heed': HAO*ED
'not': TPHOT
'my': PHEU
'wishes,': WEURBS/KW-BG
'but': PWUT
'cease': SAOES
'thy': THAO*EU
'thundering!"': THUPBD/ERG/SKHRAPL/KR-GS
'"Have': KW-GS/KPA*/SR
'no': TPHO
'fear,"': TPAOER/KW-BG/KR-GS
'answered': AEPBS/-D
'Jupiter;': SKWRAOUP/TER/STPH*FPLT
'"I': KW-GS/EU
'have': SR
'heard': HAERD
'thy': THAO*EU
'plaint,': PHRAEUPBT/KW-BG
'and': SKP
'have': SR
'come': KOPL
'hither': H*EURT
'to': TO
'show': SHOE
'thee': THAOE
'how': HOU
'greatly': TKPWRAELT
'thou': THO*U
'dost': TK*/O*/S*/T*
'wrong': WROPBG
'me.': PHE/TP-PL
'Hark!': KPA/HARBG/SKHRAPL
'I,': EU/KW-BG
'who': WHO
'am': APL
'sovereign': SOFRPB
'lord': HRORD
'of': -F
'this': TH
'world,': WORLD/KW-BG
'promise': PROPLS
'to': TO
'grant': TKPWRAPBT
'in': TPH
'full': TPUL
'the': -T
'first': TPEUFRT
'three': THRAOE
'wishes': WEURBS
'which': WEU
'it': T
'will': HR
'please': PHRES
'thee': THAOE
'to': TO
'utter,': UT/ER/KW-BG
'whatever': WHAF
'these': THEZ
'may': PHAEU
'be.': -B/TP-PL
'Consider': KPA/KR
'well': WEL
'what': WHA
'things': THEUPBGS
'can': K
'bring': PWREU
'thee': THAOE
'joy': SKWROEU
'and': SKP
'prosperity,': PROFP/ERT/KW-BG
'and': SKP
'as': AS
'thy': THAO*EU
'happiness': HAEP/-PBS
'is': S
'at': AT
'stake,': STAEUBG/KW-BG
'be': -B
'not': TPHOT
'over-hasty,': OEFR/H-PB/HAEUS/TEU/KW-BG
'but': PWUT
'revolve': RE/SROFL
'the': -T
'matter': PHAERT
'in': TPH
'thy': THAO*EU
'mind."': PHAOEUPBD/TP-PL/KR-GS
'Having': KPA/SR-G
'thus': THUS
'spoken': SPOEPB
'Jupiter': SKWRAOUP/TER
'withdrew': WRAOU
'himself': HEUPLS
'and': SKP
'made': PHAED
'his': HEUS
'ascent': A/SKREPBT
'to': TO
'Olympus.': O/HREUPL/PUS/TP-PL
'As': KPA/AS
'for': TPOR
'our': OUR
'woodcutter,': WAOD/KUT/*ER/KW-BG
'he': HE
'blithely': PWHRAO*EUT/HREU
'corded': KR*/O*/R*/TK-D
'his': HEUS
'faggot,': TPAGT/KW-BG
'and': SKP
'throwing': THROEG
'it': T
'over': OEFR
'his': HEUS
'shoulder,': SHOURLD/KW-BG
'made': PHAED
'for': TPOR
'his': HEUS
'home.': HOEPL/TP-PL
'To': KPA/TO
'one': WUPB
'so': SO
'light': HRAOEUT
'of': -F
'heart': HART
'the': -T
'load': HRAOD
'also': HR-S
'seemed': SAOEPLD
'light,': HRAOEUT/KW-BG
'and': SKP
'his': HEUS
'thoughts': THAUTS
'were': WR
'merry': PHER/REU
'as': AS
'he': HE
'strode': STROED
'along.': HRAOPBG/TP-PL
'Many': KPA/PHAEPB
'a': AEU
'wish': WEURB
'came': KAEUPL
'into': TPHAO
'his': HEUS
'mind,': PHAOEUPBD/KW-BG
'but': PWUT
'he': HE
'was': WAS
'resolved': RO*FLD
'to': TO
'seek': SAOEBG
'the': -T
'advice': SREUS
'of': -F
'his': HEUS
'wife,': WAOEUF/KW-BG
'who': WHO
'was': WAS
'a': AEU
'young': KWRUPBG
'woman': WOPL
'of': -F
'good': TKPWAOD
'understanding.': URPBGD/TP-PL
'He': KPA/HE
'had': H
'soon': SAOPB
'reached': RAOEFPD
'his': HEUS
'cottage,': KOT/APBLG/KW-BG
'and': SKP
'casting': KAFT/-G
'down': TKOUPB
'his': HEUS
'faggot:': TPAGT/STPH-FPLT
'"Behold': KW-GS/KPA*/PWE/HOLD
'me,': PHE/KW-BG
'Fanny,"': KPA/TPAPB/KWREU/KW-BG/KR-GS
'he': HE
'said.': SED/TP-PL
'"Make': KW-GS/KPA*/PHAEUBG
'up': UP
'the': -T
'fire': TPAOEUR
'and': SKP
'spread': SPRED
'the': -T
'board,': PWAORD/KW-BG
'and': SKP
'let': HRET
'there': THR
'be': -B
'no': TPHO
'stint.': STEUPBT/TP-PL
'We': KPA/WE
'are': R
'wealthy,': WEL/TH*EU/KW-BG
'Fanny,': KPA/TPAPB/KWREU/KW-BG
'wealthy': WEL/TH*EU
'for': TPOR
'evermore;': -FR/PHO*R/STPH*FPLT
'we': WE
'have': SR
'only': OEPBL
'to': TO
'wish': WEURB
'for': TPOR
'whatsoever': WHA/SOFR
'we': WE
'may': PHAEU
'desire."': STKAOEUR/TP-PL/KR-GS
'Thereupon': KPA/THRUP
'he': HE
'told': TOLD
'her': HER
'the': -T
'story': STOER
'of': -F
'what': WHA
'had': H
'befallen': PWE/TPAUPBL
'that': THA
'day.': TKAEU/TP-PL
'Fanny,': KPA/TPAPB/KWREU/KW-BG
'whose': WHOZ
'mind': PHAOEUPBD
'was': WAS
'quick': KWEUBG
'and': SKP
'active,': TAEF/KW-BG
'immediately': PHAOELD
'conceived': KAUPB/SAOEFD
'many': PHAEPB
'plans': PHRAPBS
'for': TPOR
'the': -T
'advancement': SRAPLT
'of': -F
'their': THAEUR
'fortune,': TP-RPB/KW-BG
'but': PWUT
'she': SHE
'approved': A/PROFD
'her': HER
'husband's': HUS/AES
'resolve': ROF
'to': TO
'act': ABGT
'with': W
'prudence': PRAOUPBS
'and': SKP
'circumspection.': SEURBG/SPEBGS/TP-PL
'"'Twere': KW-GS/AE/T*P/W*/*ER/SKWRE
'a': AEU
'pity,"': PEUT/TEU/KW-BG/KR-GS
'she': SHE
'said,': SED/KW-BG
'"to': KW-GS/TO
'spoil': SPOEUL
'our': OUR
'chances': KHAPBSZ
'through': THRU
'impatience.': EUPL/PAEURBS/TP-PL
'We': KPA/WE
'had': H
'best': PWEFT
'take': TAEUBG
'counsel': KOUPB
'of': -F
'the': -T
'night,': TPHAOEUT/KW-BG
'and': SKP
'wish': WEURB
'no': TPHO
'wishes': WEURBS
'until': TPH-L
'to-morrow."': TO/H-PB/HRO*ER/PHOR/ROE/TP-PL/KR-GS
'"That': KW-GS/KPA*/THA
'is': S
'well': WEL
'spoken,"': SPOEPB/KW-BG/KR-GS
'answered': AEPBS/-D
'Harry.': HAR/REU/TP-PL
'"Meanwhile': KW-GS/KPA*/PHAOEPB/WHAOEUL
'fetch': TPEFP
'a': AEU
'bottle': PWO*LT
'of': -F
'our': OUR
'best,': PWEFT/KW-BG
'and': SKP
'we': WE
'shall': SHAL
'drink': TKREU
'to': TO
'our': OUR
'good': TKPWAOD
'fortune."': TP-RPB/TP-PL/KR-GS
'Fanny': KPA/TPAPB/KWREU
'brought': PWRAUT
'a': AEU
'bottle': PWO*LT
'from': TPR
'the': -T
'store': STOR
'behind': HEUPBD
'the': -T
'faggots,': TPAGT/-S/KW-BG
'and': SKP
'our': OUR
'man': PHAPB
'enjoyed': EPB/SKWROEUD
'his': HEUS
'ease,': AOES/KW-BG
'leaning': HRAOEPBG
'back': PWABG
'in': TPH
'his': HEUS
'chair': KHAEUR
'with': W
'his': HEUS
'toes': TO*ES
'to': TO
'the': -T
'fire': TPAOEUR
'and': SKP
'his': HEUS
'goblet': TKPWOBLT
'in': TPH
'his': HEUS
'hand.': HAPBD/TP-PL
'"What': KW-GS/KPA*/WHA
