Androcles

'A': KPA/AEU
'slave': SHRAEUF
'named': TPHAEUPLD
'Androcles': KPA/ARPBD/SKWRO/KR*/*L/-S
'once': WUPBS
'escaped': SKAEPD
'from': TPR
'his': HEUS
'master': PHAFRT
'and': SKP
'fled': TPHRED
'to': TO
'the': -T
'forest.': TPOEFRT/TP-PL
'As': KPA/AS
'he': HE
'was': WAS
'wandering': WAPBGD
'about': PW
'there': THR
'he': HE
'came': KAEUPL
'upon': POPB
'a': AEU
'Lion': KPA/HRO*EUPB
'lying': HRAOEUG
'down': TKOUPB
'moaning': PHOEPBG
'and': SKP
'groaning.': TKPWROEPBG/TP-PL
'At': KPA/AT
'first': TPEUFRT
'he': HE
'turned': TURPBD
'to': TO
'flee,': TPHRAOE/KW-BG
'but': PWUT
'finding': TPAOEUPBGD
'that': THA
'the': -T
'Lion': KPA/HRO*EUPB
'did': TK
'not': TPHOT
'pursue': PUR/SAOU
'him,': HEUPL/KW-BG
'he': HE
'turned': TURPBD
'back': PWABG
'and': SKP
'went': WEPBT
'up': UP
'to': TO
'him.': HEUPL/TP-PL
'As': KPA/AS
'he': HE
'came': KAEUPL
'near,': TPHAOER/KW-BG
'the': -T
'Lion': KPA/HRO*EUPB
'put': PUT
'out': OUT
'his': HEUS
'paw,': PAU/KW-BG
'which': WEU
'was': WAS
'all': AUL
'swollen': SWOL/-PB
'and': SKP
'bleeding,': PWHRAOEGD/KW-BG
'and': SKP
'Androcles': KPA/ARPBD/SKWRO/KR*/*L/-S
'found': TPOUPBD
'that': THA
'a': AEU
'huge': HAOUPBLG
'thorn': THORPB
'had': H
'got': TKPWOT
'into': TPHAO
'it,': T/KW-BG
'and': SKP
'was': WAS
'causing': KAUFG
'all': AUL
'the': -T
'pain.': PAEUPB/TP-PL
'He': KPA/HE
'pulled': PULD
'out': OUT
'the': -T
'thorn': THORPB
'and': SKP
'bound': PWOUPBD
'up': UP
'the': -T
'paw': PAU
'of': -F
'the': -T
'Lion,': KPA/HRO*EUPB/KW-BG
'who': WHO
'was': WAS
'soon': SAOPB
'able': ABL
'to': TO
'rise': RAOEUZ
'and': SKP
'lick': HREUBG
'the': -T
'hand': HAPBD
'of': -F
'Androcles': KPA/ARPBD/SKWRO/KR*/*L/-S
'like': HRAOEUBG
'a': AEU
'dog.': TKOG/TP-PL
