Hercules and the Waggoner

'A': KPA/AEU
'Waggoner': KPA/WAG/OPB/*ER/A*U
'was': WAS
'once': WUPBS
'driving': TKRAOEUFG
'a': AEU
'heavy': HOEUF
'load': HRAOD
'along': HRAOPBG
'a': AEU
'very': SRE
'muddy': PHUD/KWREU
'way.': WAEU/TP-PL
'At': KPA/AT
'last': HRAFT
'he': HE
'came': KAEUPL
'to': TO
'a': AEU
'part': PART
'of': -F
'the': -T
'road': RAOD
'where': W-R
'the': -T
'wheels': WHAOELS
'sank': SA*PBG
'half-way': HAF/H-PB/WAEU
'into': TPHAO
'the': -T
'mire,': PHAOEUR/KW-BG
'and': SKP
'the': -T
'more': PHOR
'the': -T
'horses': HORSZ
'pulled,': PULD/KW-BG
'the': -T
'deeper': TKAOERP
'sank': SA*PBG
'the': -T
'wheels.': WHAOELS/TP-PL
'So': KPA/SO
'the': -T
'Waggoner': KPA/WAG/OPB/*ER/A*U
'threw': THRAOU
'down': TKOUPB
'his': HEUS
'whip,': WHEUP/KW-BG
'and': SKP
'knelt': TPHELT
'down': TKOUPB
'and': SKP
'prayed': PRAEUD
'to': TO
'Hercules': HERBG/HRES
'the': -T
'Strong.': KPA/STROPBG/TP-PL
'"O': KW-GS/O*P
'Hercules,': HERBG/HRES/KW-BG
'help': HEP
'me': PHE
'in': TPH
'this': TH
'my': PHEU
'hour': HOUR
'of': -F
'distress,"': STKRES/KW-BG/KR-GS
'quoth': KW*/*U/O*/T*/H*
'he.': HE/TP-PL
'But': KPA/PWUT
'Hercules': HERBG/HRES
'appeared': A/PAOERD
'to': TO
'him,': HEUPL/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
'"Tut,': KW-GS/TUT/KW-BG
'man,': PHAPB/KW-BG
'don't': TKOEPBT
'sprawl': SPRAUL
'there.': THR/TP-PL
'Get': KPA/TKPWET
'up': UP
'and': SKP
'put': PUT
'your': KWROUR
'shoulder': SHOURLD
'to': TO
'the': -T
'wheel."': WHAOEL/TP-PL/KR-GS
'The': KPA/-T
'gods': TKPWODZ
'help': HEP
'them': THEPL
'that': THA
'help': HEP
'themselves.': TH*EPLS/TP-PL
