The Bald Man and the Fly

'There': KPA/THR
'was': WAS
'once': WUPBS
'a': AEU
'Bald': KPA/PWAULD
'Man': KPA/PHAPB
'who': WHO
'sat': SAT
'down': TKOUPB
'after': AF
'work': WORBG
'on': OPB
'a': AEU
'hot': HOT
'summer's': SAOURPL/AES
'day.': TKAEU/TP-PL
'a': AEU
'Fly': KPA/TPHRAOEU
'came': KAEUPL
'up': UP
'and': SKP
'kept': KEPT
'buzzing': PWUZ/-G
'about': PW
'his': HEUS
'bald': PWAULD
'pate,': PAEUT/KW-BG
'and': SKP
'stinging': STEUPBG/-G
'him': HEUPL
'from': TPR
'time': TAOEUPL
'to': TO
'time.': TAOEUPL/TP-PL
'The': KPA/-T
'Man': KPA/PHAPB
'aimed': AEUPLD
'a': AEU
'blow': PWHROE
'at': AT
'his': HEUS
'little': HREUL
'enemy,': TPHAEPL/KW-BG
'but': PWUT
'—whack—': EPL/TKA*RB/WHABG/EPL/TKA*RB
'his': HEUS
'palm': PAPL
'came': KAEUPL
'on': OPB
'his': HEUS
'head': HED
'instead;': STPHED/STPH*FPLT
'again': TKPWEPB
'the': -T
'Fly': KPA/TPHRAOEU
'tormented': TORPLTD
'him,': HEUPL/KW-BG
'but': PWUT
'this': TH
'time': TAOEUPL
'the': -T
'Man': KPA/PHAPB
'was': WAS
'wiser': WAOEUZ/ER
'and': SKP
'said:': SED/STPH-FPLT
'"You': KW-GS/KPA*/U
'will': HR
'only': OEPBL
'injure': SKWR-R
'yourself': KWRO*URS
'if': TP
'you': U
'take': TAEUBG
'notice': TPH-TS
'of': -F
'despicable': TKE/SPEUBG/-BL
'enemies."': TPHAEPLS/TP-PL/KR-GS
