The Buffoon and the Countryman

'At': KPA/AT
'a': AEU
'country': KREU
'fair': TPAEUR
'there': THR
'was': WAS
'a': AEU
'Buffoon': KPA/PWU/TPAOPB
'who': WHO
'made': PHAED
'all': AUL
'the': -T
'people': PAOEPL
'laugh': HRAF
'by': PWEU
'imitating': EUPL/TAEUT/-G
'the': -T
'cries': KRAOEUS
'of': -F
'various': SRAEURS
'animals.': PHAPBLS/TP-PL
'He': KPA/HE
'finished': TP*EURBD
'off': OF
'by': PWEU
'squeaking': SKWAOEBG/-G
'so': SO
'like': HRAOEUBG
'a': AEU
'pig': PEUG
'that': THA
'the': -T
'spectators': SPEBG/TAEUT/O*RS
'thought': THAUT
'that': THA
'he': HE
'had': H
'a': AEU
'porker': PORBG/*ER
'concealed': KAUPB/SAOELD
'about': PW
'him.': HEUPL/TP-PL
'But': KPA/PWUT
'a': AEU
'Countryman': KPA/KREU/PHA*PB
'who': WHO
'stood': STAOD
'by': PWEU
'said:': SED/STPH-FPLT
'"Call': KW-GS/KPA*/KAUL
'that': THA
'a': AEU
'pig's': PEUG/AES
'squeak!': SKWAOEBG/SKHRAPL
'Nothing': KPA/TPHOG
'like': HRAOEUBG
'it.': T/TP-PL
'You': KPA/U
'give': TKPWEUF
'me': PHE
'till': TEUL
'tomorrow': TORPL
'and': SKP
'I': EU
'will': HR
'show': SHOE
'you': U
'what': WHA
'it's': T-S
'like."': HRAOEUBG/TP-PL/KR-GS
'The': KPA/-T
'audience': AUPBS
'laughed,': HRAFD/KW-BG
'but': PWUT
'next': TPHEGT
'day,': TKAEU/KW-BG
'sure': SHUR
'enough,': TPHUF/KW-BG
'the': -T
'Countryman': KPA/KREU/PHA*PB
'appeared': A/PAOERD
'on': OPB
'the': -T
'stage,': STAEUPBLG/KW-BG
'and': SKP
'putting': PUGT
'his': HEUS
'head': HED
'down': TKOUPB
'squealed': SKWAOELD
'so': SO
'hideously': HEUD/KWROUS/HREU
'that': THA
'the': -T
'spectators': SPEBG/TAEUT/O*RS
'hissed': HEUSZ/-D
'and': SKP
'threw': THRAOU
'stones': STOEPBS
'at': AT
'him': HEUPL
'to': TO
'make': PHAEUBG
'him': HEUPL
'stop.': STOP/TP-PL
'"You': KW-GS/KPA*/U
'fools!"': TPAOLS/SKHRAPL/KR-GS
'he': HE
'cried,': KRAOEUD/KW-BG
'"see': KW-GS/SAOE
'what': WHA
'you': U
'have': SR
'been': PW-PB
'hissing,"': HEUSZ/-G/KW-BG/KR-GS
'and': SKP
'held': HELD
'up': UP
'a': AEU
'little': HREUL
'pig': PEUG
'whose': WHOZ
'ear': AOER
'he': HE
'had': H
'been': PW-PB
'pinching': PEUFRPBG
'to': TO
'make': PHAEUBG
'him': HEUPL
'utter': UT/ER
'the': -T
'squeals.': SKWAOELS/TP-PL
'Men': KPA/PHEPB
'often': OFPB
'applaud': A/PHRAUD
'an': APB
'imitation': EUPL/TAEUGS
'and': SKP
'hiss': HEUSZ
'the': -T
'real': RAEL
'thing.': THEUPBG/TP-PL
