The Bundle of Sticks

'An': KPA/APB
'old': OLD
'man': PHAPB
'on': OPB
'the': -T
'point': POEUPBT
'of': -F
'death': TK*T
'summoned': SPHUPBD
'his': HEUS
'sons': SOPBS
'around': ARPBD
'him': HEUPL
'to': TO
'give': TKPWEUF
'them': THEPL
'some': SOPL
'parting': PART/-G
'advice.': SREUS/TP-PL
'He': KPA/HE
'ordered': ORD/-D
'his': HEUS
'servants': SER/SRAPBTS
'to': TO
'bring': PWREU
'in': TPH
'a': AEU
'faggot': TPAGT
'of': -F
'sticks,': STEUBGS/KW-BG
'and': SKP
'said': SED
'to': TO
'his': HEUS
'eldest': ELD/EFT
'son:': SOPB/STPH-FPLT
'"Break': KW-GS/KPA*/PWRAEBG
'it."': T/TP-PL/KR-GS
'The': KPA/-T
'son': SOPB
'strained': STRAEUPBD
'and': SKP
'strained,': STRAEUPBD/KW-BG
'but': PWUT
'with': W
'all': AUL
'his': HEUS
'efforts': EFRTS
'was': WAS
'unable': TPHA*EUBL
'to': TO
'break': PWRAEBG
'the': -T
'Bundle.': KPA/PWUPBLD/TP-PL
'The': KPA/-T
'other': OER
'sons': SOPBS
'also': HR-S
'tried,': TRAOEUD/KW-BG
'but': PWUT
'none': TPHOPB
'of': -F
'them': THEPL
'was': WAS
'successful.': SKEFL/TP-PL
'"Untie': KW-GS/KPA*/UPB/TAOEU
'the': -T
'faggots,"': TPAGT/-S/KW-BG/KR-GS
'said': SED
'the': -T
'father,': TPAER/KW-BG
'"and': KW-GS/SKP
'each': AOEFP
'of': -F
'you': U
'take': TAEUBG
'a': AEU
'stick."': STEUBG/TP-PL/KR-GS
'When': KPA/WHEPB
'they': THE
'had': H
'done': TKOPB
'so,': SO/KW-BG
'he': HE
'called': KAULD
'out': OUT
'to': TO
'them:': THEPL/STPH-FPLT
'"Now,': KW-GS/KPA*/TPHOU/KW-BG
'break,"': PWRAEBG/KW-BG/KR-GS
'and': SKP
'each': AOEFP
'stick': STEUBG
'was': WAS
'easily': AOELS
'broken.': PWROEPB/TP-PL
'"You': KW-GS/KPA*/U
'see': SAOE
'my': PHEU
'meaning,"': PHAOEPBG/KW-BG/KR-GS
'said': SED
'their': THAEUR
'father.': TPAER/TP-PL
'Union': AO*UPB/KWROPB
'gives': TKPWEUFS
'strength.': STREPBG/TP-PL
