The Cat-Maiden

'The': KPA/-T
'gods': TKPWODZ
'were': WR
'once': WUPBS
'disputing': TKEUS/PAOUT/-G
'whether': WHR
'it': T
'was': WAS
'possible': POB
'for': TPOR
'a': AEU
'living': HREUFG
'being': -BG
'to': TO
'change': KHAEUPBG
'its': EUTS
'nature.': TPHAEURT/TP-PL
'Jupiter': SKWRAOUP/TER
'said': SED
'"Yes,"': KW-GS/KPA*/KWRE/KW-BG/KR-GS
'but': PWUT
'Venus': SRAO*EPBS
'said': SED
'"No."': KW-GS/KPA*/TPHO/TP-PL/KR-GS
'So,': KPA/SO/KW-BG
'to': TO
'try': TREU
'the': -T
'question,': KWE/KW-BG
'Jupiter': SKWRAOUP/TER
'turned': TURPBD
'a': AEU
'Cat': KPA/KAT
'into': TPHAO
'a': AEU
'Maiden,': KPA/PHAEUD/*EPB/KW-BG
'and': SKP
'gave': TKPWAEUF
'her': HER
'to': TO
'a': AEU
'young': KWRUPBG
'man': PHAPB
'for': TPOR
'a': AEU
'wife.': WAOEUF/TP-PL
'The': KPA/-T
'wedding': WEGD
'was': WAS
'duly': TKAOU/HREU
'performed': PORPLD
'and': SKP
'the': -T
'young': KWRUPBG
'couple': KUPL
'sat': SAT
'down': TKOUPB
'to': TO
'the': -T
'wedding-feast.': WEGD/H-PB/TPAOEFT/TP-PL
'"See,"': KW-GS/KPA*/SAOE/KW-BG/KR-GS
'said': SED
'Jupiter,': SKWRAOUP/TER/KW-BG
'to': TO
'Venus,': SRAO*EPBS/KW-BG
'"how': KW-GS/HOU
'becomingly': PW-BG/-G/HREU
'she': SHE
'behaves.': PWHAEUFS/TP-PL
'Who': KPA/WHO
'could': KO
'tell': TEL
'that': THA
'yesterday': KWRED
'she': SHE
'was': WAS
'but': PWUT
'a': AEU
'Cat?': KPA/KAT/H-F
'Surely': KPA/SHURL
'her': HER
'nature': TPHAEURT
'is': S
'changed?"': KHAEUPBGD/H-F/KR-GS
'"Wait': KW-GS/KPA*/WAEUT
'a': AEU
'minute,"': PHEURPBGS/KR-GS
'replied': RE/PHRAOEUD
'Venus,': SRAO*EPBS/KW-BG
'and': SKP
'let': HRET
'loose': HRAOS
'a': AEU
'mouse': PHOUS
'into': TPHAO
'the': -T
'room.': RAOPL/TP-PL
'No': KPA/TPHO
'sooner': SAORPB
'did': TK
'the': -T
'bride': PWRAOEUD
'see': SAOE
'this': TH
'than': THAPB
'she': SHE
'jumped': SKWR*UPLD
'up': UP
'from': TPR
'her': HER
'seat': SAOET
'and': SKP
'tried': TRAOEUD
'to': TO
'pounce': POUPBS
'upon': POPB
'the': -T
'mouse.': PHOUS/TP-PL
'"Ah,': KW-GS/KPA*/AERBGS
'you': U
'see,"': SAOERBGS/KR-GS
'said': SED
'Venus,': SRAO*EPBS/KW-BG
'"Nature': KW-GS/KPA*/TPHAEURT
'will': HR
'out."': OUT/TP-PL/KR-GS
