The Cock and the Pearl

'A': KPA/AEU
'cock': KOBG
'was': WAS
'once': WUPBS
'strutting': S*/T*/R*/*U/T*/T*/-G
'up': UP
'and': SKP
'down': TKOUPB
'the': -T
'farmyard': TPARPL/KWRARD
'among': PHOPBG
'the': -T
'hens': HEPBZ
'when': WHEPB
'suddenly': SULD
'he': HE
'espied': AOE/SPAOEUD
'something': S-G
'shining': SHAOEUPBG
'amid': A/PHEUD
'the': -T
'straw.': STRAU/TP-PL
'"Ho!': KW-GS/KPA*/HO*E/SKHRAPL
'ho!"': HO*E/SKHRAPL/KR-GS
'quoth': KW*/*U/O*/T*/H*
'he,': HE/KW-BG
'"that's': KW-GS/THATS
'for': TPOR
'me,"': PHE/KW-BG/KR-GS
'and': SKP
'soon': SAOPB
'rooted': RAOT/-D
'it': T
'out': OUT
'from': TPR
'beneath': TPHAO*ET
'the': -T
'straw.': STRAU/TP-PL
'What': KPA/WHA
'did': TK
'it': T
'turn': TURPB
'out': OUT
'to': TO
'be': -B
'but': PWUT
'a': AEU
'Pearl': PERL/PERL
'that': THA
'by': PWEU
'some': SOPL
'chance': KHAPBS
'had': H
'been': PW-PB
'lost': HRO*S
'in': TPH
'the': -T
'yard?': KWRARD/H-F
'"You': KW-GS/KPA*/U
'may': PHAEU
'be': -B
'a': AEU
'treasure,"': TRERB/KW-BG/KR-GS
'quoth': KW*/*U/O*/T*/H*
'Master': KPA/PHAFRT
'Cock,': KPA/KOBG/KW-BG
'"to': KW-GS/TO
'men': PHEPB
'that': THA
'prize': PRAOEUZ
'you,': U/KW-BG
'but': PWUT
'for': TPOR
'me': PHE
'I': EU
'would': WO
'rather': RAER
'have': SR
'a': AEU
'single': SEUPBLG
'barley-corn': PWAR/HREU/H-PB/KORPB
'than': THAPB
'a': AEU
'peck': PEBG
'of': -F
'pearls."': PERLS/TP-PL/KR-GS
'Precious': KPA/PRERBS
'things': THEUPBGS
'are': R
'for': TPOR
'those': THOZ
'that': THA
'can': K
'prize': PRAOEUZ
'them.': THEPL/TP-PL
