The Dog in the Manger

'A': KPA/AEU
'Dog': KPA/TKOG
'looking': HRAOG
'out': OUT
'for': TPOR
'its': EUTS
'afternoon': AFPB
'nap': TPHAP
'jumped': SKWR*UPLD
'into': TPHAO
'the': -T
'Manger': KPA/PHAEUPB/SKWRER
'of': -F
'an': APB
'Ox': KPA/O*BGS
'and': SKP
'lay': HRAEU
'there': THR
'cosily': KOEZ/HREU/A*U
'upon': POPB
'the': -T
'straw.': STRAU/TP-PL
'But': KPA/PWUT
'soon': SAOPB
'the': -T
'Ox,': KPA/O*BGS/KW-BG
'returning': RURPBG
'from': TPR
'its': EUTS
'afternoon': AFPB
'work,': WORBG/KW-BG
'came': KAEUPL
'up': UP
'to': TO
'the': -T
'Manger': KPA/PHAEUPB/SKWRER
'and': SKP
'wanted': WAPBTD
'to': TO
'eat': AOET
'some': SOPL
'of': -F
'the': -T
'straw.': STRAU/TP-PL
'The': KPA/-T
'Dog': KPA/TKOG
'in': TPH
'a': AEU
'rage,': RAEUPBLG/KW-BG
'being': -BG
'awakened': A/WAEUBG/-PBD
'from': TPR
'its': EUTS
'slumber,': SHRUPL/PWER/KW-BG
'stood': STAOD
'up': UP
'and': SKP
'barked': PWARBGD
'at': AT
'the': -T
'Ox,': KPA/O*BGS/KW-BG
'and': SKP
'whenever': WHEFR
'it': T
'came': KAEUPL
'near': TPHAOER
'attempted': A/TEPL/-D
'to': TO
'bite': PWAOEUT
'it.': T/TP-PL
'At': KPA/AT
'last': HRAFT
'the': -T
'Ox': KPA/O*BGS
'had': H
'to': TO
'give': TKPWEUF
'up': UP
'the': -T
'hope': HOEP
'of': -F
'getting': TKPWEGT
'at': AT
'the': -T
'straw,': STRAU/KW-BG
'and': SKP
'went': WEPBT
'away': WA*EU
'muttering:': PHUT/*ER/-G/STPH-FPLT
'"Ah,': KW-GS/KPA*/AERBGS
'people': PAOEPL
'often': OFPB
'grudge': TKPWRUPBLG
'others': OERS
'what': WHA
'they': THE
'cannot': SK-PBT
'enjoy': TPHOEUPBLG
'themselves."': TH*EPLS/TP-PL/KR-GS
