The Fisher

'A': KPA/AEU
'Fisher': TP*EURB/ER
'once': WUPBS
'took': TAOBG
'his': HEUS
'bagpipes': PWAG/PAOEUP/-S
'to': TO
'the': -T
'bank': PWA*PBG
'of': -F
'a': AEU
'river,': REUFR/KW-BG
'and': SKP
'played': PHRAEUD
'upon': POPB
'them': THEPL
'with': W
'the': -T
'hope': HOEP
'of': -F
'making': PHAEUG
'the': -T
'fish': TPEURB
'rise;': RAOEUZ/STPH*FPLT
'but': PWUT
'never': TPHEFR
'a': AEU
'one': WUPB
'put': PUT
'his': HEUS
'nose': TPHOES
'out': OUT
'of': -F
'the': -T
'water.': WAUR/TP-PL
'So': KPA/SO
'he': HE
'cast': KAFT
'his': HEUS
'net': TPHET
'into': TPHAO
'the': -T
'river': REUFR
'and': SKP
'soon': SAOPB
'drew': TKRAOU
'it': T
'forth': TPO*RT
'filled': TPEULD
'with': W
'fish.': TPEURB/TP-PL
'Then': KPA/THEPB
'he': HE
'took': TAOBG
'his': HEUS
'bagpipes': PWAG/PAOEUP/-S
'again,': STKPWERPBGS
'and,': SKP/KW-BG
'as': AS
'he': HE
'played,': PHRAEUD/KW-BG
'the': -T
'fish': TPEURB
'leapt': HREPT
'up': UP
'in': TPH
'the': -T
'net.': TPHET/TP-PL
'"Ah,': KW-GS/KPA*/AERBGS
'you': U
'dance': TKAPBS
'now': TPHOU
'when': WHEPB
'I': EU
'play,"': PHRAEU/KW-BG/KR-GS
'said': SED
'he.': HE/TP-PL
'"Yes,"': KW-GS/KPA*/KWRE/KW-BG/KR-GS
'said': SED
'an': APB
'old': OLD
'Fish:': KPA/TPEURB/STPH-FPLT
'"When': KW-GS/KPA*/WHEPB
'you': U
'are': R
'in': TPH
'a': AEU
'man's': PHAPB/AES
'power': POUR
'you': U
'must': PHUFT
'do': TKO
'as': AS
'he': HE
'bids': PWEUDZ
'you."': U/TP-PL/KR-GS
