The Fox and the Crow

'A': KPA/AEU
'Fox': KPA/TPOBGS
'once': WUPBS
'saw': SAU
'a': AEU
'Crow': KPA/KROE
'fly': TPHRAOEU
'off': OF
'with': W
'a': AEU
'piece': PAOES
'of': -F
'cheese': KHAOES
'in': TPH
'its': EUTS
'beak': PWAOEBG
'and': SKP
'settle': SELT
'on': OPB
'a': AEU
'branch': PWRAFRPB
'of': -F
'a': AEU
'tree.': TRAOE/TP-PL
'"That's': KW-GS/KPA*/THATS
'for': TPOR
'me,': PHE/KW-BG
'as': AS
'I': EU
'am': APL
'a': AEU
'Fox,"': KPA/TPOBGS/KW-BG/KR-GS
'said': SED
'Master': KPA/PHAFRT
'Reynard,': RAEU/TPHARD/KW-BG
'and': SKP
'he': HE
'walked': WAUBGD
'up': UP
'to': TO
'the': -T
'foot': TPAOT
'of': -F
'the': -T
'tree.': TRAOE/TP-PL
'"Good-day,': KW-GS/KPA/TKPWAOD/TKA*EU/KW-BG
'Mistress': KPA/PHEUS/TRES
'Crow,"': KPA/KROE/KW-BG/KR-GS
'he': HE
'cried.': KRAOEUD/TP-PL
'"How': KW-GS/KPA*/HOU
'well': WEL
'you': U
'are': R
'looking': HRAOG
'to-day:': TO/H-PB/TKAEU/STPH-FPLT
'how': HOU
'glossy': TKPWHROS/SEU
'your': KWROUR
'feathers;': TP*ET/ERS/STPH*FPLT
'how': HOU
'bright': PWRAOEUT
'your': KWROUR
'eye.': AOEU/TP-PL
'I': EU
'feel': TPAOEL
'sure': SHUR
'your': KWROUR
'voice': SROEUS
'must': PHUFT
'surpass': SUR/PAS
'that': THA
'of': -F
'other': OER
'birds,': PWEURDZ/KW-BG
'just': SKWRUFT
'as': AS
'your': KWROUR
'figure': TPEUG
'does;': TKOS/STPH*FPLT
'let': HRET
'me': PHE
'hear': HAER
'but': PWUT
'one': WUPB
'song': SOPBG
'from': TPR
'you': U
'that': THA
'I': EU
'may': PHAEU
'greet': TKPWRAOET
'you': U
'as': AS
'the': -T
'Queen': KWAO*EPB
'of': -F
'Birds."': KPA/PWEURDZ/TP-PL/KR-GS
'The': KPA/-T
'Crow': KPA/KROE
'lifted': HREUFTD
'up': UP
'her': HER
'head': HED
'and': SKP
'began': TKPWAPB
'to': TO
'caw': KA*U
'her': HER
'best,': PWEFT/KW-BG
'but': PWUT
'the': -T
'moment': PHOEPLT
'she': SHE
'opened': OEPD
'her': HER
'mouth': PHO*UT
'the': -T
'piece': PAOES
'of': -F
'cheese': KHAOES
'fell': TPEL
'to': TO
'the': -T
'ground,': TKPWROUPBD/KW-BG
'only': OEPBL
'to': TO
'be': -B
'snapped': STPHAPD
'up': UP
'by': PWEU
'Master': KPA/PHAFRT
'Fox.': KPA/TPOBGS/TP-PL
'"That': KW-GS/KPA*/THA
'will': HR
'do,"': TKORBGS/KR-GS
'said': SED
'he.': HE/TP-PL
'"That': KW-GS/KPA*/THA
'was': WAS
'all': AUL
'I': EU
'wanted.': WAPBTD/TP-PL
'In': KPA/TPH
'exchange': KPAEUPBG
'for': TPOR
'your': KWROUR
'cheese': KHAOES
'I': EU
'will': HR
'give': TKPWEUF
'you': U
'a': AEU
'piece': PAOES
'of': -F
'advice': SREUS
'for': TPOR
'the': -T
'future.': TPAOURT/TP-PL
'"Do': KW-GS/KPA*/TKO
'not': TPHOT
'trust': TRUFT
'flatterers."': TPHRAERT/*ERS/TP-PL/KR-GS
