The Fox and the Mask

'A': KPA/AEU
'Fox': KPA/TPOBGS
'had': H
'by': PWEU
'some': SOPL
'means': PHAOEPBS
'got': TKPWOT
'into': TPHAO
'the': -T
'store-room': STOR/H-PB/RAOPL
'of': -F
'a': AEU
'theatre.': THAO*ERT/TP-PL
'Suddenly': KPA/SULD
'he': HE
'observed': OEBD
'a': AEU
'face': TPAEUS
'glaring': TKPWHRARG
'down': TKOUPB
'on': OPB
'him': HEUPL
'and': SKP
'began': TKPWAPB
'to': TO
'be': -B
'very': SRE
'frightened;': TPRAOEUFPBD/STPH*FPLT
'but': PWUT
'looking': HRAOG
'more': PHOR
'closely': KHROELS
'he': HE
'found': TPOUPBD
'it': T
'was': WAS
'only': OEPBL
'a': AEU
'Mask': KPA/PHAFBG
'such': SUFP
'as': AS
'actors': ARBGTS
'use': AOUS
'to': TO
'put': PUT
'over': OEFR
'their': THAEUR
'face.': TPAEUS/TP-PL
'"Ah,"': KW-GS/KPA*/AERBGS/KR-GS
'said': SED
'the': -T
'Fox,': KPA/TPOBGS/KW-BG
'"you': KW-GS/U
'look': HRAOBG
'very': SRE
'fine;': TPAOEUPB/STPH*FPLT
'it': T
'is': S
'a': AEU
'pity': PEUT/TEU
'you': U
'have': SR
'not': TPHOT
'got': TKPWOT
'any': TPHEU
'brains."': PWRAEUPBS/TP-PL/KR-GS
'Outside': KPA/OUDZ
'show': SHOE
'is': S
'a': AEU
'poor': PAOR
'substitute': STUT
'for': TPOR
'inner': EURPB
'worth.': WO*RT/TP-PL
