The Fox, the Cock, and the Dog

'One': KPA/WUPB
'moonlight': PHAOLGT
'night': TPHAOEUT
'a': AEU
'Fox': KPA/TPOBGS
'was': WAS
'prowling': PROULG
'about': PW
'a': AEU
'farmer's': TPAR/PHER/AES
'hen-coop,': HEPB/H-PB/KAOP/KW-BG
'and': SKP
'saw': SAU
'a': AEU
'Cock': KPA/KOBG
'roosting': RAOFT/-G
'high': HAOEU
'up': UP
'beyond': KWROPBD
'his': HEUS
'reach.': RAOEFP/TP-PL
'"Good': KW-GS/KPA*/TKPWAOD
'news,': TPHUS/KW-BG
'good': TKPWAOD
'news!"': TPHUS/SKHRAPL/KR-GS
'he': HE
'cried.': KRAOEUD/TP-PL
'"Why,': KW-GS/KPA*/KWR/KW-BG
'what': WHA
'is': S
'that?"': THA/H-F/KR-GS
'said': SED
'the': -T
'Cock.': KPA/KOBG/TP-PL
'"King': KW-GS/KO*EUPBG
'Lion': KPA/HRO*EUPB
'has': HAS
'declared': TKE/KHRAEURD
'a': AEU
'universal': AOUFRL
'truce.': TRAOUS/TP-PL
'No': KPA/TPHO
'beast': PWAOEFT
'may': PHAEU
'hurt': HURT
'a': AEU
'bird': PWEURD
'henceforth,': HEPBS/TPO*RT/KW-BG
'but': PWUT
'all': AUL
'shall': SHAL
'dwell': TKWEL
'together': TOGT
'in': TPH
'brotherly': PWROERL
'friendship."': TPREP/TP-PL/KR-GS
'"Why,': KW-GS/KPA*/KWR/KW-BG
'that': THA
'is': S
'good': TKPWAOD
'news,"': TPHUS/KW-BG/KR-GS
'said': SED
'the': -T
'Cock;': KPA/KOBG/STPH*FPLT
'"and': KW-GS/SKP
'there': THR
'I': EU
'see': SAOE
'some': SOPL
'one': WUPB
'coming,': KO*G/KW-BG
'with': W
'whom': WHOPL
'we': WE
'can': K
'share': SHAEUR
'the': -T
'good': TKPWAOD
'tidings."': TAOEUD/-G/-S/TP-PL/KR-GS
'And': AFPBD
'so': SO
'saying': SAEUG
'he': HE
'craned': KRAEUPB/-D
'his': HEUS
'neck': TPHEBG
'forward': TPAORD
'and': SKP
'looked': HRAOBGD
'afar': A/TPAR
'off.': OF/TP-PL
'"What': KW-GS/KPA*/WHA
'is': S
'it': T
'you': U
'see?"': SAOE/H-F/KR-GS
'said': SED
'the': -T
'Fox.': KPA/TPOBGS/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'only': OEPBL
'my': PHEU
'master's': PHAFRT/AES
'Dog': KPA/TKOG
'that': THA
'is': S
'coming': KO*G
'towards': TORDZ
'us.': US/TP-PL
'What,': KPA/WHA/KW-BG
'going': TKPW-G
'so': SO
'soon?"': SAOPB/H-F/KR-GS
'he': HE
'continued,': T-PBD/KW-BG
'as': AS
'the': -T
'Fox': KPA/TPOBGS
'began': TKPWAPB
'to': TO
'turn': TURPB
'away': WA*EU
'as': AS
'soon': SAOPB
'as': AS
'he': HE
'had': H
'heard': HAERD
'the': -T
'news.': TPHUS/TP-PL
'"Will': KW-GS/W*EUL
'you': U
'not': TPHOT
'stop': STOP
'and': SKP
'congratulate': TKPWRAT/HRAEUT
'the': -T
'Dog': KPA/TKOG
'on': OPB
'the': -T
'reign': RAEPB
'of': -F
'universal': AOUFRL
'peace?"': PAES/H-F/KR-GS
'"I': KW-GS/EU
'would': WO
'gladly': TKPWHRAD/HREU
'do': TKO
'so,"': SO/KW-BG/KR-GS
'said': SED
'the': -T
'Fox,': KPA/TPOBGS/KW-BG
'"but': KW-GS/PWUT
'I': EU
'fear': TPAOER
'he': HE
'may': PHAEU
'not': TPHOT
'have': SR
'heard': HAERD
'of': -F
'King': KO*EUPBG
'Lion's': KPA/HRO*EUPB/AES
'decree."': TKE/KRAOE/TP-PL/KR-GS
'Cunning': KPA/KUPBG
'often': OFPB
'outwits': AOUT/WEUT/-S
'itself.': T/SEFL/TP-PL
