The Frog and the Ox

'"Oh': KW-GS/KPA*/O*ERBGS
'Father,"': KPA/TPAER/KW-BG/KR-GS
'said': SED
'a': AEU
'little': HREUL
'Frog': KPA/TPROG
'to': TO
'the': -T
'big': PWEUG
'one': WUPB
'sitting': SEUGT
'by': PWEU
'the': -T
'side': SAOEUD
'of': -F
'a': AEU
'pool,': PAOL/KW-BG
'"I': KW-GS/EU
'have': SR
'seen': SAOEPB
'such': SUFP
'a': AEU
'terrible': TERBL
'monster!': PHOPB/STER/SKHRAPL
'It': KPA/T
'was': WAS
'as': AS
'big': PWEUG
'as': AS
'a': AEU
'mountain,': PHOUPB/TAEUPB/KW-BG
'with': W
'horns': HORPBS
'on': OPB
'its': EUTS
'head,': HED/KW-BG
'and': SKP
'a': AEU
'long': HROPBG
'tail,': TAEUL/KW-BG
'and': SKP
'it': T
'had': H
'hoofs': HAOF/*S
'divided': TKWAOEUTD
'in': TPH
'two."': TWO/TP-PL/KR-GS
'"Tush,': KW-GS/KPA*/TURB/KW-BG
'child,': KHAOEULD/KW-BG
'tush,"': TURB/KW-BG/KR-GS
'said': SED
'the': -T
'old': OLD
'Frog,': KPA/TPROG/KW-BG
'"that': KW-GS/THA
'was': WAS
'only': OEPBL
'Farmer': KPA/TPAR/PHER
'White's': WHAO*EUT/AES
'Ox.': KPA/O*BGS/TP-PL
'It': KPA/T
'isn't': S-PBT
'so': SO
'big': PWEUG
'either;': AOERT/STPH*FPLT
'he': HE
'may': PHAEU
'be': -B
'a': AEU
'little': HREUL
'bit': PWEUT
'taller': TAURL
'than': THAPB
'I,': EU/KW-BG
'but': PWUT
'I': EU
'could': KO
'easily': AOELS
'make': PHAEUBG
'myself': PHAO*EUS
'quite': KWAOEUT
'as': AS
'broad;': PWRAOD/STPH*FPLT
'just': SKWRUFT
'you': U
'see."': SAOE/TP-PL/KR-GS
'So': KPA/SO
'he': HE
'blew': PWHRAOU
'himself': HEUPLS
'out,': OUT/KW-BG
'and': SKP
'blew': PWHRAOU
'himself': HEUPLS
'out,': OUT/KW-BG
'and': SKP
'blew': PWHRAOU
'himself': HEUPLS
'out.': OUT/TP-PL
'"Was': KW-GS/KPA*/WAS
'he': HE
'as': AS
'big': PWEUG
'as': AS
'that?"': THA/H-F/KR-GS
'asked': SK-D
'he.': HE/TP-PL
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'much': PHUFP
'bigger': PWEURG
'than': THAPB
'that,"': THARBGS/KR-GS
'said': SED
'the': -T
'young': KWRUPBG
'Frog.': KPA/TPROG/TP-PL
'Again': KPA/TKPWEPB
'the': -T
'old': OLD
'one': WUPB
'blew': PWHRAOU
'himself': HEUPLS
'out,': OUT/KW-BG
'and': SKP
'asked': SK-D
'the': -T
'young': KWRUPBG
'one': WUPB
'if': TP
'the': -T
'Ox': KPA/O*BGS
'was': WAS
'as': AS
'big': PWEUG
'as': AS
'that.': THA/TP-PL
'"Bigger,': KW-GS/KPA*/PWEURG/KW-BG
'father,': TPAER/KW-BG
'bigger,"': PWEURG/KW-BG/KR-GS
'was': WAS
'the': -T
'reply.': RE/PHRAOEU/TP-PL
'So': KPA/SO
'the': -T
'Frog': KPA/TPROG
'took': TAOBG
'a': AEU
'deep': TKAOEP
'breath,': PWR*ET/KW-BG
'and': SKP
'blew': PWHRAOU
'and': SKP
'blew': PWHRAOU
'and': SKP
'blew,': PWHRAOU/KW-BG
'and': SKP
'swelled': SWELD
'and': SKP
'swelled': SWELD
'and': SKP
'swelled.': SWELD/TP-PL
'And': AFPBD
'then': THEPB
'he': HE
'said:': SED/STPH-FPLT
'"I'm': KW-GS/AOEUPL
'sure': SHUR
'the': -T
'Ox': KPA/O*BGS
'is': S
'not': TPHOT
'as': AS
'big': PWEUG
'as': AS
'this.': TH/TP-PL
'But': KPA/PWUT
'at': AT
'this': TH
'moment': PHOEPLT
'he': HE
'burst.': PWUFRT/TP-PL
'Self-conceit': KPA/S*EF/H-PB/KAUPB/SAOET
'may': PHAEU
'lead': HRAED
'to': TO
'self-destruction.': SEF/STKRUBGS/TP-PL
