The Hart and the Hunter

'The': KPA/-T
'Hart': HA*RT
'was': WAS
'once': WUPBS
'drinking': TKREUG
'from': TPR
'a': AEU
'pool': PAOL
'and': SKP
'admiring': AD/PHAOEURG
'the': -T
'noble': TPHOEBL
'figure': TPEUG
'he': HE
'made': PHAED
'there.': THR/TP-PL
'"Ah,"': KW-GS/KPA*/AERBGS/KR-GS
'said': SED
'he,': HE/KW-BG
'"where': KW-GS/W-R
'can': K
'you': U
'see': SAOE
'such': SUFP
'noble': TPHOEBL
'horns': HORPBS
'as': AS
'these,': THEZ/KW-BG
'with': W
'such': SUFP
'antlers!': APBT/HRER/-S/SKHRAPL
'I': EU
'wish': WEURB
'I': EU
'had': H
'legs': HREGS
'more': PHOR
'worthy': WO*RT/KWREU
'to': TO
'bear': PWAER
'such': SUFP
'a': AEU
'noble': TPHOEBL
'crown;': KROUPB/STPH*FPLT
'it': T
'is': S
'a': AEU
'pity': PEUT/TEU
'they': THE
'are': R
'so': SO
'slim': SHREUPL
'and': SKP
'slight."': SHRAOEUT/TP-PL/KR-GS
'At': KPA/AT
'that': THA
'moment': PHOEPLT
'a': AEU
'Hunter': HURPBT
'approached': A/PROEFPD
'and': SKP
'sent': SEPBT
'an': APB
'arrow': RO*EUR
'whistling': WHEUS/-LG
'after': AF
'him.': HEUPL/TP-PL
'Away': KPA/WA*EU
'bounded': PWOUPBD/-D
'the': -T
'Hart,': HA*RT/KW-BG
'and': SKP
'soon,': SAOPB/KW-BG
'by': PWEU
'the': -T
'aid': AEUD
'of': -F
'his': HEUS
'nimble': TPHEUPL/*L
'legs,': HREGS/KW-BG
'was': WAS
'nearly': TPHAOERL
'out': OUT
'of': -F
'sight': SAOEUT
'of': -F
'the': -T
'Hunter;': HURPBT/STPH*FPLT
'but': PWUT
'not': TPHOT
'noticing': TPH-TS/-G
'where': W-R
'he': HE
'was': WAS
'going,': TKPW-G/KW-BG
'he': HE
'passed': PAFD
'under': TPH-PB
'some': SOPL
'trees': TRAOES
'with': W
'branches': PWRAFRPBS
'growing': TKPWROEG
'low': HROE
'down': TKOUPB
'in': TPH
'which': WEU
'his': HEUS
'antlers': APBT/HRER/-S
'were': WR
'caught,': KAUT/KW-BG
'so': SO
'that': THA
'the': -T
'Hunter': HURPBT
'had': H
'time': TAOEUPL
'to': TO
'come': KOPL
'up.': UP/TP-PL
'"Alas!': KW-GS/KPA*/A/HRAS/SKHRAPL
'alas!"': A/HRAS/SKHRAPL/KR-GS
'cried': KRAOEUD
'the': -T
'Hart:': HA*RT/STPH-FPLT
'"We': KW-GS/KPA*/WE
'often': OFPB
'despise': STKPAOEUZ
'what': WHA
'is': S
'most': PHOFT
'useful': AOUFL
'to': TO
'us."': US/TP-PL/KR-GS
