The Hart in the Ox-Stall

'A': KPA/AEU
'Hart': HA*RT
'hotly': HOT/HREU
'pursued': PUR/SAOUD
'by': PWEU
'the': -T
'hounds': HOUPBDZ
'fled': TPHRED
'for': TPOR
'refuge': REF/AOUPBLG
'into': TPHAO
'an': APB
'ox-stall,': O*BGS/H-PB/STAUL/KW-BG
'and': SKP
'buried': PWUR/EUD
'itself': T/SEFL
'in': TPH
'a': AEU
'truss': TRUS
'of': -F
'hay,': HA*EU/KW-BG
'leaving': HREFG
'nothing': TPHOG
'to': TO
'be': -B
'seen': SAOEPB
'but': PWUT
'the': -T
'tips': TEUPS
'of': -F
'his': HEUS
'horns.': HORPBS/TP-PL
'Soon': KPA/SAOPB
'after': AF
'the': -T
'Hunters': KPA/HURPBTS
'came': KAEUPL
'up': UP
'and': SKP
'asked': SK-D
'if': TP
'any': TPHEU
'one': WUPB
'had': H
'seen': SAOEPB
'the': -T
'Hart.': HA*RT/TP-PL
'The': KPA/-T
'stable': STABL
'boys,': PWOEUS/KW-BG
'who': WHO
'had': H
'been': PW-PB
'resting': REFT/-G
'after': AF
'their': THAEUR
'dinner,': TKEURPB/KW-BG
'looked': HRAOBGD
'round,': ROUPBD/KW-BG
'but': PWUT
'could': KO
'see': SAOE
'nothing,': TPHOG/KW-BG
'and': SKP
'the': -T
'Hunters': KPA/HURPBTS
'went': WEPBT
'away.': WA*EU/TP-PL
'Shortly': KPA/SHORLT
'afterwards': A*FRDZ
'the': -T
'master': PHAFRT
'came': KAEUPL
'in,': TPH/KW-BG
'and': SKP
'looking': HRAOG
'round,': ROUPBD/KW-BG
'saw': SAU
'that': THA
'something': S-G
'unusual': TPHAOURB
'had': H
'taken': TAEPB
'place.': PHRAEUS/TP-PL
'He': KPA/HE
'pointed': POEUPBTD
'to': TO
'the': -T
'truss': TRUS
'of': -F
'hay': HA*EU
'and': SKP
'said:': SED/STPH-FPLT
'"What': KW-GS/KPA*/WHA
'are': R
'those': THOZ
'two': TWO
'curious': KAOURS
'things': THEUPBGS
'sticking': STEUG
'out': OUT
'of': -F
'the': -T
'hay?"': HA*EU/H-F/KR-GS
'And': AFPBD
'when': WHEPB
'the': -T
'stable': STABL
'boys': PWOEUS
'came': KAEUPL
'to': TO
'look': HRAOBG
'they': THE
'discovered': SKOFD
'the': -T
'Hart,': HA*RT/KW-BG
'and': SKP
'soon': SAOPB
'made': PHAED
'an': APB
'end': EPBD
'of': -F
'him.': HEUPL/TP-PL
'He': KPA/HE
'thus': THUS
'learnt': HRERPBT
'that': THA
'Nothing': KPA/TPHOG
'escapes': ES/KAEUPS
'the': -T
'master's': PHAFRT/AES
'eye.': AOEU/TP-PL
