The Horse and the Ass

'A': KPA/AEU
'Horse': KPA/HORS
'and': SKP
'an': APB
'Ass': KPA/A*S
'were': WR
'travelling': TRAFL/HREUPBG
'together,': TOGT/KW-BG
'the': -T
'Horse': KPA/HORS
'prancing': PRAPBS/-G
'along': HRAOPBG
'in': TPH
'its': EUTS
'fine': TPAOEUPB
'trappings,': TRAPG/-S/KW-BG
'the': -T
'Ass': KPA/A*S
'carrying': KAERG
'with': W
'difficulty': TKOEUFLT
'the': -T
'heavy': HOEUF
'weight': WAET
'in': TPH
'its': EUTS
'panniers.': PAPB/TPH*P/KWRER/-S/TP-PL
'"I': KW-GS/EU
'wish': WEURB
'I': EU
'were': WR
'you,"': U/KW-BG/KR-GS
'sighed': SAOEU/-D
'the': -T
'Ass;': KPA/A*S/STPH*FPLT
'"nothing': KW-GS/TPHOG
'to': TO
'do': TKO
'and': SKP
'well': WEL
'fed,': TPED/KW-BG
'and': SKP
'all': AUL
'that': THA
'fine': TPAOEUPB
'harness': HARPBS
'upon': POPB
'you."': U/TP-PL/KR-GS
'Next': KPA/TPHEGT
'day,': TKAEU/KW-BG
'however,': HOUF/KW-BG
'there': THR
'was': WAS
'a': AEU
'great': TKPWRAET
'battle,': PWA*LT/KW-BG
'and': SKP
'the': -T
'Horse': KPA/HORS
'was': WAS
'wounded': WOUPBD/-D
'to': TO
'death': TK*T
'in': TPH
'the': -T
'final': TPAOEUPBL
'charge': KHARPBLG
'of': -F
'the': -T
'day.': TKAEU/TP-PL
'His': KPA/HEUS
'friend,': TPREPBD/KW-BG
'the': -T
'Ass,': KPA/A*S/KW-BG
'happened': HAPD
'to': TO
'pass': PAS
'by': PWEU
'shortly': SHORLT
'afterwards': A*FRDZ
'and': SKP
'found': TPOUPBD
'him': HEUPL
'on': OPB
'the': -T
'point': POEUPBT
'of': -F
'death.': TK*T/TP-PL
'"I': KW-GS/EU
'was': WAS
'wrong,"': WRORPBGS/KR-GS
'said': SED
'the': -T
'Ass:': KPA/A*S/STPH-FPLT
'"Better': KW-GS/KPA*/PWOERT
'humble': HUPL/-BL
'security': SKURT
'than': THAPB
'gilded': TKPWEULD/-D
'danger."': TKAEUPBLG/TP-PL/KR-GS
