The Horse, Hunter, and Stag

'A': KPA/AEU
'quarrel': KWARL
'had': H
'arisen': A/RAOEUZ/-D
'between': TWAOEPB
'the': -T
'Horse': KPA/HORS
'and': SKP
'the': -T
'Stag,': KPA/STAG/KW-BG
'so': SO
'the': -T
'Horse': KPA/HORS
'came': KAEUPL
'to': TO
'a': AEU
'Hunter': HURPBT
'to': TO
'ask': SK
'his': HEUS
'help': HEP
'to': TO
'take': TAEUBG
'revenge': RE/SREPBG
'on': OPB
'the': -T
'Stag.': KPA/STAG/TP-PL
'The': KPA/-T
'Hunter': HURPBT
'agreed,': TKPWRAED/KW-BG
'but': PWUT
'said:': SED/STPH-FPLT
'"If': KW-GS/KPA*/TP
'you': U
'desire': STKAOEUR
'to': TO
'conquer': KAUPB/KER
'the': -T
'Stag,': KPA/STAG/KW-BG
'you': U
'must': PHUFT
'permit': PERPLT
'me': PHE
'to': TO
'place': PHRAEUS
'this': TH
'piece': PAOES
'of': -F
'iron': AOEURPB
'between': TWAOEPB
'your': KWROUR
'jaws,': SKWRAUS/KW-BG
'so': SO
'that': THA
'I': EU
'may': PHAEU
'guide': TKPWAOEUD
'you': U
'with': W
'these': THEZ
'reins,': RA*EPB/-S/KW-BG
'and': SKP
'allow': HROU
'this': TH
'saddle': SA*LD
'to': TO
'be': -B
'placed': PHRAEUFD
'upon': POPB
'your': KWROUR
'back': PWABG
'so': SO
'that': THA
'I': EU
'may': PHAEU
'keep': KAOEP
'steady': STAED
'upon': POPB
'you': U
'as': AS
'we': WE
'follow': TPOL
'after': AF
'the': -T
'enemy."': TPHAEPL/TP-PL/KR-GS
'The': KPA/-T
'Horse': KPA/HORS
'agreed': TKPWRAED
'to': TO
'the': -T
'conditions,': K-PBS/KW-BG
'and': SKP
'the': -T
'Hunter': HURPBT
'soon': SAOPB
'saddled': SAD/-LD
'and': SKP
'bridled': PWRAOEUD/-LD
'him.': HEUPL/TP-PL
'Then': KPA/THEPB
'with': W
'the': -T
'aid': AEUD
'of': -F
'the': -T
'Hunter': HURPBT
'the': -T
'Horse': KPA/HORS
'soon': SAOPB
'overcame': AUFR/KAEUPL
'the': -T
'Stag,': KPA/STAG/KW-BG
'and': SKP
'said': SED
'to': TO
'the': -T
'Hunter:': HURPBT/STPH-FPLT
'"Now,': KW-GS/KPA*/TPHOU/KW-BG
'get': TKPWET
'off,': OF/KW-BG
'and': SKP
'remove': RE/PHOF
'those': THOZ
'things': THEUPBGS
'from': TPR
'my': PHEU
'mouth': PHO*UT
'and': SKP
'back."': PWABG/TP-PL/KR-GS
'"Not': KW-GS/KPA*/TPHOT
'so': SO
'fast,': TPAFT/KW-BG
'friend,"': TPREPBD/KW-BG/KR-GS
'said': SED
'the': -T
'Hunter.': HURPBT/TP-PL
'"I': KW-GS/EU
'have': SR
'now': TPHOU
'got': TKPWOT
'you': U
'under': TPH-PB
'bit': PWEUT
'and': SKP
'spur,': SPUR/KW-BG
'and': SKP
'prefer': PREFR
'to': TO
'keep': KAOEP
'you': U
'as': AS
'you': U
'are': R
'at': AT
'present."': PREPBT/TP-PL/KR-GS
'If': KPA/TP
'you': U
'allow': HROU
'men': PHEPB
'to': TO
'use': AOUS
'you': U
'for': TPOR
'your': KWROUR
'own': OEPB
'purposes,': PURPS/KW-BG
'they': THE
'will': HR
'use': AOUS
'you': U
'for': TPOR
'theirs.': THAEURS/TP-PL
