The Lion and the Mouse

'Once': KPA/WUPBS
'when': WHEPB
'a': AEU
'Lion': KPA/HRO*EUPB
'was': WAS
'asleep': A/SHRAOEP
'a': AEU
'little': HREUL
'Mouse': KPA/PHOUS
'began': TKPWAPB
'running': R*UPBG
'up': UP
'and': SKP
'down': TKOUPB
'upon': POPB
'him;': HEUPL/STPH*FPLT
'this': TH
'soon': SAOPB
'wakened': WAEUBG/-PBD
'the': -T
'Lion,': KPA/HRO*EUPB/KW-BG
'who': WHO
'placed': PHRAEUFD
'his': HEUS
'huge': HAOUPBLG
'paw': PAU
'upon': POPB
'him,': HEUPL/KW-BG
'and': SKP
'opened': OEPD
'his': HEUS
'big': PWEUG
'jaws': SKWRAUS
'to': TO
'swallow': SWAL
'him.': HEUPL/TP-PL
'"Pardon,': KW-GS/KPA*/PARD/KW-BG
'O': O*P
'King,"': KO*EUPBG/KW-BG/KR-GS
'cried': KRAOEUD
'the': -T
'little': HREUL
'Mouse:': KPA/PHOUS/STPH-FPLT
'"forgive': KW-GS/TPAURG
'me': PHE
'this': TH
'time,': TAOEUPL/KW-BG
'I': EU
'shall': SHAL
'never': TPHEFR
'forget': TPORGT
'it:': T/STPH-FPLT
'who': WHO
'knows': TPHOEZ
'but': PWUT
'what': WHA
'I': EU
'may': PHAEU
'be': -B
'able': ABL
'to': TO
'do': TKO
'you': U
'a': AEU
'turn': TURPB
'some': SOPL
'of': -F
'these': THEZ
'days?"': TKAEUS/H-F/KR-GS
'The': KPA/-T
'Lion': KPA/HRO*EUPB
'was': WAS
'so': SO
'tickled': TEUBG/-LD
'at': AT
'the': -T
'idea': KWR-D
'of': -F
'the': -T
'Mouse': KPA/PHOUS
'being': -BG
'able': ABL
'to': TO
'help': HEP
'him,': HEUPL/KW-BG
'that': THA
'he': HE
'lifted': HREUFTD
'up': UP
'his': HEUS
'paw': PAU
'and': SKP
'let': HRET
'him': HEUPL
'go.': TKPW/TP-PL
'Some': KPA/SOPL
'time': TAOEUPL
'after': AF
'the': -T
'Lion': KPA/HRO*EUPB
'was': WAS
'caught': KAUT
'in': TPH
'a': AEU
'trap,': TRAP/KW-BG
'and': SKP
'the': -T
'hunters': HURPBTS
'who': WHO
'desired': STKAOEURD
'to': TO
'carry': KAER
'him': HEUPL
'alive': A/HRAOEUF
'to': TO
'the': -T
'King,': KO*EUPBG/KW-BG
'tied': TAO*EUD
'him': HEUPL
'to': TO
'a': AEU
'tree': TRAOE
'while': WHAOEUL
'they': THE
'went': WEPBT
'in': TPH
'search': SEFRPB
'of': -F
'a': AEU
'waggon': WAG/OPB/A*U
'to': TO
'carry': KAER
'him': HEUPL
'on.': OPB/TP-PL
'Just': KPA/SKWRUFT
'then': THEPB
'the': -T
'little': HREUL
'Mouse': KPA/PHOUS
'happened': HAPD
'to': TO
'pass': PAS
'by,': PWEU/KW-BG
'and': SKP
'seeing': SAOEG
'the': -T
'sad': SAD
'plight': PHRAOEUGT
'in': TPH
'which': WEU
'the': -T
'Lion': KPA/HRO*EUPB
'was,': WAS/KW-BG
'went': WEPBT
'up': UP
'to': TO
'him': HEUPL
'and': SKP
'soon': SAOPB
'gnawed': TPHA*U/-D
'away': WA*EU
'the': -T
'ropes': ROEPS
'that': THA
'bound': PWOUPBD
'the': -T
'King': KO*EUPBG
'of': -F
'the': -T
'Beasts.': KPA/PWAOEFT/-S/TP-PL
'"Was': KW-GS/KPA*/WAS
'I': EU
'not': TPHOT
'right?"': RAOEUT/H-F/KR-GS
'said': SED
'the': -T
'little': HREUL
'Mouse.': KPA/PHOUS/TP-PL
'Little': KPA/HREUL
'friends': TPREPBDZ
'may': PHAEU
'prove': PROF
'great': TKPWRAET
'friends.': TPREPBDZ/TP-PL
