The Lion, the Fox, and the Beasts

'The': KPA/-T
'Lion': KPA/HRO*EUPB
'once': WUPBS
'gave': TKPWAEUF
'out': OUT
'that': THA
'he': HE
'was': WAS
'sick': SEUBG
'unto': UPB/TO
'death': TK*T
'and': SKP
'summoned': SPHUPBD
'the': -T
'animals': PHAPBLS
'to': TO
'come': KOPL
'and': SKP
'hear': HAER
'his': HEUS
'last': HRAFT
'Will': W*EUL
'and': SKP
'Testament.': TEFT/TPH-PL/*PLT/TP-PL
'So': KPA/SO
'the': -T
'Goat': KPA/TKPWO*ET
'came': KAEUPL
'to': TO
'the': -T
'Lion's': KPA/HRO*EUPB/AES
'cave,': KAEUF/KW-BG
'and': SKP
'stopped': STOPD
'there': THR
'listening': HR-PBG
'for': TPOR
'a': AEU
'long': HROPBG
'time.': TAOEUPL/TP-PL
'Then': KPA/THEPB
'a': AEU
'Sheep': KPA/SHAOEP
'went': WEPBT
'in,': TPH/KW-BG
'and': SKP
'before': PW-FR
'she': SHE
'came': KAEUPL
'out': OUT
'a': AEU
'Calf': KPA/KAF
'came': KAEUPL
'up': UP
'to': TO
'receive': SAOEF
'the': -T
'last': HRAFT
'wishes': WEURBS
'of': -F
'the': -T
'Lord': HRO*RD
'of': -F
'the': -T
'Beasts.': KPA/PWAOEFT/-S/TP-PL
'But': KPA/PWUT
'soon': SAOPB
'the': -T
'Lion': KPA/HRO*EUPB
'seemed': SAOEPLD
'to': TO
'recover,': ROFR/KW-BG
'and': SKP
'came': KAEUPL
'to': TO
'the': -T
'mouth': PHO*UT
'of': -F
'his': HEUS
'cave,': KAEUF/KW-BG
'and': SKP
'saw': SAU
'the': -T
'Fox,': KPA/TPOBGS/KW-BG
'who': WHO
'had': H
'been': PW-PB
'waiting': WAEUGT
'outside': OUDZ
'for': TPOR
'some': SOPL
'time.': TAOEUPL/TP-PL
'"Why': KW-GS/KPA*/KWR
'do': TKO
'you': U
'not': TPHOT
'come': KOPL
'to': TO
'pay': PAEU
'your': KWROUR
'respects': R-PTS
'to': TO
'me?"': PHE/H-F/KR-GS
'said': SED
'the': -T
'Lion': KPA/HRO*EUPB
'to': TO
'the': -T
'Fox.': KPA/TPOBGS/TP-PL
'"I': KW-GS/EU
'beg': PWEG
'your': KWROUR
'Majesty's': KPA/PHAPBLG/STEU/AES
'pardon,"': PARD/KW-BG/KR-GS
'said': SED
'the': -T
'Fox,': KPA/TPOBGS/KW-BG
'"but': KW-GS/PWUT
'I': EU
'noticed': TPH-TS/-D
'the': -T
'track': TRABG
'of': -F
'the': -T
'animals': PHAPBLS
'that': THA
'have': SR
'already': HR-R
'come': KOPL
'to': TO
'you;': U/STPH*FPLT
'and': SKP
'while': WHAOEUL
'I': EU
'see': SAOE
'many': PHAEPB
'hoof-marks': HAOF/H-PB/PHARBGS
'going': TKPW-G
'in,': TPH/KW-BG
'I': EU
'see': SAOE
'none': TPHOPB
'coming': KO*G
'out.': OUT/TP-PL
'Till': KPA/TEUL
'the': -T
'animals': PHAPBLS
'that': THA
'have': SR
'entered': SPWR-D
'your': KWROUR
'cave': KAEUF
'come': KOPL
'out': OUT
'again': TKPWEPB
'I': EU
'prefer': PREFR
'to': TO
'remain': RAEUPL
'in': TPH
'the': -T
'open': OEP
'air."': AEUR/TP-PL/KR-GS
'It': KPA/T
'is': S
'easier': AO*ERS
'to': TO
'get': TKPWET
'into': TPHAO
'the': -T
'enemy's': EPB/PHEU/AES
'toils': TOEUL/-S
'than': THAPB
'out': OUT
'again.': TKPWEPB/TP-PL
