The Man and the Satyr

'A': KPA/AEU
'Man': KPA/PHAPB
'had': H
'lost': HRO*S
'his': HEUS
'way': WAEU
'in': TPH
'a': AEU
'wood': WAOD
'one': WUPB
'bitter': PWEURT
'winter's': WEURPBT/AES
'night.': TPHAOEUT/TP-PL
'As': KPA/AS
'he': HE
'was': WAS
'roaming': ROEPLG
'about,': PW-RBGS
'a': AEU
'Satyr': KPA/SAEURT
'came': KAEUPL
'up': UP
'to': TO
'him,': HEUPL/KW-BG
'and': SKP
'finding': TPAOEUPBGD
'that': THA
'he': HE
'had': H
'lost': HRO*S
'his': HEUS
'way,': WAEU/KW-BG
'promised': PROPLS/-D
'to': TO
'give': TKPWEUF
'him': HEUPL
'a': AEU
'lodging': HROPBLG/-G
'for': TPOR
'the': -T
'night,': TPHAOEUT/KW-BG
'and': SKP
'guide': TKPWAOEUD
'him': HEUPL
'out': OUT
'of': -F
'the': -T
'forest': TPOEFRT
'in': TPH
'the': -T
'morning.': PHORPBG/TP-PL
'As': KPA/AS
'he': HE
'went': WEPBT
'along': HRAOPBG
'to': TO
'the': -T
'Satyr's': KPA/SAEURT/AES
'cell,': KREL/KW-BG
'the': -T
'Man': KPA/PHAPB
'raised': RA*EUFD
'both': PWO*T
'his': HEUS
'hands': HAPBDZ
'to': TO
'his': HEUS
'mouth': PHO*UT
'and': SKP
'kept': KEPT
'on': OPB
'blowing': PWHROEG
'at': AT
'them.': THEPL/TP-PL
'"What': KW-GS/KPA*/WHA
'do': TKO
'you': U
'do': TKO
'that': THA
'for?"': TPOR/H-F/KR-GS
'said': SED
'the': -T
'Satyr.': KPA/SAEURT/TP-PL
'"My': KW-GS/KPA*/PHEU
'hands': HAPBDZ
'are': R
'numb': TPH*UPL
'with': W
'the': -T
'cold,"': KOELD/KW-BG/KR-GS
'said': SED
'the': -T
'Man,': KPA/PHAPB/KW-BG
'"and': KW-GS/SKP
'my': PHEU
'breath': PWR*ET
'warms': WARPLS
'them."': THEPL/TP-PL/KR-GS
'After': KPA/AF
'this': TH
'they': THE
'arrived': A/RAOEUFD
'at': AT
'the': -T
'Satyr's': KPA/SAEURT/AES
'home,': HOEPL/KW-BG
'and': SKP
'soon': SAOPB
'the': -T
'Satyr': KPA/SAEURT
'put': PUT
'a': AEU
'smoking': SPHOEG
'dish': TKEURB
'of': -F
'porridge': PORPBLG
'before': PW-FR
'him.': HEUPL/TP-PL
'But': KPA/PWUT
'when': WHEPB
'the': -T
'Man': KPA/PHAPB
'raised': RA*EUFD
'his': HEUS
'spoon': SPAOPB
'to': TO
'his': HEUS
'mouth': PHO*UT
'he': HE
'began': TKPWAPB
'blowing': PWHROEG
'upon': POPB
'it.': T/TP-PL
'"And': KW-GS/AFPBD
'what': WHA
'do': TKO
'you': U
'do': TKO
'that': THA
'for?"': TPOR/H-F/KR-GS
'said': SED
'the': -T
'Satyr.': KPA/SAEURT/TP-PL
'"The': KW-GS/KPA*/-T
'porridge': PORPBLG
'is': S
'too': TAO
'hot,': HOT/KW-BG
'and': SKP
'my': PHEU
'breath': PWR*ET
'will': HR
'cool': KAOL
'it."': T/TP-PL/KR-GS
'"Out': KW-GS/KPA*/OUT
'you': U
'go,"': TKPW-RBGS/KR-GS
'said': SED
'the': -T
'Satyr.': KPA/SAEURT/TP-PL
'"I': KW-GS/EU
'will': HR
'have': SR
'nought': TPHAUT/A*U
'to': TO
'do': TKO
'with': W
'a': AEU
'man': PHAPB
'who': WHO
'can': K
'blow': PWHROE
'hot': HOT
'and': SKP
'cold': KOELD
'with': W
'the': -T
'same': SAEUPL
'breath."': PWR*ET/TP-PL/KR-GS
