The Man and the Wooden God

'In': KPA/TPH
'the': -T
'old': OLD
'days': TKAEUS
'men': PHEPB
'used': AOUFD
'to': TO
'worship': WOR/SH-P
'stocks': STOBGS
'and': SKP
'stones': STOEPBS
'and': SKP
'idols,': AOEU/TKOL/-S/KW-BG
'and': SKP
'prayed': PRAEUD
'to': TO
'them': THEPL
'to': TO
'give': TKPWEUF
'them': THEPL
'luck.': HRUBG/TP-PL
'It': KPA/T
'happened': HAPD
'that': THA
'a': AEU
'Man': KPA/PHAPB
'had': H
'often': OFPB
'prayed': PRAEUD
'to': TO
'a': AEU
'wooden': WAOD/EPB
'idol': AOEU/TKOL
'he': HE
'had': H
'received': SAOEFD
'from': TPR
'his': HEUS
'father,': TPAER/KW-BG
'but': PWUT
'his': HEUS
'luck': HRUBG
'never': TPHEFR
'seemed': SAOEPLD
'to': TO
'change.': KHAEUPBG/TP-PL
'He': KPA/HE
'prayed': PRAEUD
'and': SKP
'he': HE
'prayed,': PRAEUD/KW-BG
'but': PWUT
'still': STEUL
'he': HE
'remained': RE/PHAEUPBD
'as': AS
'unlucky': UPB/HRUBG/KWREU
'as': AS
'ever.': -FR/TP-PL
'One': KPA/WUPB
'day': TKAEU
'in': TPH
'the': -T
'greatest': TKPWRAET/EFT
'rage': RAEUPBLG
'he': HE
'went': WEPBT
'to': TO
'the': -T
'Wooden': KPA/WAOD/EPB
'God,': TKPWO*D/KW-BG
'and': SKP
'with': W
'one': WUPB
'blow': PWHROE
'swept': SWEPT
'it': T
'down': TKOUPB
'from': TPR
'its': EUTS
'pedestal.': PED/STAL/TP-PL
'The': KPA/-T
'idol': AOEU/TKOL
'broke': PWROEBG
'in': TPH
'two,': TWORBGS
'and': SKP
'what': WHA
'did': TK
'he': HE
'see?': SAOE/H-F
'An': KPA/APB
'immense': EUPL/EPBS
'number': TPHUPL
'of': -F
'coins': KOEUPBS
'flying': TPHRAOEUG
'all': AUL
'over': OEFR
'the': -T
'place.': PHRAEUS/TP-PL
