The Man, the Boy, and the Donkey

'A': KPA/AEU
'Man': KPA/PHAPB
'and': SKP
'his': HEUS
'son': SOPB
'were': WR
'once': WUPBS
'going': TKPW-G
'with': W
'their': THAEUR
'Donkey': KPA/TKOPB/KEU
'to': TO
'market.': PHARBGT/TP-PL
'As': KPA/AS
'they': THE
'were': WR
'walking': WAUG
'along': HRAOPBG
'by': PWEU
'its': EUTS
'side': SAOEUD
'a': AEU
'countryman': KREU/PHA*PB
'passed': PAFD
'them': THEPL
'and': SKP
'said:': SED/STPH-FPLT
'"You': KW-GS/KPA*/U
'fools,': TPAOLS/KW-BG
'what': WHA
'is': S
'a': AEU
'Donkey': KPA/TKOPB/KEU
'for': TPOR
'but': PWUT
'to': TO
'ride': RAOEUD
'upon?"': POPB/H-F/KR-GS
'So': KPA/SO
'the': -T
'Man': KPA/PHAPB
'put': PUT
'the': -T
'Boy': KPA/PWOEU
'on': OPB
'the': -T
'Donkey': KPA/TKOPB/KEU
'and': SKP
'they': THE
'went': WEPBT
'on': OPB
'their': THAEUR
'way.': WAEU/TP-PL
'But': KPA/PWUT
'soon': SAOPB
'they': THE
'passed': PAFD
'a': AEU
'group': TKPWROUP
'of': -F
'men,': PHEPB/KW-BG
'one': WUPB
'of': -F
'whom': WHOPL
'said:': SED/STPH-FPLT
'"See': KW-GS/KPA*/SAOE
'that': THA
'lazy': HRAEZ
'youngster,': KWRUPBG/STER/KW-BG
'he': HE
'lets': HR*ETS
'his': HEUS
'father': TPAER
'walk': WAUBG
'while': WHAOEUL
'he': HE
'rides."': RAOEUDZ/TP-PL/KR-GS
'So': KPA/SO
'the': -T
'Man': KPA/PHAPB
'ordered': ORD/-D
'his': HEUS
'Boy': KPA/PWOEU
'to': TO
'get': TKPWET
'off,': OF/KW-BG
'and': SKP
'got': TKPWOT
'on': OPB
'himself.': HEUPLS/TP-PL
'But': KPA/PWUT
'they': THE
'hadn't': H-PBT
'gone': TKPWOPB
'far': TPAR
'when': WHEPB
'they': THE
'passed': PAFD
'two': TWO
'women,': WEUPL/KW-BG
'one': WUPB
'of': -F
'whom': WHOPL
'said': SED
'to': TO
'the': -T
'other:': OER/STPH-FPLT
'"Shame': KW-GS/KPA*/SHAEUPL
'on': OPB
'that': THA
'lazy': HRAEZ
'lout': HROUT
'to': TO
'let': HRET
'his': HEUS
'poor': PAOR
'little': HREUL
'son': SOPB
'trudge': TRUPBLG
'along."': HRAOPBG/TP-PL/KR-GS
'Well,': KPA/WEL/KW-BG
'the': -T
'Man': KPA/PHAPB
'didn't': TK-PBT
'know': TPHOE
'what': WHA
'to': TO
'do,': TKORBGS
'but': PWUT
'at': AT
'last': HRAFT
'he': HE
'took': TAOBG
'his': HEUS
'Boy': KPA/PWOEU
'up': UP
'before': PW-FR
'him': HEUPL
'on': OPB
'the': -T
'Donkey.': KPA/TKOPB/KEU/TP-PL
'By': KPA/PWEU
'this': TH
'time': TAOEUPL
'they': THE
'had': H
'come': KOPL
'to': TO
'the': -T
'town,': TOUPB/KW-BG
'and': SKP
'the': -T
'passers-by': PAS/SERS/PW*EU
'began': TKPWAPB
'to': TO
'jeer': SKWRAOER
'and': SKP
'point': POEUPBT
'at': AT
'them.': THEPL/TP-PL
'The': KPA/-T
'Man': KPA/PHAPB
'stopped': STOPD
'and': SKP
'asked': SK-D
'what': WHA
'they': THE
'were': WR
'scoffing': SKOF/-G
'at.': AT/TP-PL
'The': KPA/-T
'men': PHEPB
'said:': SED/STPH-FPLT
'"Aren't': KR-GS/KPA*/R-PBT
'you': U
'ashamed': A/SHAEUPLD
'of': -F
'yourself': KWRO*URS
'for': TPOR
'overloading': AUFR/HRAOGD
'that': THA
'poor': PAOR
'donkey': TKOPB/KEU
'of': -F
'yours': KWROURS
'-': H-PB
'and': SKP
'your': KWROUR
'hulking': H*ULG/-G
'son?"': SOPB/H-F/KR-GS
'The': KPA/-T
'Man': KPA/PHAPB
'and': SKP
'Boy': KPA/PWOEU
'got': TKPWOT
'off': OF
'and': SKP
'tried': TRAOEUD
'to': TO
'think': THEU
'what': WHA
'to': TO
'do.': TKO/TP-PL
'They': KPA/THE
'thought': THAUT
'and': SKP
'they': THE
'thought,': THAUT/KW-BG
'till': TEUL
'at': AT
'last': HRAFT
'they': THE
'cut': KUT
'down': TKOUPB
'a': AEU
'pole,': POEL/KW-BG
'tied': TAO*EUD
'the': -T
'donkey's': TKOPB/KEU/AES
'feet': TPAOET
'to': TO
'it,': T/KW-BG
'and': SKP
'raised': RA*EUFD
'the': -T
'pole': POEL
'and': SKP
'the': -T
'donkey': TKOPB/KEU
'to': TO
'their': THAEUR
'shoulders.': SHOURLDZ/TP-PL
'They': KPA/THE
'went': WEPBT
'along': HRAOPBG
'amid': A/PHEUD
'the': -T
'laughter': HRAFR
'of': -F
'all': AUL
'who': WHO
'met': PHET
'them': THEPL
'till': TEUL
'they': THE
'came': KAEUPL
'to': TO
'Market': KPA/PHARBGT
'Bridge,': KPA/PWREUPBLG/KW-BG
'when': WHEPB
'the': -T
'Donkey,': KPA/TKOPB/KEU/KW-BG
'getting': TKPWEGT
'one': WUPB
'of': -F
'his': HEUS
'feet': TPAOET
'loose,': HRAOS/KW-BG
'kicked': KEUBGD
'out': OUT
'and': SKP
'caused': KAUDZ
'the': -T
'Boy': KPA/PWOEU
'to': TO
'drop': TKROP
'his': HEUS
'end': EPBD
'of': -F
'the': -T
'pole.': POEL/TP-PL
'In': KPA/TPH
'the': -T
'struggle': STRULG
'the': -T
'Donkey': KPA/TKOPB/KEU
'fell': TPEL
'over': OEFR
'the': -T
'bridge,': PWREUPBLG/KW-BG
'and': SKP
'his': HEUS
'fore-feet': TPO*ER/H-PB/TPAOET
'being': -BG
'tied': TAO*EUD
'together': TOGT
'he': HE
'was': WAS
'drowned.': TKROUPBD/TP-PL
'"That': KW-GS/KPA*/THA
'will': HR
'teach': TAOEFP
'you,"': U/KW-BG/KR-GS
'said': SED
'an': APB
'old': OLD
'man': PHAPB
'who': WHO
'had': H
'followed': TPOLD
'them:': THEPL/STPH-FPLT
'"Please': KW-GS/KPA*/PHRES
'all,': AUL/KW-BG
'and': SKP
'you': U
'will': HR
'please': PHRES
'none."': TPHOPB/TP-PL/KR-GS
