The Milkmaid and Her Pail

'Patty': PA*T/TEU
'the': -T
'Milkmaid': KPA/PH*EULG/TK-LS/PHAEUD
'was': WAS
'going': TKPW-G
'to': TO
'market': PHARBGT
'carrying': KAERG
'her': HER
'milk': PH*EULG
'in': TPH
'a': AEU
'Pail': KPA/PAEUL
'on': OPB
'her': HER
'head.': HED/TP-PL
'As': KPA/AS
'she': SHE
'went': WEPBT
'along': HRAOPBG
'she': SHE
'began': TKPWAPB
'calculating': KHRAEUGT
'what': WHA
'she': SHE
'would': WO
'do': TKO
'with': W
'the': -T
'money': PHUPB
'she': SHE
'would': WO
'get': TKPWET
'for': TPOR
'the': -T
'milk.': PH*EULG/TP-PL
'"I'll': KW-GS/AOEUL
'buy': PWAOEU
'some': SOPL
'fowls': TPO*UL/-S
'from': TPR
'Farmer': KPA/TPAR/PHER
'Brown,"': PWRO*UPB/KW-BG/KR-GS
'said': SED
'she,': SHE/KW-BG
'"and': KW-GS/SKP
'they': THE
'will': HR
'lay': HRAEU
'eggs': EGS
'each': AOEFP
'morning,': PHORPBG/KW-BG
'which': WEU
'I': EU
'will': HR
'sell': SEL
'to': TO
'the': -T
'parson's': PAR/SOPB/AES
'wife.': WAOEUF/TP-PL
'With': KPA/W
'the': -T
'money': PHUPB
'that': THA
'I': EU
'get': TKPWET
'from': TPR
'the': -T
'sale': SAEL
'of': -F
'these': THEZ
'eggs': EGS
'I'll': AOEUL
'buy': PWAOEU
'myself': PHAO*EUS
'a': AEU
'new': TPHU
'dimity': TKEUPL/TEU
'frock': TPROBG
'and': SKP
'a': AEU
'chip': KHEUP
'hat;': HAT/STPH*FPLT
'and': SKP
'when': WHEPB
'I': EU
'go': TKPW
'to': TO
'market,': PHARBGT/KW-BG
'won't': WOEPBT
'all': AUL
'the': -T
'young': KWRUPBG
'men': PHEPB
'come': KOPL
'up': UP
'and': SKP
'speak': SPAOEBG
'to': TO
'me!': PHE/SKHRAPL
'Polly': POL/HREU
'Shaw': SHAU
'will': HR
'be': -B
'that': THA
'jealous;': SKWR*ELS/STPH*FPLT
'but': PWUT
'I': EU
'don't': TKOEPBT
'care.': KAEUR/TP-PL
'I': EU
'shall': SHAL
'just': SKWRUFT
'look': HRAOBG
'at': AT
'her': HER
'and': SKP
'toss': TOS
'my': PHEU
'head': HED
'like': HRAOEUBG
'this.': TH/TP-PL
'As': KPA/AS
'she': SHE
'spoke': SPOEBG
'she': SHE
'tossed': TOS/-D
'her': HER
'head': HED
'back,': PWABG/KW-BG
'the': -T
'Pail': KPA/PAEUL
'fell': TPEL
'off': OF
'it,': T/KW-BG
'and': SKP
'all': AUL
'the': -T
'milk': PH*EULG
'was': WAS
'spilt.': SPEULT/TP-PL
'So': KPA/SO
'she': SHE
'had': H
'to': TO
'go': TKPW
'home': HOEPL
'and': SKP
'tell': TEL
'her': HER
'mother': PHOER
'what': WHA
'had': H
'occurred.': KROEURD/TP-PL
'"Ah,': KW-GS/KPA*/AERBGS
'my': PHEU
'child,"': KHAOEULD/KW-BG/KR-GS
'said': SED
'the': -T
'mother,': PHOER/KW-BG
'"Do': KW-GS/KPA*/TKO
'not': TPHOT
'count': KOUPBT
'your': KWROUR
'chickens': KHEU/KEPB/-S
'before': PW-FR
'they': THE
'are': R
'hatched."': HAFPD/TP-PL/KR-GS
