The Miser and His Gold

'Once': KPA/WUPBS
'upon': POPB
'a': AEU
'time': TAOEUPL
'there': THR
'was': WAS
'a': AEU
'Miser': KPA/PHAOEUS/*ER
'who': WHO
'used': AOUFD
'to': TO
'hide': HAOEUD
'his': HEUS
'gold': TKPWOELD
'at': AT
'the': -T
'foot': TPAOT
'of': -F
'a': AEU
'tree': TRAOE
'in': TPH
'his': HEUS
'garden;': TKPWA*RPB/STPH*FPLT
'but': PWUT
'every': EF
'week': WAOEBG
'he': HE
'used': AOUFD
'to': TO
'go': TKPW
'and': SKP
'dig': TKEUG
'it': T
'up': UP
'and': SKP
'gloat': TKPWHROET
'over': OEFR
'his': HEUS
'gains.': TKPWAEUPBS/TP-PL
'A': KPA/AEU
'robber,': ROB/ER/KW-BG
'who': WHO
'had': H
'noticed': TPH-TS/-D
'this,': TH/KW-BG
'went': WEPBT
'and': SKP
'dug': TKUG
'up': UP
'the': -T
'gold': TKPWOELD
'and': SKP
'decamped': TKE/KAPL/-PD
'with': W
'it.': T/TP-PL
'When': KPA/WHEPB
'the': -T
'Miser': KPA/PHAOEUS/*ER
'next': TPHEGT
'came': KAEUPL
'to': TO
'gloat': TKPWHROET
'over': OEFR
'his': HEUS
'treasures,': TR-RBS/KW-BG
'he': HE
'found': TPOUPBD
'nothing': TPHOG
'but': PWUT
'the': -T
'empty': EPLT
'hole.': HOEL/TP-PL
'He': KPA/HE
'tore': TO*R
'his': HEUS
'hair,': HAEUR/KW-BG
'and': SKP
'raised': RA*EUFD
'such': SUFP
'an': APB
'outcry': AOUT/KRAOEU
'that': THA
'all': AUL
'the': -T
'neighbours': TPHAEUBS/A*U
'came': KAEUPL
'around': ARPBD
'him,': HEUPL/KW-BG
'and': SKP
'he': HE
'told': TOLD
'them': THEPL
'how': HOU
'he': HE
'used': AOUFD
'to': TO
'come': KOPL
'and': SKP
'visit': SREUFT
'his': HEUS
'gold.': TKPWOELD/TP-PL
'"Did': KW-GS/KPA*/TK
'you': U
'ever': -FR
'take': TAEUBG
'any': TPHEU
'of': -F
'it': T
'out?"': OUT/H-F/KR-GS
'asked': SK-D
'one': WUPB
'of': -F
'them.': THEPL/TP-PL
'"Nay,"': KW-GS/KPA*/TPHAEU/KW-BG/KR-GS
'said': SED
'he,': HE/KW-BG
'"I': KW-GS/EU
'only': OEPBL
'came': KAEUPL
'to': TO
'look': HRAOBG
'at': AT
'it."': T/TP-PL/KR-GS
'"Then': KW-GS/KPA*/THEPB
'come': KOPL
'again': TKPWEPB
'and': SKP
'look': HRAOBG
'at': AT
'the': -T
'hole,"': HOEL/KW-BG/KR-GS
'said': SED
'a': AEU
'neighbour;': TPHAEUB/A*U/STPH*FPLT
'"it': KW-GS/T
'will': HR
'do': TKO
'you': U
'just': SKWRUFT
'as': AS
'much': PHUFP
'good."': TKPWAOD/TP-PL/KR-GS
'Wealth': KPA/W*ELT
'unused': UPB/AOUS/-D
'might': PHAOEUT
'as': AS
'well': WEL
'not': TPHOT
'exist.': KPEUFT/TP-PL
