The Nurse and the Wolf

'"Be': KW-GS/KPA*/-B
'quiet': KWAO*EUT
'now,"': TPHOURBGS/KR-GS
'said': SED
'an': APB
'old': OLD
'Nurse': KPA/TPHURS
'to': TO
'a': AEU
'child': KHAOEULD
'sitting': SEUGT
'on': OPB
'her': HER
'lap.': HRAP/TP-PL
'"If': KW-GS/KPA*/TP
'you': U
'make': PHAEUBG
'that': THA
'noise': TPHOEUS
'again': TKPWEPB
'I': EU
'will': HR
'throw': THROE
'you': U
'to': TO
'the': -T
'Wolf."': KPA/WOFL/TP-PL/KR-GS
'Now': KPA/TPHOU
'it': T
'chanced': KHAPBS/-D
'that': THA
'a': AEU
'Wolf': KPA/WOFL
'was': WAS
'passing': PAFG
'close': KHROES
'under': TPH-PB
'the': -T
'window': WOEUPBD
'as': AS
'this': TH
'was': WAS
'said.': SED/TP-PL
'So': KPA/SO
'he': HE
'crouched': KROUFPD
'down': TKOUPB
'by': PWEU
'the': -T
'side': SAOEUD
'of': -F
'the': -T
'house': HOUS
'and': SKP
'waited.': WAEUTD/TP-PL
'"I': KW-GS/EU
'am': APL
'in': TPH
'good': TKPWAOD
'luck': HRUBG
'to-day,"': TO/TKA*EU/KW-BG/KR-GS
'thought': THAUT
'he.': HE/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'sure': SHUR
'to': TO
'cry': KRAOEU
'soon,': SAOPB/KW-BG
'and': SKP
'a': AEU
'daintier': TKAEUPBT/KWRER
'morsel': PHOR/SEL
'I': EU
'haven't': SR-PB
'had': H
'for': TPOR
'many': PHAEPB
'a': AEU
'long': HROPBG
'day."': TKAEU/TP-PL/KR-GS
'So': KPA/SO
'he': HE
'waited,': WAEUTD/KW-BG
'and': SKP
'he': HE
'waited,': WAEUTD/KW-BG
'and': SKP
'he': HE
'waited,': WAEUTD/KW-BG
'till': TEUL
'at': AT
'last': HRAFT
'the': -T
'child': KHAOEULD
'began': TKPWAPB
'to': TO
'cry,': KRAOEU/KW-BG
'and': SKP
'the': -T
'Wolf': KPA/WOFL
'came': KAEUPL
'forward': TPAORD
'before': PW-FR
'the': -T
'window,': WOEUPBD/KW-BG
'and': SKP
'looked': HRAOBGD
'up': UP
'to': TO
'the': -T
'Nurse,': KPA/TPHURS/KW-BG
'wagging': WAG/-G
'his': HEUS
'tail.': TAEUL/TP-PL
'But': KPA/PWUT
'all': AUL
'the': -T
'Nurse': KPA/TPHURS
'did': TK
'was': WAS
'to': TO
'shut': SHUT
'down': TKOUPB
'the': -T
'window': WOEUPBD
'and': SKP
'call': KAUL
'for': TPOR
'help,': HEP/KW-BG
'and': SKP
'the': -T
'dogs': TKOGS
'of': -F
'the': -T
'house': HOUS
'came': KAEUPL
'rushing': RURBG
'out.': OUT/TP-PL
'"Ah,"': KW-GS/KPA*/AERBGS/KR-GS
'said': SED
'the': -T
'Wolf': KPA/WOFL
'as': AS
'he': HE
'galloped': TKPWAL/OP/-D
'away,': WA*EU/KW-BG
'"Enemies': KW-GS/KPA*/TPHAEPLS
'promises': PROPLS/-S
'were': WR
'made': PHAED
'to': TO
'be': -B
'broken."': PWROEPB/TP-PL/KR-GS
