The Old Man and Death

'An': KPA/APB
'old': OLD
'labourer,': HRAEUB/RER/A*U/KW-BG
'bent': PWEPBT
'double': TKUBL
'with': W
'age': AEUPBLG
'and': SKP
'toil,': TOEUL/KW-BG
'was': WAS
'gathering': TKPWAERG
'sticks': STEUBGS
'in': TPH
'a': AEU
'forest.': TPOEFRT/TP-PL
'At': KPA/AT
'last': HRAFT
'he': HE
'grew': TKPWRAOU
'so': SO
'tired': TAOEURD
'and': SKP
'hopeless': HOEP/-LS
'that': THA
'he': HE
'threw': THRAOU
'down': TKOUPB
'the': -T
'bundle': PWUPBLD
'of': -F
'sticks,': STEUBGS/KW-BG
'and': SKP
'cried': KRAOEUD
'out:': OUT/STPH-FPLT
'"I': KW-GS/EU
'cannot': SK-PBT
'bear': PWAER
'this': TH
'life': HRAOEUF
'any': TPHEU
'longer.': HRORPBG/TP-PL
'Ah,': KPA/AERBGS
'I': EU
'wish': WEURB
'Death': KPA/TK*T
'would': WO
'only': OEPBL
'come': KOPL
'and': SKP
'take': TAEUBG
'me!"': PHE/SKHRAPL/KR-GS
'As': KPA/AS
'he': HE
'spoke,': SPOEBG/KW-BG
'Death,': KPA/TK*T/KW-BG
'a': AEU
'grisly': TKPWREUS/HREU
'skeleton,': SKEL/TOPB/KW-BG
'appeared': A/PAOERD
'and': SKP
'said': SED
'to': TO
'him:': HEUPL/STPH-FPLT
'"What': KW-GS/KPA*/WHA
'wouldst': WO/S*/T*
'thou,': THO*U/KW-BG
'Mortal?': KPA/PHOR/TAL/H-F
'I': EU
'heard': HAERD
'thee': THAOE
'call': KAUL
'me."': PHE/TP-PL/KR-GS
'"Please,': KW-GS/KPA*/PHRES/KW-BG
'sir,"': SEUR/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'woodcutter,': WAOD/KUT/*ER/KW-BG
'"would': KW-GS/WO
'you': U
'kindly': KAOEUPBD/HREU
'help': HEP
'me': PHE
'to': TO
'lift': HREUFT
'this': TH
'faggot': TPAGT
'of': -F
'sticks': STEUBGS
'on': OPB
'to': TO
'my': PHEU
'shoulder?"': SHOURLD/H-F/KR-GS
'We': KPA/WE
'would': WO
'often': OFPB
'be': -B
'sorry': SOER
'if': TP
'our': OUR
'wishes': WEURBS
'were': WR
'gratified.': TKPWRAT/TPAOEUD/TP-PL
