The Old Woman and the Wine-Jar

'You': KPA/U
'must': PHUFT
'know': TPHOE
'that': THA
'sometimes': STAOEUPLS
'old': OLD
'women': WEUPL
'like': HRAOEUBG
'a': AEU
'glass': TKPWHRAS
'of': -F
'wine.': WAOEUPB/TP-PL
'One': KPA/WUPB
'of': -F
'this': TH
'sort': SORT
'once': WUPBS
'found': TPOUPBD
'a': AEU
'Wine-jar': KPA/WAOEUPB/H-PB/SKWRAR
'lying': HRAOEUG
'in': TPH
'the': -T
'road,': RAOD/KW-BG
'and': SKP
'eagerly': AOERLG
'went': WEPBT
'up': UP
'to': TO
'it': T
'hoping': HOEPG
'to': TO
'find': TPAOEUPBD
'it': T
'full.': TPUL/TP-PL
'But': KPA/PWUT
'when': WHEPB
'she': SHE
'took': TAOBG
'it': T
'up': UP
'she': SHE
'found': TPOUPBD
'that': THA
'all': AUL
'the': -T
'wine': WAOEUPB
'had': H
'been': PW-PB
'drunk': TKR*UPBG
'out': OUT
'of': -F
'it.': T/TP-PL
'Still': KPA/STEUL
'she': SHE
'took': TAOBG
'a': AEU
'long': HROPBG
'sniff': STPHEUF
'at': AT
'the': -T
'mouth': PHO*UT
'of': -F
'the': -T
'Jar.': KPA/SKWRAR/TP-PL
'"Ah,"': KW-GS/KPA*/AERBGS/KR-GS
'she': SHE
'cried,': KRAOEUD/KW-BG
'"What': KW-GS/KPA*/WHA
'memories': PHOEURPLS
'cling': KHREUPBG
''round': RO*UPBD
'the': -T
'instruments': STRAOUPLTS
'of': -F
'our': OUR
'pleasure."': PHRERB/TP-PL/KR-GS
