The Serpent and the File

'A': KPA/AEU
'Serpent': KPA/SERP/EPBT
'in': TPH
'the': -T
'course': KORS
'of': -F
'its': EUTS
'wanderings': WAPBGD/-S
'came': KAEUPL
'into': TPHAO
'an': APB
'armourer's': AR/PHOUR/*ER/AES
'shop.': SHOP/TP-PL
'As': KPA/AS
'he': HE
'glided': TKPWHRAOEUD/-D
'over': OEFR
'the': -T
'floor': TPHRAOR
'he': HE
'felt': TPELT
'his': HEUS
'skin': SKEUPB
'pricked': PREUBGD
'by': PWEU
'a': AEU
'file': TPAOEUL
'lying': HRAOEUG
'there.': THR/TP-PL
'In': KPA/TPH
'a': AEU
'rage': RAEUPBLG
'he': HE
'turned': TURPBD
'round': ROUPBD
'upon': POPB
'it': T
'and': SKP
'tried': TRAOEUD
'to': TO
'dart': TKART
'his': HEUS
'fangs': TPAPBGS
'into': TPHAO
'it;': T/STPH*FPLT
'but': PWUT
'he': HE
'could': KO
'do': TKO
'no': TPHO
'harm': HARPL
'to': TO
'heavy': HOEUF
'iron': AOEURPB
'and': SKP
'had': H
'soon': SAOPB
'to': TO
'give': TKPWEUF
'over': OEFR
'his': HEUS
'wrath.': WRA*T/TP-PL
'It': KPA/T
'is': S
'useless': AOUFLS
'attacking': A/TABG/-G
'the': -T
'insensible.': EUPB/SEPBS/-BL/TP-PL
