The Sick Lion

'A': KPA/AEU
'Lion': KPA/HRO*EUPB
'had': H
'come': KOPL
'to': TO
'the': -T
'end': EPBD
'of': -F
'his': HEUS
'days': TKAEUS
'and': SKP
'lay': HRAEU
'sick': SEUBG
'unto': UPB/TO
'death': TK*T
'at': AT
'the': -T
'mouth': PHO*UT
'of': -F
'his': HEUS
'cave,': KAEUF/KW-BG
'gasping': TKPWAS/-PG
'for': TPOR
'breath.': PWR*ET/TP-PL
'The': KPA/-T
'animals,': PHAPBLS/KW-BG
'his': HEUS
'subjects,': SUBTS/KW-BG
'came': KAEUPL
'round': ROUPBD
'him': HEUPL
'and': SKP
'drew': TKRAOU
'nearer': TPHAOER/*ER
'as': AS
'he': HE
'grew': TKPWRAOU
'more': PHOR
'and': SKP
'more': PHOR
'helpless.': HEP/-LS/TP-PL
'When': KPA/WHEPB
'they': THE
'saw': SAU
'him': HEUPL
'on': OPB
'the': -T
'point': POEUPBT
'of': -F
'death': TK*T
'they': THE
'thought': THAUT
'to': TO
'themselves:': TH*EPLS/STPH-FPLT
'"Now': KW-GS/KPA*/TPHOU
'is': S
'the': -T
'time': TAOEUPL
'to': TO
'pay': PAEU
'off': OF
'old': OLD
'grudges."': TKPWRUPBLGS/TP-PL/KR-GS
'So': KPA/SO
'the': -T
'Boar': KPA/PWO*R
'came': KAEUPL
'up': UP
'and': SKP
'drove': TKROEF
'at': AT
'him': HEUPL
'with': W
'his': HEUS
'tusks;': TUS/-BGS/STPH*FPLT
'then': THEPB
'a': AEU
'Bull': KPA/PWUL
'gored': TKPWOR/-D
'him': HEUPL
'with': W
'his': HEUS
'horns;': HORPBS/STPH*FPLT
'still': STEUL
'the': -T
'Lion': KPA/HRO*EUPB
'lay': HRAEU
'helpless': HEP/-LS
'before': PW-FR
'them:': THEPL/STPH-FPLT
'so': SO
'the': -T
'Ass,': KPA/A*S/KW-BG
'feeling': TPAOELG
'quite': KWAOEUT
'safe': SAEUF
'from': TPR
'danger,': TKAEUPBLG/KW-BG
'came': KAEUPL
'up,': UP/KW-BG
'and': SKP
'turning': TURPBG
'his': HEUS
'tail': TAEUL
'to': TO
'the': -T
'Lion': KPA/HRO*EUPB
'kicked': KEUBGD
'up': UP
'his': HEUS
'heels': HAOELS
'into': TPHAO
'his': HEUS
'face.': TPAEUS/TP-PL
'"This': KW-GS/KPA*/TH
'is': S
'a': AEU
'double': TKUBL
'death,"': TK*T/KW-BG/KR-GS
'growled': TKPWROULD
'the': -T
'Lion.': KPA/HRO*EUPB/TP-PL
'Only': KPA/OEPBL
'cowards': KOURDZ
'insult': EUPB/SULT
'dying': TKAOEUG
'majesty.': PHAPBLG/STEU/TP-PL
