The Town Mouse and the Country Mouse

'Now': KPA/TPHOU
'you': U
'must': PHUFT
'know': TPHOE
'that': THA
'a': AEU
'Town': KPA/TOUPB
'Mouse': KPA/PHOUS
'once': WUPBS
'upon': POPB
'a': AEU
'time': TAOEUPL
'went': WEPBT
'on': OPB
'a': AEU
'visit': SREUFT
'to': TO
'his': HEUS
'cousin': KUZ
'in': TPH
'the': -T
'country.': KREU/TP-PL
'He': KPA/HE
'was': WAS
'rough': RUF
'and': SKP
'ready,': R-D/KW-BG
'this': TH
'cousin,': KUZ/KW-BG
'but': PWUT
'he': HE
'loved': HROFD
'his': HEUS
'town': TOUPB
'friend': TPREPBD
'and': SKP
'made': PHAED
'him': HEUPL
'heartily': HART/HREU
'welcome.': WELG/TP-PL
'Beans': KPA/PWAEPBS
'and': SKP
'bacon,': PWAEU/KOPB/KW-BG
'cheese': KHAOES
'and': SKP
'bread,': PWRAED/KW-BG
'were': WR
'all': AUL
'he': HE
'had': H
'to': TO
'offer,': OFR/KW-BG
'but': PWUT
'he': HE
'offered': OFRD
'them': THEPL
'freely.': TPRAOEL/TP-PL
'The': KPA/-T
'Town': KPA/TOUPB
'Mouse': KPA/PHOUS
'rather': RAER
'turned': TURPBD
'up': UP
'his': HEUS
'long': HROPBG
'nose': TPHOES
'at': AT
'this': TH
'country': KREU
'fare,': TPA*ER/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
'"I': KW-GS/EU
'cannot': SK-PBT
'understand,': URPBD/KW-BG
'Cousin,': KPA/KUZ/KW-BG
'how': HOU
'you': U
'can': K
'put': PUT
'up': UP
'with': W
'such': SUFP
'poor': PAOR
'food': TPAOD
'as': AS
'this,': TH/KW-BG
'but': PWUT
'of': -F
'course': KORS
'you': U
'cannot': SK-PBT
'expect': KP-PT
'anything': TPHEUG
'better': PWOERT
'in': TPH
'the': -T
'country;': KREU/STPH*FPLT
'come': KOPL
'you': U
'with': W
'me': PHE
'and': SKP
'I': EU
'will': HR
'show': SHOE
'you': U
'how': HOU
'to': TO
'live.': HREUF/TP-PL
'When': KPA/WHEPB
'you': U
'have': SR
'been': PW-PB
'in': TPH
'town': TOUPB
'a': AEU
'week': WAOEBG
'you': U
'will': HR
'wonder': WOPBD
'how': HOU
'you': U
'could': KO
'ever': -FR
'have': SR
'stood': STAOD
'a': AEU
'country': KREU
'life."': HRAOEUF/TP-PL/KR-GS
'No': KPA/TPHO
'sooner': SAORPB
'said': SED
'than': THAPB
'done:': TKOPB/STPH-FPLT
'the': -T
'two': TWO
'mice': PHAOEUS
'set': SET
'off': OF
'for': TPOR
'the': -T
'town': TOUPB
'and': SKP
'arrived': A/RAOEUFD
'at': AT
'the': -T
'Town': KPA/TOUPB
'Mouse's': KPA/PHOUS/AES
'residence': R*EPBS
'late': HRAEUT
'at': AT
'night.': TPHAOEUT/TP-PL
'"You': KW-GS/KPA*/U
'will': HR
'want': WAPBT
'some': SOPL
'refreshment': RE/TPREPLT
'after': AF
'our': OUR
'long': HROPBG
'journey,"': SKWRURPB/KW-BG/KR-GS
'said': SED
