The Trumpeter Taken Prisoner

'A': KPA/AEU
'Trumpeter': KPA/TRUPLT/*ER
'during': TKURG
'a': AEU
'battle': PWA*LT
'ventured': SRERPBTD
'too': TAO
'near': TPHAOER
'the': -T
'enemy': TPHAEPL
'and': SKP
'was': WAS
'captured': KA*FPD
'by': PWEU
'them.': THEPL/TP-PL
'They': KPA/THE
'were': WR
'about': PW
'to': TO
'proceed': PROED
'to': TO
'put': PUT
'him': HEUPL
'to': TO
'death': TK*T
'when': WHEPB
'he': HE
'begged': PWEGD
'them': THEPL
'to': TO
'hear': HAER
'his': HEUS
'plea': PHRAE
'for': TPOR
'mercy.': PHER/SEU/TP-PL
'"I': KW-GS/EU
'do': TKO
'not': TPHOT
'fight,"': TPAOEUT/KW-BG/KR-GS
'said': SED
'he,': HE/KW-BG
'"and': KW-GS/SKP
'indeed': TPHAOEPBD
'carry': KAER
'no': TPHO
'weapon;': WEP/STPH*FPLT
'I': EU
'only': OEPBL
'blow': PWHROE
'this': TH
'trumpet,': TRUPLT/KW-BG
'and': SKP
'surely': SHURL
'that': THA
'cannot': SK-PBT
'harm': HARPL
'you;': U/STPH*FPLT
'then': THEPB
'why': KWR
'should': SHO
'you': U
'kill': KEUL
'me?"': PHE/H-F/KR-GS
'"You': KW-GS/KPA*/U
'may': PHAEU
'not': TPHOT
'fight': TPAOEUT
'yourself,"': KWRO*URS/KW-BG/KR-GS
'said': SED
'the': -T
'others,': OERS/KW-BG
'"but': KW-GS/PWUT
'you': U
'encourage': EPB/KORPBLG
'and': SKP
'guide': TKPWAOEUD
'your': KWROUR
'men': PHEPB
'to': TO
'the': -T
'fight."': TPAOEUT/TP-PL/KR-GS
'Words': KPA/WORDZ
'may': PHAEU
'be': -B
'deeds.': TKAOEDZ/TP-PL
