The Two Fellows and the Bear

'Two': KPA/TWO
'Fellows': KPA/TPO*EULS
'were': WR
'travelling': TRAFL/HREUPBG
'together': TOGT
'through': THRU
'a': AEU
'wood,': WAOD/KW-BG
'when': WHEPB
'a': AEU
'Bear': KPA/PWAER
'rushed': RURBD
'out': OUT
'upon': POPB
'them.': THEPL/TP-PL
'One': KPA/WUPB
'of': -F
'the': -T
'travellers': TRA*FL/ERS/A*U
'happened': HAPD
'to': TO
'be': -B
'in': TPH
'front,': TPROPBT/KW-BG
'and': SKP
'he': HE
'seized': SAOEZ/-D
'hold': HOLD
'of': -F
'the': -T
'branch': PWRAFRPB
'of': -F
'a': AEU
'tree,': TRAOE/KW-BG
'and': SKP
'hid': HEUD
'himself': HEUPLS
'among': PHOPBG
'the': -T
'leaves.': HREFS/TP-PL
'The': KPA/-T
'other,': OER/KW-BG
'seeing': SAOEG
'no': TPHO
'help': HEP
'for': TPOR
'it,': T/KW-BG
'threw': THRAOU
'himself': HEUPLS
'flat': TPHRAT
'down': TKOUPB
'upon': POPB
'the': -T
'ground,': TKPWROUPBD/KW-BG
'with': W
'his': HEUS
'face': TPAEUS
'in': TPH
'the': -T
'dust.': TKUFT/TP-PL
'The': KPA/-T
'Bear,': KPA/PWAER/KW-BG
'coming': KO*G
'up': UP
'to': TO
'him,': HEUPL/KW-BG
'put': PUT
'his': HEUS
'muzzle': PHUZ/*L
'close': KHROES
'to': TO
'his': HEUS
'ear,': AOER/KW-BG
'and': SKP
'sniffed': STPHEUFD
'and': SKP
'sniffed.': STPHEUFD/TP-PL
'But': KPA/PWUT
'at': AT
'last': HRAFT
'with': W
'a': AEU
'growl': TKPWROUL
'he': HE
'shook': SHAOBG
'his': HEUS
'head': HED
'and': SKP
'slouched': SHROUFPD
'off,': OF/KW-BG
'for': TPOR
'bears': PWAERS
'will': HR
'not': TPHOT
'touch': TUFP
'dead': TKED
'meat.': PHAET/TP-PL
'Then': KPA/THEPB
'the': -T
'fellow': TP*EL
'in': TPH
'the': -T
'tree': TRAOE
'came': KAEUPL
'down': TKOUPB
'to': TO
'his': HEUS
'comrade,': KOPL/RAD/KW-BG
'and,': SKP/KW-BG
'laughing,': HRAFG/KW-BG
'said': SED
'"What': KW-GS/KPA*/WHA
'was': WAS
'it': T
'that': THA
'Master': KPA/PHAFRT
'Bruin': PW*P/R*/*U/*EU/TPH*
'whispered': WHEUS/PERD
'to': TO
'you?"': U/H-F/KR-GS
'"He': KW-GS/KPA*/HE
'told': TOLD
'me,"': PHE/KW-BG/KR-GS
'said': SED
'the': -T
'other,': OER/KW-BG
'"Never': KW-GS/KPA*/TPHEFR
'trust': TRUFT
'a': AEU
'friend': TPREPBD
'who': WHO
'deserts': STK*ERTS
'you': U
'at': AT
'a': AEU
'pinch."': PEUFRPB/TP-PL/KR-GS
