The Wolf and the Crane

'A': KPA/AEU
'Wolf': KPA/WOFL
'had': H
'been': PW-PB
'gorging': TKPWORPBLG/-G
'on': OPB
'an': APB
'animal': PHAPBL
'he': HE
'had': H
'killed,': KEULD/KW-BG
'when': WHEPB
'suddenly': SULD
'a': AEU
'small': SPHAL
'bone': PWOEPB
'in': TPH
'the': -T
'meat': PHAET
'stuck': STUBG
'in': TPH
'his': HEUS
'throat': THROET
'and': SKP
'he': HE
'could': KO
'not': TPHOT
'swallow': SWAL
'it.': T/TP-PL
'He': KPA/HE
'soon': SAOPB
'felt': TPELT
'terrible': TERBL
'pain': PAEUPB
'in': TPH
'his': HEUS
'throat,': THROET/KW-BG
'and': SKP
'ran': RAPB
'up': UP
'and': SKP
'down': TKOUPB
'groaning': TKPWROEPBG
'and': SKP
'groaning': TKPWROEPBG
'and': SKP
'seeking': SAOEBG/-G
'for': TPOR
'something': S-G
'to': TO
'relieve': RE/HREF
'the': -T
'pain.': PAEUPB/TP-PL
'He': KPA/HE
'tried': TRAOEUD
'to': TO
'induce': EUPB/TKAOUS
'every': EF
'one': WUPB
'he': HE
'met': PHET
'to': TO
'remove': RE/PHOF
'the': -T
'bone.': PWOEPB/TP-PL
'"I': KW-GS/EU
'would': WO
'give': TKPWEUF
'anything,"': TPHEUG/KW-BG/KR-GS
'said': SED
'he,': HE/KW-BG
'"if': KW-GS/TP
'you': U
'would': WO
'take': TAEUBG
'it': T
'out."': OUT/TP-PL/KR-GS
'At': KPA/AT
'last': HRAFT
'the': -T
'Crane': KRA*EUPB
'agreed': TKPWRAED
'to': TO
'try,': TREU/KW-BG
'and': SKP
'told': TOLD
'the': -T
'Wolf': KPA/WOFL
'to': TO
'lie': HRAOEU
'on': OPB
'his': HEUS
'side': SAOEUD
'and': SKP
'open': OEP
'his': HEUS
'jaws': SKWRAUS
'as': AS
'wide': WAOEUD
'as': AS
'he': HE
'could.': KO/TP-PL
'Then': KPA/THEPB
'the': -T
'Crane': KRA*EUPB
'put': PUT
'its': EUTS
'long': HROPBG
'neck': TPHEBG
'down': TKOUPB
'the': -T
'Wolf's': KPA/WOFL/AES
'throat,': THROET/KW-BG
'and': SKP
'with': W
'its': EUTS
'beak': PWAOEBG
'loosened': HRAOS/-PBD
'the': -T
'bone,': PWOEPB/KW-BG
'till': TEUL
'at': AT
'last': HRAFT
'it': T
'got': TKPWOT
'it': T
'out.': OUT/TP-PL
'"Will': KW-GS/W*EUL
'you': U
'kindly': KAOEUPBD/HREU
'give': TKPWEUF
'me': PHE
'the': -T
'reward': RE/WARD
'you': U
'promised?"': PROPLS/-D/H-F/KR-GS
'said': SED
'the': -T
'Crane.': KRA*EUPB/TP-PL
'The': KPA/-T
'Wolf': KPA/WOFL
'grinned': TKPWREUPB/*PB/-D
'and': SKP
'showed': SHOED
'his': HEUS
'teeth': TAO*ET
'and': SKP
'said:': SED/STPH-FPLT
'"Be': KW-GS/KPA*/-B
'content.': KAUPBT/TP-PL
'You': KPA/U
'have': SR
'put': PUT
'your': KWROUR
'head': HED
'inside': TPH-DZ
'a': AEU
'Wolf's': KPA/WOFL/AES
'mouth': PHO*UT
'and': SKP
'taken': TAEPB
'it': T
'out': OUT
'again': TKPWEPB
'in': TPH
'safety;': SAEFT/STPH*FPLT
'that': THA
'ought': OT
'to': TO
'be': -B
'reward': RE/WARD
'enough': TPHUF
'for': TPOR
'you."': U/TP-PL/KR-GS
'Gratitude': KPA/TKPWRAT/TAOUD
'and': SKP
'greed': TKPWRAOED
'go': TKPW
'not': TPHOT
'together.': TOGT/TP-PL
